cell_id,Pipreola riefferii,Pipreola riefferii [riefferii Group],Pipreola riefferii tallmanorum
846601bffffffff,1.0,0.0,0.0
8466089ffffffff,72.0,0.0,0.0
846608dffffffff,125.0,1.0,0.0
846609dffffffff,3.0,0.0,0.0
84660a3ffffffff,4.0,0.0,0.0
84660b3ffffffff,33.0,0.0,0.0
84660b7ffffffff,80.0,0.0,0.0
84660b9ffffffff,19.0,0.0,0.0
84660bbffffffff,10.0,0.0,0.0
84660bdffffffff,42.0,0.0,0.0
84660c1ffffffff,7.0,0.0,0.0
84660c3ffffffff,41.0,2.0,0.0
84660c7ffffffff,1.0,0.0,0.0
84660ddffffffff,53.0,0.0,0.0
8466181ffffffff,55.0,3.0,0.0
8466183ffffffff,23.0,0.0,0.0
8466187ffffffff,149.0,9.0,0.0
8466189ffffffff,5.0,0.0,0.0
846618bffffffff,65.0,2.0,0.0
846618dffffffff,17.0,0.0,0.0
8466191ffffffff,16.0,0.0,0.0
8466193ffffffff,52.0,0.0,0.0
8466195ffffffff,5.0,0.0,0.0
8466197ffffffff,674.0,0.0,0.0
8466199ffffffff,1.0,0.0,0.0
846619dffffffff,253.0,0.0,0.0
84661b1ffffffff,1728.0,237.0,0.0
84661b3ffffffff,195.0,7.0,0.0
84661b7ffffffff,61.0,1.0,0.0
84661b9ffffffff,406.0,8.0,0.0
84661bbffffffff,1366.0,25.0,0.0
84661bdffffffff,9.0,0.0,0.0
84661d5ffffffff,18.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0
8466217ffffffff,35.0,0.0,0.0
8466291ffffffff,59.0,2.0,0.0
8466299ffffffff,6.0,0.0,0.0
846629dffffffff,23.0,0.0,0.0
84662b1ffffffff,25.0,10.0,0.0
84662b7ffffffff,8.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0
8466c0dffffffff,299.0,0.0,0.0
8466c21ffffffff,212.0,0.0,0.0
8466c25ffffffff,39.0,0.0,0.0
8466c29ffffffff,5.0,0.0,0.0
8466c2dffffffff,54.0,0.0,0.0
8466c41ffffffff,6.0,0.0,0.0
8466c45ffffffff,3.0,0.0,0.0
8466c47ffffffff,122.0,0.0,0.0
8466c49ffffffff,9.0,0.0,0.0
8466c4bffffffff,19.0,0.0,0.0
8466c4dffffffff,21.0,0.0,0.0
8466c61ffffffff,81.0,0.0,0.0
8466c63ffffffff,152.0,0.0,0.0
8466c67ffffffff,88.0,0.0,0.0
8466c69ffffffff,18.0,0.0,0.0
8466c6bffffffff,59.0,0.0,0.0
8466c6dffffffff,5.0,0.0,0.0
8466d03ffffffff,124.0,7.0,0.0
8466d0bffffffff,69.0,0.0,0.0
8466d11ffffffff,23.0,2.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0
8466d31ffffffff,1368.0,206.0,0.0
8466d35ffffffff,3.0,0.0,0.0
8466d37ffffffff,20.0,0.0,0.0
8466d39ffffffff,12.0,0.0,0.0
8466d3bffffffff,2.0,0.0,0.0
8466d3dffffffff,4.0,0.0,0.0
8466d53ffffffff,13.0,0.0,0.0
8466d59ffffffff,1.0,0.0,0.0
8466dadffffffff,6.0,0.0,0.0
8466de1ffffffff,945.0,131.0,0.0
8466de5ffffffff,1.0,0.0,0.0
8466de9ffffffff,2.0,0.0,0.0
8466dedffffffff,118.0,21.0,0.0
8466e01ffffffff,1.0,0.0,0.0
8466e03ffffffff,13.0,0.0,0.0
