cell_id,Branta canadensis,Branta canadensis moffitti/maxima,Branta canadensis occidentalis/fulva,Branta canadensis [canadensis Group]
8406885ffffffff,1.0,0.0,0.0,0.0
8406d1dffffffff,1.0,0.0,0.0,0.0
8406d53ffffffff,4.0,0.0,0.0,0.0
8407433ffffffff,4.0,0.0,0.0,0.0
840743bffffffff,1.0,0.0,0.0,0.0
840744bffffffff,2.0,0.0,0.0,0.0
8407461ffffffff,3.0,0.0,0.0,0.0
8407465ffffffff,2.0,0.0,0.0,0.0
84074edffffffff,2.0,0.0,0.0,0.0
840753bffffffff,2.0,0.0,0.0,0.0
840755dffffffff,8.0,0.0,0.0,0.0
8407589ffffffff,9.0,0.0,0.0,0.0
840758dffffffff,7.0,0.0,0.0,0.0
84075c3ffffffff,9.0,0.0,0.0,0.0
84075cdffffffff,2.0,0.0,0.0,0.0
84075d1ffffffff,22.0,0.0,0.0,0.0
84075d9ffffffff,1.0,0.0,0.0,0.0
84075ddffffffff,10.0,0.0,0.0,0.0
84075e3ffffffff,3.0,0.0,0.0,0.0
84075e7ffffffff,2.0,0.0,0.0,0.0
84075edffffffff,8.0,0.0,0.0,0.0
8407635ffffffff,2.0,0.0,0.0,0.0
8407733ffffffff,22.0,0.0,0.0,0.0
840773bffffffff,1.0,0.0,0.0,0.0
8408937ffffffff,3.0,0.0,0.0,0.0
84089a9ffffffff,4.0,0.0,0.0,0.0
8408a15ffffffff,2.0,0.0,0.0,2.0
8408a69ffffffff,1.0,0.0,0.0,0.0
8408a6dffffffff,1.0,0.0,0.0,0.0
840c141ffffffff,1.0,0.0,0.0,0.0
840c143ffffffff,8.0,0.0,0.0,0.0
840c147ffffffff,1.0,0.0,0.0,0.0
840c14bffffffff,1.0,0.0,0.0,0.0
840c415ffffffff,80.0,0.0,74.0,6.0
840c447ffffffff,1.0,0.0,0.0,0.0
840c461ffffffff,3.0,0.0,0.0,3.0
840c465ffffffff,8.0,0.0,0.0,4.0
840c46dffffffff,5.0,0.0,0.0,4.0
840c503ffffffff,3.0,0.0,0.0,0.0
840c51dffffffff,9.0,0.0,0.0,0.0
840c555ffffffff,56.0,0.0,0.0,0.0
840c55bffffffff,2.0,0.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,2.0,0.0
840c5a5ffffffff,25.0,3.0,12.0,0.0
840c5adffffffff,9.0,0.0,6.0,0.0
840c68bffffffff,10.0,0.0,10.0,0.0
840c731ffffffff,2.0,0.0,0.0,0.0
840c733ffffffff,332.0,0.0,2.0,310.0
840c735ffffffff,4.0,0.0,0.0,0.0
840c73bffffffff,1.0,0.0,0.0,0.0
840ce97ffffffff,1.0,0.0,1.0,0.0
840ce9bffffffff,1.0,0.0,1.0,0.0
840d039ffffffff,4.0,0.0,0.0,0.0
840d0d9ffffffff,1.0,0.0,0.0,0.0
840d5a9ffffffff,2.0,0.0,0.0,0.0
840d5b9ffffffff,4.0,0.0,0.0,0.0
840d62dffffffff,2.0,0.0,0.0,0.0
840d667ffffffff,5.0,0.0,0.0,0.0
840d753ffffffff,1.0,0.0,0.0,0.0
840e039ffffffff,5.0,0.0,0.0,0.0
840e45bffffffff,19.0,0.0,0.0,0.0
840e497ffffffff,24.0,0.0,0.0,0.0
840e4dbffffffff,49.0,0.0,0.0,0.0
840e603ffffffff,2.0,0.0,0.0,0.0
840e6e7ffffffff,2.0,0.0,0.0,0.0
840ec19ffffffff,44.0,0.0,0.0,0.0
840ec51ffffffff,1.0,0.0,0.0,0.0
840ec9bffffffff,1.0,0.0,0.0,0.0
840ecb9ffffffff,7.0,0.0,0.0,0.0
840ecc1ffffffff,1.0,0.0,0.0,0.0
840ecc9ffffffff,49.0,0.0,0.0,0.0
840ee87ffffffff,9.0,0.0,0.0,0.0
840eea7ffffffff,159.0,0.0,0.0,0.0
840eeabffffffff,5.0,0.0,0.0,0.0
840eeb5ffffffff,69.0,0.0,0.0,0.0
840eebdffffffff,2.0,0.0,0.0,0.0
840eed5ffffffff,1.0,0.0,0.0,0.0
8411061ffffffff,6.0,0.0,0.0,0.0
8411069ffffffff,3.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0
8412515ffffffff,76.0,69.0,0.0,7.0
8412531ffffffff,2.0,2.0,0.0,0.0
8412539ffffffff,19.0,17.0,0.0,2.0
841253bffffffff,4.0,4.0,0.0,0.0
8412555ffffffff,2.0,0.0,0.0,0.0
8412597ffffffff,1.0,1.0,0.0,0.0
841259dffffffff,2.0,0.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0,0.0
8412723ffffffff,7.0,0.0,0.0,0.0
841289bffffffff,3.0,0.0,0.0,0.0
84128d3ffffffff,2.0,0.0,0.0,0.0
8412909ffffffff,13.0,0.0,13.0,0.0
8412941ffffffff,1.0,0.0,1.0,0.0
8412949ffffffff,3.0,0.0,3.0,0.0
8412987ffffffff,1.0,0.0,0.0,0.0
8412a25ffffffff,2.0,0.0,2.0,0.0
8412ad7ffffffff,2.0,0.0,2.0,0.0
8412b01ffffffff,6.0,0.0,0.0,0.0
8412b03ffffffff,9.0,0.0,3.0,4.0
8412b17ffffffff,5.0,0.0,3.0,0.0
8412b63ffffffff,10.0,0.0,5.0,5.0
8412c11ffffffff,11.0,0.0,0.0,1.0
8412c1bffffffff,3.0,0.0,0.0,0.0
8412c4dffffffff,2.0,0.0,0.0,0.0
8412c97ffffffff,4.0,0.0,0.0,0.0
8412cbbffffffff,4.0,0.0,0.0,0.0
8412cc9ffffffff,5.0,0.0,0.0,0.0
8412ccdffffffff,22.0,1.0,0.0,0.0
8412cd5ffffffff,1.0,0.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0,0.0
8412d03ffffffff,2.0,0.0,0.0,0.0
8412d95ffffffff,4.0,4.0,0.0,0.0
8412d9dffffffff,2.0,0.0,0.0,0.0
8412da5ffffffff,2.0,0.0,0.0,0.0
