cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
836608fffffffff,6.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0
83661bfffffffff,1.0,1.0,0.0
836621fffffffff,4.0,0.0,0.0
836641fffffffff,7.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
836672fffffffff,13.0,0.0,0.0
8366c2fffffffff,7.0,0.0,7.0
8366dafffffffff,6.0,0.0,6.0
8366dcfffffffff,1.0,0.0,1.0
8366defffffffff,18.0,0.0,14.0
8366e0fffffffff,2.0,0.0,0.0
8366e6fffffffff,1.0,1.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,10.0,0.0,0.0
83675afffffffff,1.0,0.0,1.0
83675dfffffffff,1.0,0.0,0.0
83675efffffffff,9.0,0.0,0.0
838a45fffffffff,7.0,0.0,0.0
838ad1fffffffff,3.0,0.0,0.0
838adcfffffffff,1.0,0.0,0.0
838b61fffffffff,6.0,0.0,6.0
838b62fffffffff,2.0,0.0,2.0
838b63fffffffff,4.0,0.0,4.0
838e65fffffffff,2.0,0.0,2.0
838f74fffffffff,2.0,0.0,0.0
