cell_id,Petroica pusilla,Petroica pusilla [similis Group],Petroica pusilla pusilla
849a02dffffffff,6.0,0.0,0.0
849a151ffffffff,4.0,0.0,2.0
849b6a7ffffffff,3.0,1.0,0.0
849b6b5ffffffff,1.0,1.0,0.0
849e021ffffffff,1.0,1.0,0.0
849e025ffffffff,1.0,0.0,0.0
849e027ffffffff,1.0,0.0,0.0
849e227ffffffff,1.0,0.0,0.0
849e245ffffffff,2.0,0.0,0.0
