cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
84529b3ffffffff,7.0,0.0,4.0,0.0
84529b5ffffffff,2.0,0.0,2.0,0.0
84529b9ffffffff,1.0,0.0,0.0,0.0
8454103ffffffff,19.0,11.0,0.0,0.0
8454119ffffffff,5.0,0.0,0.0,0.0
845411dffffffff,2.0,0.0,0.0,0.0
8454139ffffffff,9.0,9.0,0.0,0.0
845413bffffffff,1.0,0.0,0.0,0.0
8454153ffffffff,1.0,0.0,0.0,0.0
8454187ffffffff,2.0,1.0,0.0,0.0
8454197ffffffff,3.0,0.0,0.0,0.0
84541a3ffffffff,6.0,0.0,0.0,0.0
84541a5ffffffff,10.0,7.0,0.0,0.0
84541adffffffff,3.0,3.0,0.0,0.0
84541b9ffffffff,22.0,13.0,0.0,0.0
84541bdffffffff,19.0,14.0,0.0,0.0
8454a93ffffffff,12.0,7.0,0.0,0.0
8454a9bffffffff,6.0,3.0,0.0,0.0
8454ac3ffffffff,6.0,0.0,0.0,0.0
8454ad7ffffffff,4.0,0.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0,0.0
8454f47ffffffff,1.0,1.0,0.0,0.0
8454f4dffffffff,26.0,19.0,0.0,0.0
8454f57ffffffff,7.0,0.0,0.0,0.0
8454f6bffffffff,8.0,5.0,0.0,0.0
8458517ffffffff,1.0,0.0,0.0,0.0
8458581ffffffff,2.0,2.0,0.0,0.0
8458a4dffffffff,2.0,2.0,0.0,0.0
8458cd9ffffffff,1.0,1.0,0.0,0.0
8458e2dffffffff,27.0,12.0,0.0,0.0
8458f5bffffffff,2.0,1.0,0.0,0.0
8459985ffffffff,14.0,8.0,0.0,0.0
84599a5ffffffff,36.0,22.0,0.0,0.0
84599adffffffff,3.0,3.0,0.0,0.0
84599e5ffffffff,27.0,15.0,0.0,0.0
84599e7ffffffff,4.0,4.0,0.0,0.0
846a5a9ffffffff,17.0,0.0,0.0,0.0
846ac15ffffffff,5.0,0.0,0.0,3.0
846ac1dffffffff,2.0,0.0,0.0,2.0
846ac35ffffffff,4.0,0.0,0.0,1.0
846ac39ffffffff,5.0,0.0,0.0,4.0
