cell_id,Pyrrhula nipalensis,Pyrrhula nipalensis [nipalensis Group],Pyrrhula nipalensis waterstradti
833c02fffffffff,1.0,0.0,0.0
833c06fffffffff,1.0,0.0,0.0
833c0afffffffff,18.0,1.0,0.0
833c1dfffffffff,4.0,0.0,0.0
833c31fffffffff,19.0,0.0,0.0
833c52fffffffff,9.0,3.0,0.0
833c58fffffffff,2.0,0.0,0.0
833cd8fffffffff,4.0,1.0,0.0
833d1efffffffff,3.0,0.0,0.0
83415afffffffff,2.0,0.0,0.0
8341b3fffffffff,1.0,0.0,0.0
834ba0fffffffff,4.0,0.0,0.0
834ba2fffffffff,7.0,0.0,0.0
834ba3fffffffff,1.0,0.0,0.0
836500fffffffff,3.0,0.0,0.0
836503fffffffff,2.0,0.0,0.0
