cell_id,Leiothrix argentauris,Leiothrix argentauris [argentauris Group],Leiothrix argentauris laurinae/rookmakeri
823c07fffffffff,1.0,0.0,0.0
823c0ffffffffff,92.0,2.0,0.0
823c1ffffffffff,138.0,0.0,0.0
823c57fffffffff,493.0,0.0,0.0
823c5ffffffffff,1001.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0
823ccffffffffff,25.0,0.0,0.0
823cdffffffffff,46.0,2.0,0.0
823ce7fffffffff,334.0,12.0,0.0
823ceffffffffff,726.0,0.0,0.0
82404ffffffffff,5.0,0.0,0.0
824107fffffffff,11.0,0.0,0.0
82411ffffffffff,692.0,0.0,0.0
82414ffffffffff,64.0,9.0,0.0
824167fffffffff,6.0,0.0,0.0
826487fffffffff,515.0,121.0,0.0
826497fffffffff,453.0,132.0,0.0
82649ffffffffff,96.0,0.0,0.0
8264a7fffffffff,44.0,4.0,0.0
8264b7fffffffff,17.0,4.0,0.0
826507fffffffff,586.0,47.0,0.0
826597fffffffff,5.0,0.0,0.0
8265b7fffffffff,54.0,0.0,0.0
