cell_id,Parabuteo unicinctus,Parabuteo unicinctus harrisi,Parabuteo unicinctus unicinctus
8326dafffffffff,5.0,0.0,0.0
8326defffffffff,23.0,0.0,0.0
8329b0fffffffff,17.0,0.0,0.0
8329b6fffffffff,977.0,0.0,0.0
834524fffffffff,2.0,0.0,0.0
834549fffffffff,2.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0
834800fffffffff,6.0,0.0,0.0
834801fffffffff,19.0,0.0,0.0
834802fffffffff,19.0,0.0,0.0
834805fffffffff,23.0,0.0,0.0
834806fffffffff,16.0,0.0,0.0
834808fffffffff,4.0,0.0,0.0
834809fffffffff,5.0,0.0,0.0
83480afffffffff,54.0,0.0,0.0
83480bfffffffff,48.0,0.0,0.0
83480dfffffffff,8.0,0.0,0.0
83480efffffffff,67.0,0.0,0.0
834810fffffffff,34.0,0.0,0.0
834812fffffffff,13.0,0.0,0.0
834813fffffffff,11.0,0.0,0.0
834814fffffffff,133.0,0.0,0.0
834815fffffffff,3.0,0.0,0.0
834816fffffffff,16.0,0.0,0.0
834818fffffffff,2.0,0.0,0.0
83481afffffffff,32.0,0.0,0.0
83481dfffffffff,5.0,0.0,0.0
83481efffffffff,6.0,0.0,0.0
834823fffffffff,28.0,0.0,0.0
834828fffffffff,8.0,0.0,0.0
834829fffffffff,9.0,0.0,0.0
83482afffffffff,49.0,0.0,0.0
83482bfffffffff,55.0,0.0,0.0
83482efffffffff,41.0,0.0,0.0
834830fffffffff,20.0,0.0,0.0
834832fffffffff,92.0,0.0,0.0
834833fffffffff,53.0,0.0,0.0
834836fffffffff,446.0,0.0,0.0
834842fffffffff,52.0,0.0,0.0
834843fffffffff,25.0,0.0,0.0
834850fffffffff,7.0,0.0,0.0
834852fffffffff,30.0,0.0,0.0
834854fffffffff,2.0,0.0,0.0
834855fffffffff,86.0,0.0,0.0
834856fffffffff,108.0,0.0,0.0
83485afffffffff,12.0,0.0,0.0
83485cfffffffff,32.0,0.0,0.0
83485dfffffffff,1.0,0.0,0.0
83485efffffffff,4.0,0.0,0.0
834871fffffffff,3.0,0.0,0.0
834872fffffffff,40.0,0.0,0.0
834873fffffffff,87.0,0.0,0.0
834876fffffffff,2.0,0.0,0.0
834880fffffffff,678.0,0.0,0.0
834881fffffffff,123.0,0.0,0.0
834882fffffffff,1847.0,0.0,0.0
834883fffffffff,979.0,0.0,0.0
834884fffffffff,80.0,0.0,0.0
834885fffffffff,12.0,0.0,0.0
834886fffffffff,1658.0,0.0,0.0
834888fffffffff,4.0,0.0,0.0
834889fffffffff,18.0,0.0,0.0
83488afffffffff,4.0,0.0,0.0
83488bfffffffff,84.0,0.0,0.0
83488cfffffffff,2.0,0.0,0.0
83488efffffffff,200.0,0.0,0.0
834890fffffffff,66.0,0.0,0.0
834891fffffffff,84.0,0.0,0.0
834895fffffffff,2591.0,17.0,0.0
83489cfffffffff,291.0,0.0,0.0
83489dfffffffff,4.0,0.0,0.0
8348a0fffffffff,23.0,0.0,0.0
8348a2fffffffff,352.0,0.0,0.0
8348a3fffffffff,12.0,0.0,0.0
8348a6fffffffff,17.0,0.0,0.0
8348abfffffffff,6.0,0.0,0.0
8348acfffffffff,1.0,0.0,0.0
8348adfffffffff,8.0,0.0,0.0
8348b0fffffffff,7.0,0.0,0.0
8348b1fffffffff,3301.0,1.0,0.0
8348b2fffffffff,5445.0,0.0,0.0
8348b3fffffffff,23072.0,0.0,0.0
8348b4fffffffff,17.0,0.0,0.0
8348b5fffffffff,57.0,0.0,0.0
8348c0fffffffff,52.0,0.0,0.0
8348c2fffffffff,94.0,0.0,0.0
8348c4fffffffff,4.0,0.0,0.0
8348c5fffffffff,148.0,0.0,0.0
8348c6fffffffff,304.0,0.0,0.0
8348d0fffffffff,39.0,0.0,0.0
8348d4fffffffff,118.0,0.0,0.0
8348d5fffffffff,5.0,0.0,0.0
8348d6fffffffff,42.0,0.0,0.0
8348e2fffffffff,16.0,0.0,0.0
8348e3fffffffff,14.0,0.0,0.0
8348e4fffffffff,4.0,0.0,0.0
8348e5fffffffff,12.0,0.0,0.0
8348e6fffffffff,2.0,0.0,0.0
8348e8fffffffff,4592.0,0.0,0.0
8348e9fffffffff,249.0,0.0,0.0
8348eafffffffff,743.0,0.0,0.0
8348ebfffffffff,1914.0,0.0,0.0
8348ecfffffffff,8.0,0.0,0.0
8348edfffffffff,172.0,0.0,0.0
8348eefffffffff,440.0,0.0,0.0
