cell_id,Spatula cyanoptera,Spatula cyanoptera septentrionalium,Spatula cyanoptera [orinoma Group],Spatula cyanoptera cyanoptera
8412181ffffffff,2.0,0.0,0.0,0.0
8412199ffffffff,2.0,0.0,0.0,0.0
84121e3ffffffff,6.0,0.0,0.0,0.0
8412507ffffffff,2.0,0.0,0.0,0.0
8412515ffffffff,12.0,0.0,0.0,0.0
8412527ffffffff,5.0,0.0,0.0,0.0
8412535ffffffff,22.0,0.0,0.0,0.0
8412539ffffffff,1.0,0.0,0.0,0.0
8412597ffffffff,1.0,0.0,0.0,0.0
84125adffffffff,4.0,0.0,0.0,0.0
8412805ffffffff,2.0,0.0,0.0,0.0
8412847ffffffff,6.0,0.0,0.0,0.0
8412885ffffffff,1.0,0.0,0.0,0.0
8412887ffffffff,10.0,0.0,0.0,0.0
8412891ffffffff,19.0,0.0,0.0,0.0
8412893ffffffff,10.0,0.0,0.0,0.0
8412897ffffffff,5.0,0.0,0.0,0.0
8412899ffffffff,7.0,0.0,0.0,0.0
841289bffffffff,67.0,0.0,0.0,0.0
84128abffffffff,2.0,0.0,0.0,0.0
84128d3ffffffff,6.0,0.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0,0.0
8412a37ffffffff,5.0,0.0,0.0,0.0
8412aa3ffffffff,1.0,0.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0,0.0
8412ab5ffffffff,5.0,0.0,0.0,0.0
8412ad7ffffffff,2.0,0.0,0.0,0.0
8412c01ffffffff,4.0,0.0,0.0,0.0
8412c03ffffffff,2.0,0.0,0.0,0.0
8412c05ffffffff,8.0,0.0,0.0,0.0
8412c07ffffffff,10.0,0.0,0.0,0.0
8412c09ffffffff,1.0,0.0,0.0,0.0
8412c0bffffffff,1.0,0.0,0.0,0.0
8412c11ffffffff,29.0,0.0,0.0,0.0
8412c13ffffffff,4.0,0.0,0.0,0.0
8412c17ffffffff,6.0,0.0,0.0,0.0
8412c1bffffffff,160.0,0.0,0.0,0.0
8412c1dffffffff,100.0,0.0,0.0,0.0
8412c21ffffffff,73.0,0.0,0.0,0.0
8412c33ffffffff,43.0,0.0,0.0,0.0
8412c37ffffffff,13.0,0.0,0.0,0.0
8412c39ffffffff,33.0,0.0,0.0,0.0
8412c3bffffffff,73.0,0.0,0.0,0.0
8412c4dffffffff,1.0,0.0,0.0,0.0
8412c81ffffffff,17.0,0.0,0.0,0.0
8412c83ffffffff,19.0,0.0,0.0,0.0
8412c85ffffffff,41.0,0.0,0.0,0.0
8412c87ffffffff,81.0,0.0,0.0,0.0
8412c89ffffffff,59.0,0.0,0.0,0.0
8412c8bffffffff,36.0,0.0,0.0,0.0
8412c8dffffffff,19.0,0.0,0.0,0.0
8412c91ffffffff,5.0,0.0,0.0,0.0
8412c93ffffffff,8.0,0.0,0.0,0.0
8412c95ffffffff,15.0,0.0,0.0,0.0
8412c97ffffffff,85.0,0.0,0.0,0.0
8412c99ffffffff,15.0,0.0,0.0,0.0
8412c9bffffffff,17.0,0.0,0.0,0.0
8412c9dffffffff,166.0,0.0,0.0,0.0
8412ca3ffffffff,2.0,0.0,0.0,0.0
8412ca5ffffffff,13.0,0.0,0.0,0.0
8412ca7ffffffff,2.0,0.0,0.0,0.0
8412cabffffffff,4.0,0.0,0.0,0.0
8412cadffffffff,62.0,0.0,0.0,0.0
8412cb1ffffffff,45.0,0.0,0.0,0.0
8412cb3ffffffff,2.0,0.0,0.0,0.0
8412cb5ffffffff,2.0,0.0,0.0,0.0
8412cb9ffffffff,9.0,0.0,0.0,0.0
8412cbbffffffff,29.0,0.0,0.0,0.0
8412cc1ffffffff,1290.0,0.0,0.0,0.0
8412cc3ffffffff,14.0,0.0,0.0,0.0
8412cc5ffffffff,57.0,0.0,0.0,0.0
8412cc7ffffffff,41.0,0.0,0.0,0.0
8412cc9ffffffff,1088.0,0.0,0.0,0.0
8412ccbffffffff,20.0,0.0,0.0,0.0
8412ccdffffffff,1228.0,0.0,0.0,0.0
8412cd1ffffffff,4.0,0.0,0.0,0.0
8412cd3ffffffff,22.0,0.0,0.0,0.0
8412cd5ffffffff,16.0,0.0,0.0,0.0
8412cd7ffffffff,32.0,0.0,0.0,0.0
8412cd9ffffffff,230.0,0.0,0.0,0.0
8412cdbffffffff,55.0,0.0,0.0,0.0
8412cddffffffff,20.0,0.0,0.0,0.0
8412ce3ffffffff,32.0,0.0,0.0,0.0
8412ce5ffffffff,42.0,0.0,0.0,0.0
8412ce7ffffffff,4.0,0.0,0.0,0.0
8412cebffffffff,1.0,0.0,0.0,0.0
8412d01ffffffff,60.0,0.0,0.0,0.0
8412d03ffffffff,168.0,0.0,0.0,0.0
8412d05ffffffff,9.0,0.0,0.0,0.0
8412d07ffffffff,2.0,0.0,0.0,0.0
8412d0bffffffff,42.0,0.0,0.0,0.0
8412d11ffffffff,76.0,0.0,0.0,0.0
8412d15ffffffff,9.0,0.0,0.0,0.0
8412d17ffffffff,642.0,0.0,0.0,0.0
8412d19ffffffff,138.0,0.0,0.0,0.0
8412d1dffffffff,7.0,0.0,0.0,0.0
8412d29ffffffff,29.0,0.0,0.0,0.0
8412d31ffffffff,4.0,0.0,0.0,0.0
8412d33ffffffff,32.0,0.0,0.0,0.0
8412d37ffffffff,112.0,0.0,0.0,0.0
8412d39ffffffff,109.0,0.0,0.0,0.0
8412d3bffffffff,13.0,0.0,0.0,0.0
8412d3dffffffff,26.0,0.0,0.0,0.0
8412d41ffffffff,26.0,0.0,0.0,0.0
8412d47ffffffff,7.0,0.0,0.0,0.0
8412d4dffffffff,3.0,0.0,0.0,0.0
8412d55ffffffff,3.0,0.0,0.0,0.0
8412d57ffffffff,5.0,0.0,0.0,0.0
8412d5dffffffff,2.0,0.0,0.0,0.0
8412d63ffffffff,28.0,0.0,0.0,0.0
8412d69ffffffff,3.0,0.0,0.0,0.0
8412d6bffffffff,21.0,0.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0,0.0
8412d83ffffffff,3.0,0.0,0.0,0.0
8412d87ffffffff,69.0,0.0,0.0,0.0
8412d89ffffffff,35.0,0.0,0.0,0.0
8412d8dffffffff,26.0,0.0,0.0,0.0
8412d91ffffffff,2.0,0.0,0.0,0.0
8412d93ffffffff,5.0,0.0,0.0,0.0
8412d95ffffffff,21.0,0.0,0.0,0.0
8412d97ffffffff,25.0,0.0,0.0,0.0
8412d9dffffffff,144.0,0.0,0.0,0.0
8412da1ffffffff,4.0,0.0,0.0,0.0
8412da5ffffffff,81.0,0.0,0.0,0.0
8412da7ffffffff,20.0,0.0,0.0,0.0
8412da9ffffffff,23.0,0.0,0.0,0.0
8412dadffffffff,14.0,0.0,0.0,0.0
8412db1ffffffff,32.0,0.0,0.0,0.0
8412db3ffffffff,191.0,0.0,0.0,0.0
8412db5ffffffff,113.0,0.0,0.0,0.0
8412db7ffffffff,411.0,0.0,0.0,0.0
8412db9ffffffff,113.0,0.0,0.0,0.0
8412dbbffffffff,4.0,0.0,0.0,0.0
8412dbdffffffff,22.0,0.0,0.0,0.0
8412dc3ffffffff,62.0,0.0,0.0,0.0
8412dc5ffffffff,6.0,0.0,0.0,0.0
8412dc7ffffffff,22.0,0.0,0.0,0.0
8412dc9ffffffff,68.0,0.0,0.0,0.0
