cell_id,Chalcites minutillus,Chalcites minutillus [minutillus Group],Chalcites minutillus [poecilurus Group],Chalcites minutillus rufomerus/salvadorii
836422fffffffff,2.0,0.0,0.0,0.0
836430fffffffff,3.0,0.0,0.0,0.0
836431fffffffff,9.0,0.0,0.0,0.0
836434fffffffff,11.0,0.0,0.0,0.0
836435fffffffff,17.0,0.0,0.0,0.0
836500fffffffff,7.0,0.0,0.0,0.0
836501fffffffff,7.0,0.0,0.0,0.0
836503fffffffff,8.0,0.0,0.0,0.0
836505fffffffff,119.0,0.0,0.0,0.0
83650dfffffffff,1.0,0.0,0.0,0.0
836511fffffffff,5.0,2.0,0.0,0.0
836518fffffffff,25.0,0.0,0.0,0.0
836519fffffffff,4.0,0.0,0.0,0.0
83651bfffffffff,16.0,5.0,0.0,0.0
83651cfffffffff,23.0,1.0,0.0,0.0
83651dfffffffff,21.0,0.0,0.0,0.0
83651efffffffff,2.0,0.0,0.0,0.0
836520fffffffff,317.0,0.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0,0.0
836523fffffffff,2.0,0.0,0.0,0.0
836526fffffffff,299.0,0.0,0.0,0.0
836531fffffffff,2.0,0.0,0.0,0.0
836580fffffffff,1.0,0.0,0.0,0.0
836585fffffffff,4.0,0.0,0.0,0.0
836811fffffffff,8.0,0.0,0.0,0.0
836812fffffffff,2.0,0.0,0.0,0.0
836818fffffffff,17.0,0.0,0.0,0.0
83681afffffffff,2.0,0.0,0.0,0.0
83681cfffffffff,3.0,0.0,0.0,0.0
836844fffffffff,1.0,0.0,0.0,0.0
836846fffffffff,2.0,0.0,0.0,0.0
83684efffffffff,2.0,0.0,0.0,0.0
836856fffffffff,16.0,0.0,0.0,0.0
836858fffffffff,49.0,4.0,0.0,0.0
83685cfffffffff,3.0,0.0,0.0,0.0
83685dfffffffff,38.0,1.0,0.0,0.0
836871fffffffff,3.0,0.0,0.0,0.0
836875fffffffff,3.0,0.0,0.0,0.0
836892fffffffff,3.0,0.0,0.0,0.0
8368acfffffffff,9.0,0.0,0.0,0.0
8368b5fffffffff,2.0,0.0,0.0,0.0
8368c3fffffffff,4.0,0.0,0.0,0.0
8368c8fffffffff,5.0,0.0,1.0,0.0
8368cefffffffff,10.0,0.0,5.0,0.0
8368d2fffffffff,92.0,0.0,36.0,0.0
8368d8fffffffff,2.0,0.0,2.0,0.0
8368e4fffffffff,1.0,0.0,0.0,0.0
8372a2fffffffff,3.0,0.0,0.0,0.0
8372a3fffffffff,1.0,0.0,0.0,0.0
8372aefffffffff,10.0,0.0,3.0,0.0
8372d2fffffffff,2.0,0.0,0.0,0.0
8372d4fffffffff,2.0,0.0,0.0,0.0
8372d5fffffffff,4.0,0.0,0.0,0.0
8372d9fffffffff,1.0,0.0,0.0,0.0
8372dafffffffff,3.0,0.0,0.0,0.0
8372dbfffffffff,4.0,0.0,0.0,0.0
8372defffffffff,2.0,0.0,0.0,0.0
8372f2fffffffff,24.0,0.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0,0.0
83739afffffffff,3.0,0.0,0.0,0.0
83739bfffffffff,59.0,0.0,0.0,0.0
838c10fffffffff,1.0,0.0,0.0,0.0
838c96fffffffff,3.0,0.0,0.0,0.0
838cadfffffffff,16.0,0.0,0.0,0.0
838cd2fffffffff,2.0,0.0,0.0,0.0
838cdcfffffffff,4.0,0.0,0.0,0.0
839404fffffffff,3.0,0.0,0.0,0.0
839415fffffffff,40.0,0.0,0.0,0.0
839418fffffffff,5.0,0.0,0.0,0.0
83941afffffffff,2.0,0.0,0.0,0.0
83941bfffffffff,12.0,0.0,0.0,0.0
839421fffffffff,1.0,0.0,0.0,0.0
839423fffffffff,35.0,0.0,0.0,0.0
83942cfffffffff,25.0,0.0,0.0,0.0
83942dfffffffff,13.0,0.0,0.0,0.0
839431fffffffff,4.0,0.0,0.0,0.0
83944bfffffffff,2.0,0.0,0.0,0.0
839450fffffffff,185.0,25.0,0.0,0.0
839451fffffffff,721.0,77.0,0.0,0.0
839453fffffffff,29.0,1.0,0.0,0.0
839455fffffffff,4.0,0.0,0.0,0.0
83945afffffffff,9.0,0.0,0.0,0.0
83945cfffffffff,84.0,3.0,0.0,0.0
83945efffffffff,5.0,0.0,0.0,0.0
839466fffffffff,30.0,0.0,0.0,18.0
839480fffffffff,317.0,0.0,0.0,0.0
839481fffffffff,27.0,0.0,0.0,0.0
839485fffffffff,10.0,0.0,0.0,0.0
83948cfffffffff,2.0,0.0,0.0,0.0
83948dfffffffff,1.0,0.0,0.0,0.0
8394aafffffffff,6.0,0.0,0.0,0.0
8394aefffffffff,9.0,0.0,0.0,0.0
8394c6fffffffff,2.0,0.0,0.0,0.0
8394e2fffffffff,16.0,0.0,0.0,0.0
8394e3fffffffff,4.0,0.0,0.0,0.0
8394edfffffffff,10.0,0.0,0.0,0.0
8394f4fffffffff,4.0,0.0,0.0,0.0
8394f6fffffffff,2.0,0.0,0.0,0.0
839500fffffffff,6.0,0.0,1.0,0.0
83950afffffffff,8.0,0.0,0.0,0.0
83951afffffffff,2.0,0.0,0.0,0.0
83951efffffffff,5.0,0.0,0.0,0.0
839521fffffffff,1.0,0.0,0.0,0.0
83952dfffffffff,2.0,0.0,0.0,0.0
839553fffffffff,24.0,0.0,0.0,0.0
839558fffffffff,9.0,0.0,0.0,2.0
83955afffffffff,15.0,0.0,0.0,4.0
83956afffffffff,1.0,0.0,0.0,0.0
83956dfffffffff,7.0,0.0,0.0,0.0
8395a9fffffffff,2.0,0.0,0.0,0.0
839c00fffffffff,51.0,0.0,5.0,0.0
839c01fffffffff,31.0,0.0,10.0,0.0
839c05fffffffff,232.0,0.0,71.0,0.0
839c0afffffffff,12.0,0.0,8.0,0.0
839c0efffffffff,32.0,0.0,5.0,0.0
839c19fffffffff,391.0,0.0,121.0,0.0
839c20fffffffff,103.0,0.0,7.0,0.0
839c21fffffffff,11.0,0.0,2.0,0.0
839c23fffffffff,1729.0,0.0,223.0,0.0
839c25fffffffff,58.0,0.0,0.0,0.0
839c2cfffffffff,3.0,0.0,0.0,0.0
839c2dfffffffff,12.0,0.0,0.0,0.0
839c2efffffffff,1.0,0.0,0.0,0.0
839c43fffffffff,2.0,0.0,0.0,0.0
839c4bfffffffff,9.0,0.0,0.0,0.0
839c58fffffffff,1.0,0.0,0.0,0.0
839c5afffffffff,15.0,0.0,0.0,0.0
839c60fffffffff,2.0,0.0,0.0,0.0
839c6afffffffff,2.0,0.0,0.0,0.0
839c74fffffffff,20.0,0.0,0.0,0.0
839c99fffffffff,4.0,0.0,0.0,0.0
839ca6fffffffff,6.0,0.0,0.0,0.0
