cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
84660bbffffffff,4.0,0.0,2.0,0.0
8466197ffffffff,2.0,0.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0
8466c01ffffffff,3.0,0.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0,0.0
8466de1ffffffff,3.0,0.0,3.0,0.0
8466de7ffffffff,2.0,0.0,0.0,0.0
8466e61ffffffff,2.0,0.0,1.0,0.0
8466e67ffffffff,3.0,0.0,1.0,0.0
848e643ffffffff,2.0,0.0,0.0,2.0
848e651ffffffff,2.0,0.0,0.0,2.0
848e663ffffffff,2.0,0.0,0.0,2.0
848f295ffffffff,11.0,0.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0,0.0
848f50dffffffff,6.0,0.0,0.0,2.0
848f547ffffffff,1.0,0.0,0.0,0.0
848f721ffffffff,6.0,0.0,6.0,0.0
