cell_id,Caracara plancus,Caracara plancus cheriway,Caracara plancus plancus
8226cffffffffff,1430.0,1078.0,0.0
8226dffffffffff,34.0,18.0,0.0
824417fffffffff,1613.0,1160.0,0.0
82441ffffffffff,1082.0,845.0,0.0
824437fffffffff,151.0,109.0,0.0
824447fffffffff,2643.0,1885.0,0.0
82444ffffffffff,4.0,2.0,0.0
824467fffffffff,562.0,468.0,0.0
82446ffffffffff,17938.0,12992.0,0.0
8244affffffffff,8208.0,6511.0,0.0
8244f7fffffffff,4.0,2.0,0.0
824507fffffffff,6.0,5.0,0.0
82450ffffffffff,1815.0,1298.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,2756.0,1932.0,0.0
82452ffffffffff,1083.0,761.0,0.0
824537fffffffff,996.0,793.0,0.0
824557fffffffff,2.0,2.0,0.0
82456ffffffffff,4.0,1.0,0.0
824577fffffffff,696.0,507.0,0.0
824587fffffffff,43.0,37.0,0.0
82458ffffffffff,1594.0,1315.0,0.0
824597fffffffff,201.0,178.0,0.0
82459ffffffffff,1318.0,1167.0,0.0
824807fffffffff,720.0,494.0,0.0
82480ffffffffff,1425.0,1116.0,0.0
824817fffffffff,732.0,592.0,0.0
82481ffffffffff,13.0,9.0,0.0
824827fffffffff,378.0,335.0,0.0
82482ffffffffff,1790.0,1439.0,0.0
824837fffffffff,3013.0,2035.0,0.0
824857fffffffff,347.0,257.0,0.0
82485ffffffffff,5.0,5.0,0.0
824877fffffffff,143.0,104.0,0.0
824887fffffffff,13474.0,10512.0,0.0
82488ffffffffff,650.0,497.0,0.0
824897fffffffff,25178.0,18942.0,0.0
82489ffffffffff,25692.0,19977.0,0.0
8248a7fffffffff,1349.0,1104.0,0.0
8248affffffffff,3.0,3.0,0.0
8248b7fffffffff,32851.0,23353.0,0.0
8248e7fffffffff,91.0,61.0,0.0
8248effffffffff,2082.0,1656.0,0.0
824987fffffffff,533.0,367.0,0.0
82498ffffffffff,558.0,390.0,0.0
824997fffffffff,1654.0,1093.0,0.0
82499ffffffffff,500.0,419.0,0.0
8249a7fffffffff,53.0,41.0,0.0
8249affffffffff,1994.0,1490.0,0.0
8249b7fffffffff,588.0,417.0,0.0
824c97fffffffff,16.0,15.0,0.0
824c9ffffffffff,41.0,38.0,0.0
825e67fffffffff,6.0,4.0,0.0
825f0ffffffffff,292.0,158.0,0.0
825f17fffffffff,69.0,33.0,0.0
825f1ffffffffff,30.0,13.0,0.0
825f27fffffffff,17.0,17.0,0.0
825f2ffffffffff,1041.0,643.0,0.0
825f47fffffffff,218.0,111.0,0.0
825f4ffffffffff,584.0,303.0,0.0
825f57fffffffff,3.0,0.0,0.0
825f5ffffffffff,43.0,10.0,0.0
825f6ffffffffff,28.0,27.0,0.0
825f77fffffffff,85.0,73.0,0.0
826607fffffffff,557.0,296.0,0.0
82660ffffffffff,883.0,553.0,0.0
826617fffffffff,1109.0,732.0,0.0
82661ffffffffff,3475.0,1968.0,0.0
826627fffffffff,4951.0,3141.0,0.0
82662ffffffffff,352.0,241.0,0.0
826637fffffffff,370.0,221.0,0.0
826647fffffffff,649.0,368.0,0.0
826657fffffffff,1475.0,788.0,0.0
82665ffffffffff,8.0,0.0,0.0
826667fffffffff,343.0,229.0,0.0
82666ffffffffff,15.0,13.0,0.0
826677fffffffff,1012.0,665.0,0.0
8266a7fffffffff,3682.0,2393.0,0.0
8266b7fffffffff,10156.0,5789.0,0.0
8266c7fffffffff,796.0,491.0,0.0
8266cffffffffff,10.0,10.0,0.0
8266d7fffffffff,83.0,51.0,0.0
8266e7fffffffff,7831.0,4660.0,0.0
8266effffffffff,526.0,337.0,0.0
8266f7fffffffff,2053.0,1332.0,0.0
826747fffffffff,3604.0,2553.0,0.0
82674ffffffffff,1113.0,588.0,0.0
826757fffffffff,4570.0,1666.0,0.0
82675ffffffffff,692.0,508.0,0.0
82676ffffffffff,89.0,63.0,0.0
826777fffffffff,521.0,417.0,0.0
826797fffffffff,134.0,84.0,0.0
82679ffffffffff,1023.0,478.0,0.0
8267b7fffffffff,32.0,21.0,0.0
826d07fffffffff,1018.0,773.0,0.0
826d17fffffffff,349.0,237.0,0.0
826d27fffffffff,1118.0,684.0,0.0
826d2ffffffffff,2146.0,1735.0,0.0
826d37fffffffff,6841.0,5054.0,0.0
826d67fffffffff,4797.0,3547.0,0.0
826d6ffffffffff,21164.0,12446.0,0.0
826d77fffffffff,938.0,561.0,0.0
828007fffffffff,13.0,0.0,11.0
82800ffffffffff,91.0,0.0,68.0
828017fffffffff,509.0,0.0,377.0
82801ffffffffff,14.0,0.0,12.0
828027fffffffff,2.0,0.0,2.0
828037fffffffff,257.0,0.0,156.0
828047fffffffff,79.0,0.0,66.0
82804ffffffffff,24.0,19.0,0.0
828057fffffffff,141.0,0.0,114.0
828067fffffffff,23.0,0.0,17.0
82806ffffffffff,32.0,23.0,0.0
828077fffffffff,12.0,0.0,6.0
8280a7fffffffff,4.0,0.0,4.0
828107fffffffff,335.0,0.0,224.0
82810ffffffffff,25.0,0.0,21.0
828117fffffffff,148.0,0.0,97.0
82811ffffffffff,33.0,0.0,25.0
828127fffffffff,296.0,0.0,206.0
82812ffffffffff,57.0,0.0,26.0
828137fffffffff,514.0,0.0,358.0
828147fffffffff,131.0,0.0,77.0
82814ffffffffff,185.0,0.0,153.0
828157fffffffff,6.0,0.0,4.0
82815ffffffffff,85.0,0.0,68.0
828167fffffffff,141.0,0.0,93.0
828177fffffffff,134.0,0.0,73.0
828187fffffffff,841.0,0.0,414.0
82818ffffffffff,184.0,0.0,144.0
82819ffffffffff,162.0,0.0,80.0
8281a7fffffffff,91.0,0.0,79.0
8281affffffffff,101.0,0.0,75.0
828a07fffffffff,102.0,0.0,74.0
828a17fffffffff,4.0,0.0,2.0
828a1ffffffffff,12.0,0.0,4.0
828a27fffffffff,22.0,0.0,18.0
828a37fffffffff,6.0,0.0,4.0
828a47fffffffff,34.0,17.0,1.0
828a6ffffffffff,87.0,0.0,28.0
828a77fffffffff,2.0,0.0,2.0
828a87fffffffff,17.0,0.0,16.0
828a8ffffffffff,20.0,0.0,15.0
828a97fffffffff,8.0,0.0,8.0
828a9ffffffffff,14.0,0.0,7.0
828aaffffffffff,38.0,0.0,28.0
828ab7fffffffff,2.0,0.0,2.0
828ad7fffffffff,2.0,2.0,0.0
828adffffffffff,189.0,152.0,0.0
828af7fffffffff,191.0,0.0,89.0
828b07fffffffff,58.0,0.0,28.0
828b0ffffffffff,462.0,0.0,190.0
828b17fffffffff,24.0,0.0,21.0
828b1ffffffffff,9.0,0.0,7.0
828b27fffffffff,1467.0,0.0,889.0
828b2ffffffffff,393.0,0.0,207.0
828b37fffffffff,109.0,0.0,76.0
828b47fffffffff,267.0,0.0,184.0
828b57fffffffff,51.0,0.0,30.0
828b5ffffffffff,10.0,0.0,4.0
828b67fffffffff,305.0,0.0,232.0
828b6ffffffffff,1.0,0.0,1.0
828b77fffffffff,144.0,0.0,52.0
828b87fffffffff,51.0,0.0,32.0
828b8ffffffffff,23.0,0.0,2.0
828b9ffffffffff,180.0,0.0,110.0
828ba7fffffffff,311.0,0.0,251.0
828baffffffffff,2.0,0.0,0.0
828bb7fffffffff,524.0,0.0,366.0
828f0ffffffffff,975.0,683.0,0.0
828f2ffffffffff,702.0,383.0,0.0
828f47fffffffff,41.0,0.0,25.0
828f57fffffffff,662.0,446.0,3.0
828f5ffffffffff,2.0,0.0,0.0
828f67fffffffff,3.0,0.0,0.0
828f77fffffffff,15.0,15.0,0.0
82a597fffffffff,199.0,0.0,173.0
82a807fffffffff,1028.0,0.0,759.0
82a80ffffffffff,158.0,0.0,102.0
82a817fffffffff,10097.0,0.0,6454.0
82a81ffffffffff,4630.0,0.0,3386.0
82a827fffffffff,336.0,0.0,142.0
82a82ffffffffff,187.0,0.0,118.0
82a837fffffffff,774.0,0.0,550.0
82a847fffffffff,1614.0,0.0,962.0
82a84ffffffffff,26.0,0.0,16.0
82a857fffffffff,284.0,0.0,181.0
82a85ffffffffff,6982.0,0.0,4427.0
82a867fffffffff,269.0,0.0,149.0
82a86ffffffffff,139.0,0.0,81.0
82a877fffffffff,162.0,0.0,58.0
82a887fffffffff,957.0,0.0,625.0
82a88ffffffffff,746.0,0.0,566.0
82a897fffffffff,370.0,0.0,296.0
82a89ffffffffff,29.0,0.0,15.0
82a8a7fffffffff,3338.0,0.0,2029.0
82a8affffffffff,1700.0,0.0,1057.0
82a8b7fffffffff,96.0,0.0,32.0
82a8c7fffffffff,371.0,0.0,262.0
82a8cffffffffff,27.0,0.0,16.0
82a8d7fffffffff,982.0,0.0,690.0
82a8dffffffffff,176.0,0.0,91.0
82a8e7fffffffff,80.0,0.0,59.0
82a8effffffffff,124.0,0.0,83.0
82a8f7fffffffff,218.0,0.0,122.0
82a907fffffffff,751.0,0.0,527.0
82a90ffffffffff,449.0,0.0,298.0
82a91ffffffffff,575.0,0.0,270.0
82a927fffffffff,138.0,0.0,81.0
82a92ffffffffff,1298.0,0.0,944.0
82a947fffffffff,3945.0,0.0,2487.0
82a94ffffffffff,2672.0,0.0,1881.0
82a957fffffffff,1722.0,0.0,769.0
82a95ffffffffff,531.0,0.0,403.0
82a967fffffffff,1900.0,0.0,1022.0
82a96ffffffffff,1749.0,0.0,1072.0
82a977fffffffff,543.0,0.0,337.0
82b207fffffffff,69.0,0.0,3.0
82b20ffffffffff,39.0,0.0,24.0
82b21ffffffffff,103.0,0.0,67.0
82b227fffffffff,67.0,0.0,45.0
82b22ffffffffff,13.0,0.0,6.0
82b247fffffffff,1666.0,0.0,1194.0
82b24ffffffffff,1832.0,0.0,1239.0
82b257fffffffff,99.0,0.0,63.0
82b25ffffffffff,3142.0,0.0,2084.0
82b267fffffffff,866.0,0.0,372.0
82b26ffffffffff,692.0,0.0,352.0
82b277fffffffff,904.0,0.0,476.0
82b2c7fffffffff,30.0,0.0,17.0
82b2cffffffffff,135.0,0.0,73.0
82b2dffffffffff,155.0,0.0,95.0
82b2e7fffffffff,46.0,0.0,27.0
82b2effffffffff,781.0,0.0,303.0
82b31ffffffffff,20.0,0.0,15.0
82b327fffffffff,7.0,0.0,2.0
82b32ffffffffff,19.0,0.0,16.0
82b347fffffffff,1802.0,0.0,1262.0
82b34ffffffffff,337.0,0.0,203.0
82b357fffffffff,914.0,0.0,577.0
82b35ffffffffff,4846.0,0.0,3373.0
82b367fffffffff,246.0,0.0,167.0
82b36ffffffffff,603.0,0.0,422.0
82b377fffffffff,18.0,0.0,10.0
82c207fffffffff,208.0,0.0,147.0
82c21ffffffffff,1994.0,0.0,1211.0
82c227fffffffff,58.0,0.0,42.0
82c22ffffffffff,823.0,0.0,645.0
82c2c7fffffffff,3586.0,0.0,1716.0
82c2cffffffffff,2112.0,0.0,1354.0
82c2d7fffffffff,1411.0,0.0,804.0
82c2dffffffffff,295.0,0.0,166.0
82c2e7fffffffff,10875.0,0.0,6608.0
82c2effffffffff,1283.0,0.0,711.0
82c2f7fffffffff,4564.0,0.0,2636.0
82c307fffffffff,16.0,0.0,3.0
82c30ffffffffff,75.0,0.0,43.0
82c327fffffffff,241.0,0.0,152.0
82c32ffffffffff,330.0,0.0,167.0
82c347fffffffff,644.0,0.0,455.0
82c34ffffffffff,542.0,0.0,342.0
82c357fffffffff,677.0,0.0,418.0
82c35ffffffffff,133.0,0.0,91.0
82c367fffffffff,286.0,0.0,136.0
82c36ffffffffff,109.0,0.0,74.0
82c377fffffffff,423.0,0.0,219.0
82ce17fffffffff,42.0,0.0,31.0
82ce37fffffffff,2.0,0.0,0.0
82ce87fffffffff,2243.0,0.0,1425.0
82ce8ffffffffff,1439.0,0.0,715.0
82ce97fffffffff,834.0,0.0,495.0
82ce9ffffffffff,1256.0,0.0,962.0
82cea7fffffffff,507.0,0.0,214.0
82ceaffffffffff,2197.0,0.0,1314.0
82ceb7fffffffff,9.0,0.0,5.0
82cf17fffffffff,1848.0,0.0,1166.0
82cf37fffffffff,4.0,0.0,4.0
82cf87fffffffff,127.0,0.0,90.0
82cf8ffffffffff,829.0,0.0,619.0
