cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
834505fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83450afffffffff,4.0,0.0,3.0,0.0,0.0,0.0
834520fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,5.0,2.0,0.0,0.0,0.0,0.0
83452efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,20.0,11.0,0.0,0.0,0.0,0.0
834998fffffffff,11.0,8.0,0.0,0.0,0.0,0.0
835f4bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835f58fffffffff,19.0,19.0,0.0,0.0,0.0,0.0
835f5bfffffffff,6.0,6.0,0.0,0.0,0.0,0.0
836608fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366a3fffffffff,10.0,2.0,0.0,0.0,0.0,0.0
8366b4fffffffff,11.0,6.0,0.0,0.0,0.0,0.0
8366b5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836743fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
83674efffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
