cell_id,Oceanites oceanicus,Oceanites oceanicus oceanicus/exasperatus,Oceanites oceanicus chilensis
821877fffffffff,2.0,0.0,0.0
821ab7fffffffff,1.0,0.0,0.0
821ae7fffffffff,2.0,0.0,0.0
821b87fffffffff,7.0,0.0,0.0
821b97fffffffff,11.0,0.0,0.0
822837fffffffff,189.0,0.0,0.0
822a07fffffffff,3725.0,0.0,0.0
822a17fffffffff,1165.0,0.0,0.0
822a1ffffffffff,1754.0,0.0,0.0
822a27fffffffff,267.0,0.0,0.0
822a2ffffffffff,8.0,0.0,0.0
822a37fffffffff,3322.0,0.0,0.0
822a4ffffffffff,18.0,0.0,0.0
822a77fffffffff,1.0,0.0,0.0
822aaffffffffff,700.0,0.0,0.0
822ac7fffffffff,3229.0,0.0,0.0
822ad7fffffffff,5.0,0.0,0.0
822adffffffffff,1.0,0.0,0.0
822af7fffffffff,1679.0,0.0,0.0
822b07fffffffff,8.0,0.0,0.0
822b0ffffffffff,239.0,0.0,0.0
822b1ffffffffff,3930.0,0.0,0.0
822b27fffffffff,34.0,0.0,0.0
822b2ffffffffff,31.0,0.0,0.0
822b37fffffffff,10.0,0.0,0.0
823437fffffffff,6.0,0.0,0.0
823467fffffffff,31.0,0.0,0.0
82346ffffffffff,12.0,0.0,0.0
82351ffffffffff,23.0,0.0,0.0
823917fffffffff,121.0,0.0,0.0
82391ffffffffff,4.0,0.0,0.0
823937fffffffff,39.0,0.0,0.0
823997fffffffff,11.0,0.0,0.0
8242e7fffffffff,1.0,0.0,0.0
82439ffffffffff,9.0,0.0,0.0
8243affffffffff,22.0,0.0,0.0
82440ffffffffff,9.0,0.0,0.0
824417fffffffff,14.0,0.0,0.0
824477fffffffff,34.0,0.0,0.0
824487fffffffff,2.0,0.0,0.0
82449ffffffffff,2.0,0.0,0.0
8244a7fffffffff,88.0,0.0,0.0
8244d7fffffffff,3.0,0.0,0.0
82524ffffffffff,14.0,0.0,0.0
8252d7fffffffff,1.0,0.0,0.0
825437fffffffff,2.0,0.0,0.0
8254affffffffff,6.0,0.0,0.0
825597fffffffff,1.0,0.0,0.0
82576ffffffffff,1.0,0.0,0.0
825e5ffffffffff,38.0,0.0,0.0
825faffffffffff,2.0,0.0,0.0
826007fffffffff,370.0,0.0,0.0
82600ffffffffff,2.0,0.0,0.0
82601ffffffffff,422.0,0.0,0.0
826027fffffffff,10.0,0.0,0.0
826107fffffffff,123.0,0.0,0.0
82611ffffffffff,2.0,0.0,0.0
826337fffffffff,6.0,0.0,0.0
827397fffffffff,2.0,0.0,0.0
82739ffffffffff,22.0,0.0,0.0
827cdffffffffff,1.0,0.0,0.0
82819ffffffffff,13.0,0.0,0.0
828c17fffffffff,1.0,0.0,0.0
828caffffffffff,2.0,0.0,0.0
828da7fffffffff,7.0,0.0,0.0
828db7fffffffff,2.0,0.0,0.0
828e2ffffffffff,6.0,0.0,0.0
828e47fffffffff,41.0,0.0,2.0
828e4ffffffffff,21.0,0.0,0.0
828e67fffffffff,91.0,0.0,4.0
828e6ffffffffff,8.0,0.0,0.0
828e77fffffffff,63.0,0.0,8.0
828f0ffffffffff,6.0,0.0,0.0
828f2ffffffffff,7.0,0.0,0.0
828f57fffffffff,4.0,0.0,0.0
828f5ffffffffff,4.0,0.0,0.0
82940ffffffffff,1.0,0.0,0.0
829417fffffffff,161.0,0.0,0.0
829427fffffffff,8.0,0.0,0.0
829447fffffffff,2.0,0.0,0.0
82944ffffffffff,1.0,0.0,0.0
829457fffffffff,20.0,0.0,0.0
829467fffffffff,6.0,0.0,0.0
829477fffffffff,4.0,0.0,0.0
829487fffffffff,224.0,0.0,0.0
8294a7fffffffff,127.0,0.0,0.0
8294affffffffff,17.0,0.0,0.0
8294e7fffffffff,2.0,0.0,0.0
829517fffffffff,1.0,0.0,0.0
82951ffffffffff,6.0,0.0,0.0
82955ffffffffff,6.0,0.0,0.0
82956ffffffffff,32.0,0.0,0.0
8295a7fffffffff,9.0,0.0,0.0
8298f7fffffffff,1.0,1.0,0.0
829c07fffffffff,2.0,0.0,0.0
829c1ffffffffff,6.0,0.0,0.0
829c27fffffffff,4.0,0.0,0.0
829c47fffffffff,1.0,0.0,0.0
829ce7fffffffff,5.0,0.0,0.0
829ceffffffffff,1.0,0.0,0.0
829d07fffffffff,2.0,0.0,0.0
829d27fffffffff,2.0,0.0,0.0
829ee7fffffffff,2.0,0.0,0.0
82a247fffffffff,1.0,0.0,0.0
82a357fffffffff,1.0,0.0,0.0
82a39ffffffffff,1.0,0.0,0.0
82a617fffffffff,6.0,0.0,0.0
82a707fffffffff,10.0,0.0,0.0
82a70ffffffffff,6.0,0.0,0.0
82a71ffffffffff,1.0,0.0,0.0
82a727fffffffff,134.0,0.0,0.0
82a817fffffffff,11.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0
82a8a7fffffffff,17.0,0.0,0.0
82a927fffffffff,3.0,0.0,0.0
82a92ffffffffff,1.0,0.0,0.0
82ac17fffffffff,21.0,0.0,0.0
82ac37fffffffff,6.0,0.0,0.0
82acaffffffffff,4.0,0.0,0.0
82ad37fffffffff,132.0,7.0,0.0
82b207fffffffff,2.0,0.0,0.0
82b217fffffffff,1.0,0.0,0.0
82b21ffffffffff,154.0,0.0,0.0
82b2c7fffffffff,1495.0,0.0,1.0
82b2dffffffffff,85.0,0.0,0.0
82b2e7fffffffff,4.0,0.0,0.0
82b337fffffffff,20.0,0.0,0.0
82b3affffffffff,1.0,0.0,0.0
82b867fffffffff,2.0,0.0,0.0
82b94ffffffffff,2.0,0.0,0.0
82ba07fffffffff,16.0,0.0,0.0
82ba1ffffffffff,26.0,0.0,0.0
82ba67fffffffff,1.0,0.0,0.0
82baf7fffffffff,39.0,0.0,0.0
82bb2ffffffffff,6.0,0.0,0.0
82bb57fffffffff,77.0,0.0,0.0
82bb5ffffffffff,24.0,0.0,0.0
82bc1ffffffffff,15.0,10.0,0.0
82bc67fffffffff,1.0,0.0,0.0
82bc6ffffffffff,13.0,0.0,0.0
82bc77fffffffff,4.0,0.0,0.0
82bc8ffffffffff,44.0,0.0,0.0
82bcf7fffffffff,3.0,3.0,0.0
82bd4ffffffffff,3.0,0.0,0.0
82bd67fffffffff,2.0,0.0,0.0
82be0ffffffffff,389.0,0.0,0.0
82be1ffffffffff,77.0,0.0,0.0
82be2ffffffffff,120.0,0.0,0.0
82be6ffffffffff,343.0,48.0,0.0
82be77fffffffff,2.0,0.0,0.0
82be8ffffffffff,390.0,0.0,0.0
82bea7fffffffff,1.0,0.0,0.0
82beaffffffffff,494.0,2.0,0.0
82bf4ffffffffff,15.0,0.0,0.0
82bf6ffffffffff,670.0,0.0,0.0
82c01ffffffffff,2.0,0.0,0.0
82c0d7fffffffff,1.0,0.0,0.0
82c0e7fffffffff,4.0,0.0,0.0
82c207fffffffff,44.0,0.0,0.0
82c217fffffffff,29.0,0.0,0.0
82c21ffffffffff,64.0,0.0,0.0
82c227fffffffff,10.0,0.0,0.0
82c237fffffffff,5.0,0.0,0.0
82c2f7fffffffff,3.0,0.0,0.0
82c337fffffffff,46.0,0.0,0.0
82c3a7fffffffff,8.0,0.0,0.0
82c587fffffffff,5.0,0.0,0.0
82c987fffffffff,79.0,0.0,0.0
