cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
820c0ffffffffff,25.0,0.0,0.0,0.0
820c17fffffffff,183.0,0.0,0.0,0.0
820c2ffffffffff,1.0,0.0,0.0,0.0
820c47fffffffff,2893.0,0.0,0.0,0.0
820c57fffffffff,1292.0,0.0,0.0,0.0
820c5ffffffffff,593.0,0.0,0.0,0.0
820c67fffffffff,123.0,0.0,0.0,0.0
820c6ffffffffff,17.0,0.0,0.0,0.0
820c77fffffffff,2050.0,17.0,0.0,0.0
820ca7fffffffff,109.0,0.0,0.0,0.0
820ccffffffffff,2.0,0.0,0.0,0.0
820cdffffffffff,11.0,0.0,0.0,0.0
820ceffffffffff,60.0,0.0,0.0,0.0
820d07fffffffff,38.0,0.0,0.0,0.0
820d4ffffffffff,41.0,0.0,0.0,0.0
820d57fffffffff,7.0,0.0,0.0,0.0
820d5ffffffffff,250.0,0.0,0.0,0.0
820d67fffffffff,19.0,0.0,0.0,0.0
820d6ffffffffff,2.0,0.0,0.0,0.0
820d77fffffffff,3.0,0.0,0.0,0.0
820e47fffffffff,11.0,0.0,0.0,0.0
820e4ffffffffff,1038.0,0.0,0.0,2.0
820e57fffffffff,205.0,0.0,0.0,0.0
820e5ffffffffff,141.0,0.0,0.0,0.0
820e6ffffffffff,63.0,0.0,0.0,0.0
820e87fffffffff,147.0,0.0,0.0,0.0
820e8ffffffffff,36.0,0.0,0.0,0.0
820e97fffffffff,3.0,0.0,0.0,0.0
820e9ffffffffff,8.0,0.0,0.0,0.0
820ec7fffffffff,115.0,0.0,0.0,0.0
820ecffffffffff,671.0,0.0,0.0,207.0
820ed7fffffffff,20.0,0.0,0.0,0.0
820edffffffffff,60.0,0.0,0.0,0.0
820ee7fffffffff,8.0,0.0,0.0,0.0
820eeffffffffff,434.0,0.0,0.0,1.0
820ef7fffffffff,42.0,0.0,0.0,0.0
820f4ffffffffff,1.0,0.0,0.0,0.0
82120ffffffffff,44.0,0.0,0.0,0.0
821217fffffffff,36.0,0.0,0.0,0.0
82121ffffffffff,186.0,0.0,0.0,0.0
821227fffffffff,18.0,0.0,0.0,0.0
82122ffffffffff,14.0,0.0,0.0,0.0
821237fffffffff,10.0,0.0,0.0,0.0
821247fffffffff,35.0,0.0,0.0,0.0
82124ffffffffff,23.0,0.0,0.0,0.0
821257fffffffff,637.0,0.0,0.0,0.0
82125ffffffffff,134.0,0.0,0.0,0.0
821267fffffffff,12.0,0.0,0.0,0.0
82126ffffffffff,9.0,0.0,0.0,0.0
821277fffffffff,150.0,0.0,0.0,0.0
821287fffffffff,126.0,0.0,0.0,0.0
82128ffffffffff,380.0,0.0,0.0,0.0
821297fffffffff,129.0,0.0,0.0,0.0
82129ffffffffff,232.0,0.0,0.0,0.0
8212a7fffffffff,44.0,0.0,0.0,0.0
8212affffffffff,312.0,0.0,0.0,0.0
8212b7fffffffff,636.0,0.0,0.0,0.0
8212c7fffffffff,1017.0,0.0,0.0,0.0
8212cffffffffff,1236.0,0.0,0.0,0.0
8212d7fffffffff,465.0,0.0,0.0,0.0
8212dffffffffff,1392.0,0.0,0.0,0.0
8212e7fffffffff,118.0,0.0,0.0,0.0
8212effffffffff,308.0,0.0,0.0,0.0
8212f7fffffffff,256.0,0.0,0.0,0.0
821317fffffffff,10.0,0.0,0.0,0.0
821357fffffffff,86.0,0.0,0.0,0.0
821387fffffffff,392.0,0.0,0.0,0.0
82138ffffffffff,146.0,0.0,0.0,0.0
821397fffffffff,688.0,0.0,0.0,0.0
82139ffffffffff,1448.0,0.0,0.0,0.0
8213a7fffffffff,22.0,0.0,0.0,0.0
8213affffffffff,11.0,0.0,0.0,0.0
8213b7fffffffff,78.0,0.0,0.0,0.0
821aa7fffffffff,1120.0,0.0,0.0,0.0
821ab7fffffffff,40.0,0.0,0.0,0.0
821b87fffffffff,51.0,0.0,0.0,0.0
821b8ffffffffff,3.0,0.0,0.0,0.0
821b97fffffffff,21.0,0.0,0.0,0.0
821b9ffffffffff,460.0,0.0,0.0,0.0
821bb7fffffffff,5.0,0.0,0.0,0.0
821d27fffffffff,187.0,0.0,0.0,0.0
8222dffffffffff,17.0,0.0,0.0,0.0
822607fffffffff,62.0,0.0,0.0,3.0
82260ffffffffff,159.0,0.0,0.0,0.0
822617fffffffff,11.0,0.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0
822627fffffffff,1028.0,0.0,0.0,2.0
82262ffffffffff,1384.0,0.0,0.0,10.0
822637fffffffff,96.0,0.0,0.0,6.0
822647fffffffff,1974.0,0.0,0.0,46.0
82264ffffffffff,4229.0,0.0,0.0,6.0
822657fffffffff,1506.0,0.0,0.0,2.0
82265ffffffffff,1553.0,0.0,0.0,38.0
822667fffffffff,8727.0,0.0,0.0,343.0
82266ffffffffff,1688.0,0.0,0.0,8.0
822677fffffffff,427.0,0.0,0.0,6.0
822687fffffffff,3976.0,0.0,194.0,0.0
82268ffffffffff,4450.0,0.0,156.0,0.0
822697fffffffff,4297.0,0.0,872.0,0.0
82269ffffffffff,2353.0,0.0,95.0,0.0
8226a7fffffffff,37.0,0.0,0.0,0.0
8226affffffffff,1246.0,0.0,38.0,0.0
8226b7fffffffff,498.0,0.0,28.0,0.0
8226c7fffffffff,253.0,0.0,0.0,0.0
8226cffffffffff,3077.0,0.0,0.0,0.0
8226d7fffffffff,557.0,0.0,1.0,0.0
8226dffffffffff,403.0,0.0,0.0,0.0
8226e7fffffffff,315.0,0.0,0.0,0.0
8226effffffffff,612.0,0.0,0.0,15.0
8226f7fffffffff,813.0,0.0,21.0,0.0
822707fffffffff,1338.0,0.0,0.0,0.0
82270ffffffffff,1777.0,0.0,0.0,112.0
822717fffffffff,284.0,0.0,0.0,0.0
82271ffffffffff,422.0,0.0,0.0,0.0
822727fffffffff,5.0,0.0,0.0,0.0
82272ffffffffff,33.0,0.0,0.0,0.0
822737fffffffff,8.0,0.0,0.0,0.0
822747fffffffff,5398.0,0.0,0.0,154.0
82274ffffffffff,6111.0,0.0,0.0,0.0
822757fffffffff,4407.0,0.0,0.0,346.0
82275ffffffffff,6390.0,0.0,0.0,64.0
822767fffffffff,2705.0,0.0,0.0,42.0
82276ffffffffff,4717.0,0.0,0.0,71.0
822777fffffffff,1292.0,0.0,0.0,37.0
822787fffffffff,14.0,0.0,0.0,0.0
82278ffffffffff,7.0,0.0,0.0,0.0
822797fffffffff,271.0,0.0,0.0,0.0
82279ffffffffff,222.0,0.0,2.0,0.0
8227a7fffffffff,155.0,0.0,0.0,0.0
8227affffffffff,42.0,0.0,0.0,0.0
8227b7fffffffff,28.0,0.0,0.0,0.0
822807fffffffff,4516.0,194.0,0.0,0.0
822817fffffffff,3620.0,0.0,0.0,0.0
82281ffffffffff,5591.0,91.0,0.0,0.0
822837fffffffff,59640.0,574.0,0.0,0.0
822887fffffffff,2286.0,0.0,0.0,0.0
82288ffffffffff,2439.0,0.0,0.0,0.0
822897fffffffff,1385.0,0.0,5.0,0.0
82289ffffffffff,471.0,0.0,1.0,0.0
8228a7fffffffff,136.0,0.0,0.0,0.0
8228affffffffff,2475.0,0.0,0.0,0.0
8228b7fffffffff,1021.0,0.0,12.0,0.0
8228c7fffffffff,809.0,0.0,0.0,0.0
8228cffffffffff,1.0,0.0,0.0,0.0
8228d7fffffffff,10126.0,0.0,0.0,0.0
8228dffffffffff,3501.0,0.0,0.0,0.0
8228e7fffffffff,22.0,0.0,0.0,0.0
8228f7fffffffff,9277.0,79.0,0.0,0.0
822917fffffffff,4895.0,0.0,0.0,0.0
82291ffffffffff,3232.0,1404.0,0.0,0.0
822987fffffffff,1402.0,0.0,0.0,0.0
82298ffffffffff,3289.0,0.0,0.0,0.0
822997fffffffff,1172.0,0.0,40.0,0.0
82299ffffffffff,299.0,0.0,0.0,0.0
8229a7fffffffff,34332.0,187.0,0.0,0.0
8229affffffffff,9042.0,115.0,0.0,0.0
8229b7fffffffff,3596.0,8.0,4.0,0.0
822a07fffffffff,337.0,0.0,0.0,39.0
822a17fffffffff,32294.0,0.0,0.0,635.0
822a37fffffffff,28037.0,0.0,0.0,1284.0
822a4ffffffffff,25.0,0.0,0.0,0.0
822a87fffffffff,4106.0,0.0,0.0,297.0
822a8ffffffffff,12446.0,0.0,0.0,184.0
822a97fffffffff,4355.0,0.0,0.0,110.0
822a9ffffffffff,849.0,0.0,0.0,2.0
822aa7fffffffff,8545.0,0.0,0.0,2016.0
822aaffffffffff,35424.0,0.0,0.0,1485.0
822ab7fffffffff,19560.0,0.0,0.0,527.0
822ad7fffffffff,3015.0,0.0,0.0,0.0
822af7fffffffff,6384.0,0.0,0.0,187.0
822b07fffffffff,3308.0,0.0,0.0,0.0
822b0ffffffffff,3821.0,0.0,0.0,0.0
822b17fffffffff,6330.0,0.0,0.0,25.0
822b1ffffffffff,16187.0,0.0,0.0,2.0
822b27fffffffff,533.0,0.0,0.0,0.0
822b2ffffffffff,939.0,0.0,0.0,0.0
822b37fffffffff,1148.0,0.0,0.0,0.0
822b87fffffffff,7853.0,0.0,0.0,152.0
822b8ffffffffff,16837.0,0.0,0.0,1318.0
822b97fffffffff,2086.0,0.0,0.0,102.0
822b9ffffffffff,15347.0,0.0,0.0,1095.0
822ba7fffffffff,2558.0,0.0,0.0,2.0
822baffffffffff,29480.0,0.0,0.0,102.0
822bb7fffffffff,1034.0,0.0,0.0,0.0
824417fffffffff,171.0,0.0,0.0,0.0
82441ffffffffff,1344.0,0.0,0.0,48.0
824447fffffffff,4871.0,0.0,0.0,0.0
82444ffffffffff,1593.0,0.0,0.0,15.0
824457fffffffff,1664.0,0.0,0.0,5.0
82445ffffffffff,748.0,0.0,0.0,27.0
824467fffffffff,344.0,0.0,0.0,0.0
82446ffffffffff,6746.0,0.0,0.0,2.0
824477fffffffff,721.0,0.0,0.0,0.0
8244a7fffffffff,56.0,0.0,0.0,0.0
