cell_id,Poephila personata,Poephila personata personata,Poephila personata leucotis
8494503ffffffff,13.0,1.0,0.0
849450bffffffff,3.0,0.0,0.0
8494511ffffffff,22.0,2.0,0.0
8494515ffffffff,32.0,2.0,0.0
8494517ffffffff,49.0,0.0,0.0
849451dffffffff,384.0,64.0,0.0
8494533ffffffff,4.0,2.0,0.0
8494535ffffffff,2.0,0.0,0.0
8494539ffffffff,8.0,1.0,0.0
849453bffffffff,4.0,1.0,0.0
8494593ffffffff,4.0,0.0,0.0
8494597ffffffff,2.0,0.0,0.0
84945a1ffffffff,2.0,2.0,0.0
84945a5ffffffff,98.0,32.0,0.0
84945a7ffffffff,15.0,0.0,0.0
84945adffffffff,13.0,5.0,0.0
84945bbffffffff,9.0,0.0,0.0
84945c3ffffffff,9.0,0.0,0.0
84945c5ffffffff,6.0,2.0,0.0
84945c7ffffffff,105.0,11.0,0.0
84945e1ffffffff,5.0,0.0,0.0
84945e3ffffffff,7.0,0.0,0.0
84945e5ffffffff,133.0,20.0,0.0
84945ebffffffff,8.0,2.0,0.0
84948d9ffffffff,3.0,0.0,0.0
8494ab3ffffffff,6.0,0.0,0.0
8494c19ffffffff,2.0,0.0,0.0
8494c49ffffffff,9.0,0.0,0.0
8494c4bffffffff,2.0,0.0,0.0
8494c4dffffffff,5.0,0.0,0.0
8494c5bffffffff,1.0,0.0,0.0
8494c69ffffffff,3.0,0.0,0.0
8494cc9ffffffff,7.0,0.0,0.0
8494e19ffffffff,1.0,0.0,0.0
8494e21ffffffff,51.0,9.0,0.0
8494e23ffffffff,18.0,1.0,0.0
8494e25ffffffff,2.0,0.0,0.0
8494e27ffffffff,5.0,0.0,0.0
8494e29ffffffff,46.0,4.0,0.0
8494e2bffffffff,51.0,9.0,0.0
8494e2dffffffff,6.0,0.0,0.0
8494e35ffffffff,26.0,1.0,0.0
8494e37ffffffff,1.0,0.0,0.0
8494e3dffffffff,13.0,2.0,0.0
8494e81ffffffff,90.0,2.0,0.0
8494e85ffffffff,10.0,0.0,0.0
8494e87ffffffff,13.0,2.0,0.0
8494e8bffffffff,2.0,0.0,0.0
8494e93ffffffff,4.0,0.0,0.0
8494e9dffffffff,3.0,2.0,0.0
8494ea1ffffffff,12.0,0.0,0.0
8494ea5ffffffff,3.0,0.0,0.0
8494eb1ffffffff,2.0,0.0,0.0
8494eb5ffffffff,9.0,2.0,0.0
8494ed1ffffffff,2.0,2.0,0.0
8494ed3ffffffff,133.0,17.0,0.0
8494ed7ffffffff,30.0,10.0,0.0
8494ed9ffffffff,5.0,0.0,0.0
8494edbffffffff,212.0,48.0,0.0
8494ee1ffffffff,65.0,4.0,0.0
8494ee3ffffffff,20.0,2.0,0.0
8494ee5ffffffff,4.0,0.0,0.0
8494ee7ffffffff,191.0,42.0,0.0
8494f09ffffffff,3.0,0.0,0.0
8494f0dffffffff,2.0,0.0,0.0
8494f21ffffffff,3.0,0.0,0.0
8494f47ffffffff,5.0,2.0,0.0
8494f51ffffffff,1.0,0.0,0.0
8494f53ffffffff,1.0,0.0,0.0
8494f55ffffffff,3.0,0.0,0.0
8494f5dffffffff,1.0,0.0,0.0
8494f61ffffffff,3.0,0.0,0.0
8494f63ffffffff,8.0,0.0,0.0
8494f65ffffffff,3.0,0.0,0.0
849c011ffffffff,9.0,0.0,9.0
849c013ffffffff,2.0,0.0,0.0
849c015ffffffff,2.0,0.0,0.0
849c017ffffffff,26.0,0.0,7.0
849c01dffffffff,1.0,0.0,0.0
849c03bffffffff,2.0,0.0,2.0
849c0adffffffff,2.0,0.0,0.0
849c0e7ffffffff,2.0,0.0,2.0
849c0e9ffffffff,74.0,0.0,36.0
849c0edffffffff,17.0,0.0,11.0
849c2d1ffffffff,1.0,0.0,0.0
849c2ddffffffff,85.0,0.0,0.0
849c417ffffffff,7.0,0.0,0.0
849c43bffffffff,6.0,0.0,0.0
849c443ffffffff,2.0,0.0,0.0
849c45dffffffff,3.0,0.0,0.0
849c483ffffffff,4.0,0.0,0.0
849c487ffffffff,1.0,0.0,0.0
849c491ffffffff,2.0,0.0,0.0
849c495ffffffff,20.0,4.0,0.0
849c497ffffffff,2.0,0.0,0.0
849c499ffffffff,2.0,2.0,0.0
849c49dffffffff,2.0,0.0,0.0
849c4a1ffffffff,2.0,0.0,0.0
849c4a7ffffffff,1.0,0.0,0.0
849c4b3ffffffff,5.0,0.0,0.0
849c4bdffffffff,2.0,0.0,0.0
849c4c3ffffffff,2.0,0.0,0.0
849c4cdffffffff,4.0,0.0,0.0
849c4e1ffffffff,2.0,0.0,0.0
849c605ffffffff,1.0,0.0,0.0
849c663ffffffff,4.0,0.0,0.0
849c6a7ffffffff,2.0,0.0,0.0
849c6e7ffffffff,2.0,0.0,0.0
