cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
835f03fffffffff,8.0,0.0,0.0
835f08fffffffff,3.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f10fffffffff,1.0,0.0,0.0
835f12fffffffff,7.0,0.0,0.0
835f13fffffffff,9.0,0.0,0.0
835f14fffffffff,3.0,0.0,0.0
835f1cfffffffff,11.0,0.0,0.0
835f1efffffffff,3.0,0.0,0.0
835f22fffffffff,3.0,0.0,0.0
835f29fffffffff,49.0,0.0,0.0
835f2bfffffffff,44.0,0.0,0.0
835f40fffffffff,4.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f42fffffffff,8.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0
835f49fffffffff,1.0,0.0,0.0
835f4afffffffff,17.0,0.0,0.0
835f4bfffffffff,1.0,0.0,0.0
835f50fffffffff,8.0,0.0,0.0
835f58fffffffff,142.0,0.0,0.0
835f5bfffffffff,3.0,0.0,0.0
835f5dfffffffff,16.0,0.0,0.0
835f68fffffffff,6.0,0.0,0.0
835f6afffffffff,1.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0
836600fffffffff,4.0,0.0,0.0
836601fffffffff,2.0,0.0,0.0
836602fffffffff,107.0,0.0,0.0
836604fffffffff,16.0,0.0,0.0
836605fffffffff,11.0,0.0,0.0
836606fffffffff,82.0,0.0,0.0
836608fffffffff,85.0,2.0,0.0
836609fffffffff,29.0,0.0,0.0
83660afffffffff,433.0,4.0,0.0
83660bfffffffff,23.0,0.0,0.0
83660cfffffffff,37.0,0.0,0.0
83660dfffffffff,5.0,0.0,0.0
83660efffffffff,177.0,0.0,0.0
836610fffffffff,212.0,0.0,0.0
836611fffffffff,73.0,0.0,0.0
836613fffffffff,192.0,0.0,0.0
836615fffffffff,3.0,0.0,0.0
836616fffffffff,65.0,0.0,0.0
836618fffffffff,105.0,0.0,0.0
836619fffffffff,412.0,4.0,0.0
83661afffffffff,20.0,0.0,0.0
83661bfffffffff,17.0,0.0,0.0
83661cfffffffff,40.0,0.0,0.0
83661dfffffffff,58.0,0.0,0.0
83661efffffffff,31.0,0.0,0.0
836620fffffffff,162.0,8.0,0.0
836621fffffffff,9.0,0.0,0.0
836622fffffffff,93.0,7.0,0.0
836625fffffffff,10.0,0.0,0.0
