cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
849d259ffffffff,2.0,0.0,0.0
849d2c3ffffffff,23.0,3.0,0.0
84be081ffffffff,10.0,1.0,0.0
84be085ffffffff,61.0,6.0,0.0
84be087ffffffff,21.0,10.0,0.0
84be089ffffffff,145.0,7.0,0.0
84be08bffffffff,3.0,0.0,0.0
84be08dffffffff,65.0,6.0,0.0
84be093ffffffff,3.0,1.0,0.0
84be097ffffffff,1.0,0.0,0.0
84be0a1ffffffff,22.0,0.0,0.0
84be0a3ffffffff,70.0,24.0,0.0
84be0a5ffffffff,4.0,0.0,0.0
84be0a7ffffffff,1.0,0.0,0.0
84be0a9ffffffff,87.0,12.0,0.0
84be0abffffffff,22.0,2.0,0.0
84be0adffffffff,166.0,10.0,0.0
84be0b1ffffffff,4.0,0.0,0.0
84be0b5ffffffff,2.0,0.0,0.0
84be0bdffffffff,237.0,36.0,0.0
84be0c3ffffffff,203.0,30.0,0.0
84be0d1ffffffff,2.0,0.0,0.0
84be0d5ffffffff,69.0,22.0,0.0
84be0ddffffffff,14.0,4.0,0.0
84be0e3ffffffff,69.0,0.0,0.0
84be1b3ffffffff,1.0,0.0,0.0
84be1b5ffffffff,2.0,0.0,0.0
84be1b7ffffffff,1.0,0.0,0.0
84be1bbffffffff,2.0,0.0,0.0
84be1bdffffffff,2.0,0.0,0.0
84be1d3ffffffff,10.0,0.0,0.0
84be293ffffffff,1.0,1.0,0.0
84be409ffffffff,514.0,145.0,0.0
84be40bffffffff,12.0,0.0,0.0
84be419ffffffff,4.0,0.0,0.0
84be41dffffffff,13.0,0.0,0.0
84be441ffffffff,84.0,34.0,0.0
84be443ffffffff,190.0,68.0,0.0
84be447ffffffff,41.0,17.0,0.0
84be449ffffffff,1.0,0.0,0.0
84be44dffffffff,1.0,0.0,0.0
84be451ffffffff,77.0,16.0,0.0
84be453ffffffff,5.0,0.0,0.0
84be455ffffffff,300.0,50.0,0.0
84be457ffffffff,181.0,24.0,0.0
84be459ffffffff,81.0,5.0,0.0
84be45bffffffff,3.0,0.0,0.0
84be45dffffffff,233.0,27.0,0.0
84be469ffffffff,63.0,26.0,0.0
84be541ffffffff,3.0,2.0,0.0
84be545ffffffff,3.0,0.0,0.0
84be549ffffffff,2.0,2.0,0.0
84be565ffffffff,8.0,0.0,0.0
84be569ffffffff,17.0,2.0,0.0
84be623ffffffff,26.0,1.0,15.0
84be625ffffffff,1.0,0.0,0.0
84be627ffffffff,1.0,0.0,0.0
84be629ffffffff,51.0,2.0,0.0
84be631ffffffff,1.0,0.0,0.0
84be633ffffffff,193.0,38.0,0.0
84be637ffffffff,26.0,5.0,0.0
84be6a1ffffffff,65.0,4.0,0.0
84be6a3ffffffff,5.0,0.0,0.0
84be6a5ffffffff,28.0,0.0,0.0
84be6a9ffffffff,6.0,0.0,0.0
84be6adffffffff,25.0,0.0,0.0
84be709ffffffff,21.0,0.0,0.0
84be711ffffffff,10.0,2.0,0.0
84be713ffffffff,88.0,23.0,0.0
84be715ffffffff,2.0,0.0,0.0
84be717ffffffff,770.0,82.0,0.0
84be725ffffffff,7.0,0.0,0.0
84be72dffffffff,18.0,0.0,0.0
84be735ffffffff,14.0,0.0,0.0
84be73bffffffff,5.0,0.0,0.0
84be741ffffffff,6.0,0.0,0.0
84be743ffffffff,10.0,0.0,0.0
84be745ffffffff,14.0,0.0,0.0
84be749ffffffff,17.0,3.0,0.0
84be74bffffffff,3.0,0.0,0.0
