cell_id,Spizella breweri,Spizella breweri breweri,Spizella breweri taverneri
840c657ffffffff,22.0,0.0,22.0
840d4d5ffffffff,2.0,0.0,2.0
8412147ffffffff,6.0,0.0,3.0
84121e3ffffffff,2.0,0.0,2.0
84128b1ffffffff,2.0,0.0,0.0
84128bdffffffff,3.0,0.0,3.0
8412b03ffffffff,2.0,0.0,1.0
8412c03ffffffff,4.0,0.0,4.0
8412c15ffffffff,2.0,0.0,2.0
8412c1bffffffff,21.0,0.0,2.0
8412c21ffffffff,7.0,0.0,0.0
8412c49ffffffff,1.0,0.0,1.0
8412c87ffffffff,6.0,0.0,6.0
8412cabffffffff,1.0,0.0,1.0
8412cb1ffffffff,13.0,0.0,13.0
8412cb9ffffffff,1.0,0.0,0.0
8412cbdffffffff,22.0,0.0,20.0
8412cc5ffffffff,2.0,2.0,0.0
8412d03ffffffff,9.0,0.0,0.0
8412d17ffffffff,11.0,0.0,0.0
8412d35ffffffff,2.0,0.0,0.0
8412d39ffffffff,2.0,0.0,0.0
8412d3bffffffff,1.0,0.0,0.0
8412d3dffffffff,6.0,0.0,0.0
8412d87ffffffff,1.0,0.0,0.0
8412d89ffffffff,5.0,3.0,0.0
8412da1ffffffff,5.0,0.0,0.0
8412da3ffffffff,4.0,0.0,0.0
8412db3ffffffff,7.0,0.0,0.0
8412db7ffffffff,35.0,0.0,0.0
8412dd5ffffffff,2.0,0.0,0.0
8412ddbffffffff,9.0,0.0,0.0
8412de5ffffffff,4.0,3.0,0.0
8412de7ffffffff,12.0,0.0,0.0
8412e27ffffffff,2.0,0.0,2.0
8412ea7ffffffff,2.0,0.0,0.0
8412f13ffffffff,2.0,0.0,2.0
841382bffffffff,1.0,0.0,1.0
841382dffffffff,6.0,0.0,6.0
841383dffffffff,14.0,0.0,0.0
8413867ffffffff,23.0,0.0,15.0
84138c7ffffffff,4.0,0.0,4.0
8413909ffffffff,2.0,0.0,2.0
841390bffffffff,1.0,0.0,0.0
8413941ffffffff,2.0,0.0,0.0
8413955ffffffff,1.0,0.0,0.0
8413b23ffffffff,2.0,0.0,2.0
84260a9ffffffff,2.0,0.0,0.0
8426125ffffffff,2.0,0.0,0.0
8426165ffffffff,1.0,0.0,0.0
842664dffffffff,2.0,0.0,0.0
842680bffffffff,6.0,0.0,0.0
8426811ffffffff,4.0,0.0,0.0
8426813ffffffff,3.0,2.0,0.0
8426817ffffffff,1.0,0.0,0.0
8426819ffffffff,1.0,0.0,0.0
842681bffffffff,30.0,0.0,0.0
8426829ffffffff,1.0,0.0,0.0
8426831ffffffff,2.0,0.0,0.0
8426833ffffffff,5.0,0.0,0.0
842683bffffffff,2.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
8426857ffffffff,10.0,0.0,0.0
842685bffffffff,13.0,0.0,0.0
8426867ffffffff,2.0,0.0,0.0
8426889ffffffff,27.0,9.0,0.0
842688bffffffff,4.0,0.0,0.0
8426891ffffffff,7.0,0.0,0.0
8426893ffffffff,13.0,0.0,0.0
8426899ffffffff,5.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0
84268a7ffffffff,9.0,0.0,0.0
84268abffffffff,7.0,0.0,0.0
84268b3ffffffff,2.0,0.0,0.0
84268b5ffffffff,7.0,0.0,0.0
84268c5ffffffff,13.0,0.0,0.0
84268cdffffffff,82.0,0.0,0.0
84268d1ffffffff,4.0,0.0,0.0
84268d3ffffffff,3.0,0.0,0.0
84268d5ffffffff,8.0,0.0,0.0
84268dbffffffff,4.0,0.0,0.0
84268edffffffff,3.0,0.0,0.0
8426901ffffffff,2.0,0.0,0.0
8426905ffffffff,5.0,0.0,0.0
8426907ffffffff,1.0,0.0,0.0
842690dffffffff,3.0,0.0,2.0
8426913ffffffff,1.0,0.0,0.0
842691bffffffff,2.0,0.0,0.0
8426929ffffffff,6.0,0.0,0.0
8426945ffffffff,2.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0
8426951ffffffff,2.0,0.0,0.0
842695bffffffff,2.0,0.0,0.0
