cell_id,Camaroptera chloronota,Camaroptera chloronota [chloronota Group],Camaroptera chloronota toroensis/kamitugaensis
835883fffffffff,4.0,0.0,0.0
835890fffffffff,1.0,0.0,0.0
835895fffffffff,2.0,0.0,0.0
835896fffffffff,2.0,0.0,0.0
8358d3fffffffff,26.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0
836ac0fffffffff,87.0,0.0,0.0
836ac1fffffffff,23.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836ac8fffffffff,10.0,0.0,0.0
836acafffffffff,3.0,0.0,0.0
836acdfffffffff,62.0,0.0,1.0
836acefffffffff,6.0,0.0,0.0
836adcfffffffff,285.0,0.0,0.0
836aeafffffffff,104.0,0.0,0.0
837508fffffffff,16.0,0.0,0.0
837509fffffffff,2.0,0.0,0.0
83750cfffffffff,1.0,0.0,0.0
83750dfffffffff,134.0,13.0,0.0
837519fffffffff,1.0,0.0,0.0
837529fffffffff,117.0,16.0,0.0
83752afffffffff,61.0,13.0,0.0
83752bfffffffff,13.0,1.0,0.0
83752dfffffffff,1.0,0.0,0.0
837581fffffffff,1.0,0.0,0.0
837584fffffffff,1.0,0.0,0.0
837586fffffffff,4.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375a3fffffffff,4.0,0.0,0.0
8375a6fffffffff,1.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
8375b0fffffffff,5.0,0.0,0.0
8375b3fffffffff,2.0,0.0,0.0
837a4cfffffffff,260.0,0.0,0.0
837a4dfffffffff,80.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
838212fffffffff,6.0,0.0,0.0
838284fffffffff,6.0,0.0,0.0
838285fffffffff,2.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828bfffffffff,7.0,0.0,0.0
83828dfffffffff,73.0,0.0,0.0
838290fffffffff,2.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0
8382a3fffffffff,6.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
8382a8fffffffff,4.0,0.0,0.0
8382aafffffffff,9.0,0.0,0.0
8382abfffffffff,16.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0
8382b5fffffffff,1.0,0.0,0.0
8382d0fffffffff,39.0,0.0,0.0
8382d1fffffffff,13.0,0.0,0.0
8382d2fffffffff,28.0,0.0,0.0
8382d3fffffffff,9.0,0.0,0.0
838398fffffffff,2.0,0.0,0.0
