cell_id,Rhipidura versicolor,Rhipidura versicolor uraniae,Rhipidura versicolor saipanensis/mariae,Rhipidura versicolor versicolor
844e649ffffffff,134.0,0.0,0.0,0.0
844f495ffffffff,106.0,0.0,5.0,0.0
844f4b5ffffffff,304.0,0.0,2.0,0.0
8473563ffffffff,14.0,0.0,0.0,2.0
