cell_id,Petrochelidon fulva,Petrochelidon fulva [fulva Group],Petrochelidon fulva pallida,Petrochelidon fulva citata
8426c31ffffffff,14.0,0.0,0.0,0.0
8426c33ffffffff,4.0,0.0,0.0,0.0
8426c37ffffffff,19.0,0.0,0.0,0.0
8426c3bffffffff,10.0,0.0,0.0,0.0
8426c87ffffffff,9.0,0.0,4.0,0.0
8426c8bffffffff,2.0,0.0,0.0,0.0
8426c8dffffffff,2.0,0.0,0.0,0.0
8426c91ffffffff,6.0,0.0,0.0,0.0
8426c93ffffffff,12.0,0.0,0.0,0.0
8426c95ffffffff,4.0,0.0,0.0,0.0
8426c97ffffffff,15.0,0.0,0.0,0.0
8426c9bffffffff,3.0,0.0,0.0,0.0
8426c9dffffffff,73.0,0.0,0.0,0.0
8426ca1ffffffff,5.0,0.0,0.0,0.0
8426ca3ffffffff,12.0,0.0,0.0,0.0
8426ca5ffffffff,15.0,0.0,0.0,0.0
8426ca7ffffffff,5.0,0.0,0.0,0.0
8426ca9ffffffff,2.0,0.0,0.0,0.0
8426cabffffffff,2.0,0.0,0.0,0.0
8426cadffffffff,12.0,0.0,2.0,0.0
8426cb1ffffffff,53.0,0.0,0.0,0.0
8426cb3ffffffff,14.0,0.0,0.0,0.0
8426cb5ffffffff,42.0,0.0,0.0,0.0
8426cb7ffffffff,6.0,0.0,0.0,0.0
8426cb9ffffffff,8.0,0.0,0.0,0.0
8426cbbffffffff,6.0,0.0,0.0,0.0
8426cbdffffffff,65.0,0.0,0.0,0.0
8426cd1ffffffff,4.0,0.0,0.0,0.0
8426cd3ffffffff,5.0,0.0,0.0,0.0
8426cd5ffffffff,8.0,0.0,0.0,0.0
8426cd7ffffffff,14.0,0.0,2.0,0.0
8426cdbffffffff,2.0,0.0,0.0,0.0
8426ce3ffffffff,3.0,0.0,0.0,0.0
8426ce5ffffffff,5.0,0.0,0.0,0.0
8426ce7ffffffff,5.0,0.0,0.0,0.0
8426d33ffffffff,4.0,0.0,0.0,0.0
8426d81ffffffff,9.0,0.0,0.0,0.0
8426d83ffffffff,15.0,0.0,0.0,0.0
8426d85ffffffff,14.0,0.0,0.0,0.0
8426d87ffffffff,9.0,0.0,0.0,0.0
8426d89ffffffff,14.0,0.0,0.0,0.0
8426d8bffffffff,6.0,0.0,0.0,0.0
8426d8dffffffff,10.0,0.0,0.0,0.0
8426d91ffffffff,5.0,0.0,0.0,0.0
8426d93ffffffff,10.0,0.0,0.0,0.0
8426d95ffffffff,148.0,0.0,5.0,0.0
8426d97ffffffff,7.0,0.0,0.0,0.0
8426d99ffffffff,38.0,0.0,0.0,0.0
8426d9bffffffff,14.0,0.0,0.0,0.0
8426d9dffffffff,11.0,0.0,0.0,0.0
8426da1ffffffff,6.0,0.0,0.0,0.0
8426da3ffffffff,9.0,0.0,0.0,0.0
8426da7ffffffff,3.0,0.0,0.0,0.0
8426da9ffffffff,13.0,0.0,0.0,0.0
8426dabffffffff,14.0,0.0,0.0,0.0
8426dadffffffff,7.0,0.0,1.0,0.0
8426db1ffffffff,13.0,0.0,0.0,0.0
8426db3ffffffff,32.0,0.0,2.0,0.0
8426db5ffffffff,2.0,0.0,0.0,0.0
8426db7ffffffff,4.0,0.0,0.0,0.0
8426db9ffffffff,35.0,0.0,0.0,0.0
8426dbbffffffff,44.0,0.0,0.0,0.0
8426dbdffffffff,31.0,0.0,0.0,0.0
8426dc3ffffffff,22.0,0.0,0.0,0.0
8426dc7ffffffff,12.0,0.0,0.0,0.0
8426dc9ffffffff,2.0,0.0,0.0,0.0
8426dcbffffffff,3.0,0.0,0.0,0.0
8426dd1ffffffff,9.0,0.0,0.0,0.0
8426dd3ffffffff,88.0,0.0,0.0,0.0
8426dd5ffffffff,12.0,0.0,0.0,0.0
8426dd7ffffffff,59.0,0.0,0.0,0.0
8426dd9ffffffff,24.0,0.0,0.0,0.0
8426ddbffffffff,22.0,0.0,0.0,0.0
8426dddffffffff,18.0,0.0,0.0,0.0
8426de1ffffffff,8.0,0.0,0.0,0.0
8426de3ffffffff,6.0,0.0,0.0,0.0
8426de5ffffffff,2.0,0.0,0.0,0.0
8426de7ffffffff,12.0,0.0,0.0,0.0
8426de9ffffffff,6.0,0.0,0.0,0.0
8426debffffffff,8.0,0.0,0.0,0.0
842aad1ffffffff,183.0,0.0,0.0,0.0
842aad9ffffffff,6.0,0.0,0.0,0.0
842aadbffffffff,7.0,0.0,0.0,0.0
8444121ffffffff,2.0,0.0,0.0,0.0
8444125ffffffff,16.0,3.0,0.0,0.0
844412dffffffff,44.0,0.0,0.0,0.0
844415dffffffff,139.0,0.0,0.0,0.0
8444161ffffffff,18.0,7.0,0.0,0.0
8444165ffffffff,288.0,6.0,0.0,0.0
844416bffffffff,86.0,16.0,1.0,0.0
8444249ffffffff,5.0,0.0,0.0,1.0
8444305ffffffff,10.0,3.0,0.0,0.0
8444309ffffffff,5.0,5.0,0.0,0.0
844430dffffffff,271.0,127.0,0.0,0.0
8444325ffffffff,170.0,39.0,0.0,0.0
8444329ffffffff,41.0,15.0,0.0,0.0
844432dffffffff,51.0,2.0,0.0,0.0
8444343ffffffff,1.0,0.0,0.0,0.0
844434bffffffff,18.0,4.0,0.0,0.0
8444363ffffffff,42.0,10.0,0.0,0.0
8444419ffffffff,10.0,0.0,0.0,0.0
8444443ffffffff,6.0,0.0,0.0,0.0
844444bffffffff,26.0,0.0,0.0,0.0
8444451ffffffff,25.0,0.0,0.0,0.0
8444459ffffffff,184.0,0.0,0.0,0.0
844445bffffffff,62.0,0.0,0.0,0.0
844445dffffffff,62.0,0.0,0.0,0.0
844448bffffffff,2.0,0.0,0.0,0.0
844449dffffffff,2.0,0.0,0.0,0.0
84444d3ffffffff,2.0,0.0,0.0,0.0
84444dbffffffff,2.0,0.0,0.0,0.0
84444ddffffffff,2.0,0.0,0.0,0.0
8444633ffffffff,19.0,0.0,0.0,0.0
8444637ffffffff,2.0,0.0,0.0,0.0
8444685ffffffff,2.0,0.0,0.0,0.0
8444687ffffffff,2.0,0.0,0.0,0.0
8444689ffffffff,2.0,0.0,0.0,0.0
844468bffffffff,4.0,0.0,0.0,0.0
844468dffffffff,8.0,0.0,0.0,0.0
8444691ffffffff,7.0,0.0,0.0,0.0
8444693ffffffff,47.0,0.0,0.0,0.0
8444695ffffffff,4.0,0.0,0.0,0.0
8444697ffffffff,1.0,0.0,1.0,0.0
8444699ffffffff,20.0,0.0,0.0,0.0
844469bffffffff,23.0,0.0,0.0,0.0
844469dffffffff,7.0,0.0,0.0,0.0
84446a3ffffffff,3.0,0.0,0.0,0.0
84446a9ffffffff,2.0,0.0,0.0,0.0
84446abffffffff,6.0,0.0,0.0,0.0
84446adffffffff,2.0,0.0,0.0,0.0
84446b5ffffffff,2.0,0.0,0.0,0.0
84446b7ffffffff,4.0,0.0,0.0,0.0
84446b9ffffffff,2.0,0.0,0.0,0.0
84446bbffffffff,5.0,0.0,0.0,0.0
84446bdffffffff,18.0,0.0,0.0,0.0
84446c1ffffffff,171.0,0.0,2.0,0.0
84446c3ffffffff,55.0,0.0,0.0,0.0
84446c5ffffffff,416.0,0.0,8.0,0.0
84446c7ffffffff,30.0,0.0,0.0,0.0
84446c9ffffffff,61.0,0.0,0.0,0.0
84446cbffffffff,435.0,0.0,4.0,0.0
84446cdffffffff,308.0,0.0,9.0,0.0
84446d1ffffffff,144.0,0.0,0.0,0.0
84446d3ffffffff,228.0,0.0,3.0,0.0
84446d5ffffffff,7.0,0.0,0.0,0.0
84446d7ffffffff,45.0,0.0,0.0,0.0
84446d9ffffffff,13.0,0.0,0.0,0.0
84446dbffffffff,71.0,0.0,1.0,0.0
84446ddffffffff,515.0,0.0,4.0,0.0
84446e1ffffffff,4.0,0.0,0.0,0.0
84446e5ffffffff,16.0,0.0,0.0,0.0
84446e7ffffffff,6.0,0.0,0.0,0.0
84446e9ffffffff,89.0,0.0,2.0,0.0
84446ebffffffff,51.0,0.0,1.0,0.0
84446edffffffff,46.0,0.0,0.0,0.0
8444a11ffffffff,3.0,1.0,0.0,0.0
8444a19ffffffff,1015.0,347.0,0.0,0.0
8444a1bffffffff,10.0,2.0,0.0,0.0
8444a51ffffffff,2.0,0.0,0.0,0.0
8444a53ffffffff,361.0,49.0,0.0,0.0
8444a5bffffffff,40.0,6.0,0.0,0.0
844501bffffffff,2.0,0.0,0.0,2.0
844505bffffffff,2.0,0.0,0.0,0.0
8445083ffffffff,125.0,0.0,0.0,33.0
8445085ffffffff,54.0,0.0,0.0,10.0
8445087ffffffff,163.0,0.0,0.0,71.0
8445089ffffffff,5.0,0.0,0.0,0.0
844508bffffffff,8.0,0.0,0.0,2.0
844508dffffffff,10.0,0.0,0.0,0.0
8445091ffffffff,18.0,0.0,0.0,4.0
8445093ffffffff,12.0,0.0,0.0,6.0
8445095ffffffff,2.0,0.0,0.0,0.0
8445097ffffffff,12.0,0.0,0.0,4.0
8445099ffffffff,63.0,0.0,0.0,1.0
844509bffffffff,866.0,0.0,0.0,237.0
844509dffffffff,4.0,0.0,0.0,0.0
84450a1ffffffff,26.0,0.0,0.0,7.0
84450a3ffffffff,7.0,0.0,0.0,0.0
84450a5ffffffff,6.0,0.0,0.0,0.0
84450a7ffffffff,9.0,0.0,0.0,0.0
84450a9ffffffff,113.0,0.0,0.0,20.0
84450abffffffff,9.0,0.0,0.0,2.0
84450adffffffff,90.0,0.0,0.0,19.0
84450b1ffffffff,78.0,0.0,0.0,15.0
84450b5ffffffff,22.0,0.0,0.0,0.0
84450b9ffffffff,23.0,0.0,0.0,7.0
84450bdffffffff,22.0,0.0,0.0,15.0
84450c7ffffffff,5.0,0.0,0.0,3.0
84450cdffffffff,2.0,0.0,0.0,0.0
84450d1ffffffff,24.0,0.0,0.0,15.0
84450d3ffffffff,286.0,0.0,0.0,96.0
84450d5ffffffff,28.0,0.0,0.0,0.0
84450d7ffffffff,51.0,0.0,0.0,0.0
84450dbffffffff,8.0,0.0,0.0,3.0
84450e1ffffffff,2.0,0.0,0.0,0.0
84450e3ffffffff,15.0,0.0,0.0,2.0
84450e7ffffffff,13.0,0.0,0.0,4.0
84450ebffffffff,10.0,0.0,0.0,3.0
