cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
823c07fffffffff,5.0,0.0,0.0
823c0ffffffffff,3.0,0.0,0.0
823c1ffffffffff,60.0,0.0,0.0
823c57fffffffff,17.0,2.0,0.0
823c5ffffffffff,11.0,0.0,0.0
823c87fffffffff,13.0,0.0,0.0
823c8ffffffffff,23.0,0.0,0.0
823c97fffffffff,176.0,0.0,0.0
823caffffffffff,3.0,0.0,0.0
823cb7fffffffff,14.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0
823ce7fffffffff,4.0,0.0,0.0
823cf7fffffffff,62.0,0.0,0.0
823d17fffffffff,14.0,0.0,0.0
823d37fffffffff,4.0,0.0,0.0
823d87fffffffff,19.0,0.0,0.0
823d8ffffffffff,30.0,0.0,0.0
823da7fffffffff,12.0,0.0,0.0
823daffffffffff,12.0,0.0,0.0
823db7fffffffff,12.0,0.0,0.0
82404ffffffffff,2.0,0.0,0.0
82411ffffffffff,5.0,0.0,0.0
8241b7fffffffff,1.0,0.0,0.0
824237fffffffff,1.0,0.0,0.0
82425ffffffffff,7.0,0.0,0.0
82426ffffffffff,6.0,0.0,0.0
8242cffffffffff,13.0,0.0,0.0
8242dffffffffff,10.0,0.0,0.0
824317fffffffff,2.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0
824bb7fffffffff,28.0,0.0,0.0
826007fffffffff,127.0,0.0,0.0
826017fffffffff,98.0,0.0,0.0
82601ffffffffff,26.0,0.0,0.0
826027fffffffff,26.0,0.0,0.0
826037fffffffff,68.0,0.0,0.0
82608ffffffffff,38.0,0.0,0.0
826097fffffffff,17.0,0.0,0.0
82609ffffffffff,16.0,0.0,0.0
8260a7fffffffff,15.0,0.0,0.0
8260affffffffff,91.0,0.0,0.0
8260b7fffffffff,7.0,0.0,0.0
826107fffffffff,12.0,0.0,0.0
82618ffffffffff,11.0,0.0,0.0
82619ffffffffff,13.0,0.0,0.0
826417fffffffff,10.0,0.0,0.0
826487fffffffff,5.0,0.0,0.0
82648ffffffffff,3.0,0.0,0.0
82649ffffffffff,2.0,0.0,0.0
8264b7fffffffff,14.0,0.0,0.0
826507fffffffff,2.0,0.0,0.0
826587fffffffff,2.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
