cell_id,Cyornis unicolor,Cyornis unicolor unicolor,Cyornis unicolor diaoluoensis,Cyornis unicolor cyanopolia
823c07fffffffff,21.0,0.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,55.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0
823c5ffffffffff,10.0,0.0,0.0,0.0
823ce7fffffffff,18.0,2.0,0.0,0.0
823ceffffffffff,12.0,0.0,0.0,0.0
824177fffffffff,2.0,0.0,0.0,0.0
826417fffffffff,45.0,5.0,0.0,0.0
826487fffffffff,1.0,0.0,0.0,0.0
826497fffffffff,2.0,0.0,0.0,0.0
826507fffffffff,17.0,0.0,0.0,0.0
82651ffffffffff,22.0,0.0,0.0,8.0
82658ffffffffff,1.0,0.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0,0.0
826817fffffffff,2.0,0.0,0.0,2.0
828c97fffffffff,1.0,0.0,0.0,1.0
