cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
8428347ffffffff,176.0,0.0,0.0
8429a03ffffffff,5.0,0.0,0.0
8429a0bffffffff,160.0,0.0,0.0
8429a19ffffffff,77.0,0.0,0.0
8429a1dffffffff,1429.0,0.0,0.0
8429a57ffffffff,1180.0,0.0,0.0
8439447ffffffff,135.0,0.0,0.0
8444a11ffffffff,525.0,0.0,0.0
8444a13ffffffff,65.0,0.0,0.0
8444a19ffffffff,1591.0,0.0,0.0
8444a1bffffffff,4.0,0.0,0.0
8448a21ffffffff,2.0,0.0,0.0
848b201ffffffff,27.0,0.0,0.0
848b203ffffffff,65.0,0.0,0.0
848b205ffffffff,137.0,0.0,0.0
848b20bffffffff,141.0,0.0,0.0
848b20dffffffff,18.0,0.0,0.0
848b211ffffffff,5.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b219ffffffff,1.0,0.0,0.0
848b21bffffffff,2.0,0.0,0.0
848b21dffffffff,30.0,0.0,0.0
848b221ffffffff,23.0,0.0,0.0
848b223ffffffff,4.0,0.0,0.0
848b229ffffffff,249.0,0.0,0.0
848b22dffffffff,7.0,0.0,0.0
848b241ffffffff,2.0,0.0,0.0
848b243ffffffff,1.0,0.0,0.0
848b247ffffffff,4.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b251ffffffff,18.0,0.0,0.0
848b255ffffffff,2.0,0.0,0.0
848b257ffffffff,2.0,0.0,0.0
848b259ffffffff,25.0,0.0,0.0
848b25dffffffff,6.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0
848b2c5ffffffff,2.0,0.0,0.0
848b2c9ffffffff,64.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0
848b2d9ffffffff,12.0,0.0,0.0
848b2dbffffffff,17.0,0.0,0.0
848b2ddffffffff,2.0,0.0,0.0
848b2e9ffffffff,7.0,0.0,0.0
848b611ffffffff,216.0,0.0,0.0
848b613ffffffff,11.0,0.0,0.0
848b617ffffffff,29.0,0.0,0.0
848b619ffffffff,17.0,0.0,0.0
848b61bffffffff,124.0,0.0,0.0
848b61dffffffff,30.0,0.0,0.0
848b653ffffffff,2.0,0.0,0.0
848b6c1ffffffff,24.0,0.0,0.0
848b6c5ffffffff,16.0,0.0,0.0
848b6c9ffffffff,9.0,0.0,0.0
848b6cdffffffff,716.0,0.0,0.0
848b75dffffffff,2.0,0.0,0.0
848e60bffffffff,2.0,0.0,0.0
848e619ffffffff,6.0,0.0,0.0
848e61dffffffff,7.0,0.0,0.0
848e621ffffffff,2.0,0.0,0.0
848e629ffffffff,8.0,0.0,0.0
848e62dffffffff,182.0,0.0,0.0
848e641ffffffff,26.0,0.0,0.0
848e643ffffffff,4.0,0.0,0.0
848e64bffffffff,6.0,0.0,0.0
848e651ffffffff,1.0,0.0,0.0
848e657ffffffff,4.0,0.0,0.0
848e681ffffffff,2.0,0.0,0.0
848e683ffffffff,1.0,0.0,0.0
848e68bffffffff,10.0,0.0,0.0
848e6c1ffffffff,4.0,0.0,0.0
848e6c5ffffffff,2.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0
848e6d1ffffffff,20.0,0.0,0.0
848e6d5ffffffff,3.0,0.0,0.0
848e6d7ffffffff,1.0,0.0,0.0
848e6d9ffffffff,218.0,0.0,0.0
848e6ddffffffff,55.0,0.0,0.0
848f40dffffffff,1.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,55.0,5.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f463ffffffff,7.0,0.0,0.0
848f465ffffffff,9.0,2.0,0.0
848f467ffffffff,3.0,0.0,0.0
848f46dffffffff,1.0,0.0,0.0
848f4a5ffffffff,2.0,0.0,0.0
848f4a7ffffffff,5.0,0.0,0.0
848f4b5ffffffff,2.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0
848f553ffffffff,80.0,0.0,0.0
848f559ffffffff,336.0,25.0,0.0
848f55bffffffff,197.0,9.0,0.0
848f55dffffffff,3.0,0.0,0.0
848f5d3ffffffff,2.0,0.0,0.0
848f5ddffffffff,6.0,0.0,0.0
848f733ffffffff,47.0,2.0,0.0
848f737ffffffff,12.0,0.0,0.0
84b2701ffffffff,45.0,0.0,0.0
84b2705ffffffff,1.0,0.0,0.0
84b2709ffffffff,105.0,0.0,0.0
84b270bffffffff,17.0,0.0,0.0
84b270dffffffff,14.0,0.0,0.0
84b2741ffffffff,27.0,0.0,0.0
84b2745ffffffff,7.0,0.0,0.0
84b2747ffffffff,13.0,0.0,0.0
84b2749ffffffff,129.0,0.0,0.0
84b276bffffffff,4.0,0.0,0.0
84b276dffffffff,2.0,0.0,0.0
84b3219ffffffff,32.0,0.0,0.0
84b321dffffffff,2.0,0.0,0.0
84b3241ffffffff,15.0,0.0,0.0
84b3243ffffffff,40.0,0.0,0.0
84b324bffffffff,4.0,0.0,0.0
84b3253ffffffff,70.0,0.0,0.0
84b3259ffffffff,2.0,0.0,0.0
84b32c9ffffffff,8.0,0.0,0.0
84b32dbffffffff,25.0,0.0,0.0
84b32ddffffffff,2.0,0.0,0.0
84b3355ffffffff,10.0,0.0,0.0
84b340dffffffff,9.0,0.0,0.0
84b3421ffffffff,8.0,0.0,0.0
84b3423ffffffff,31.0,0.0,0.0
84b3425ffffffff,665.0,0.0,0.0
84b3427ffffffff,5.0,0.0,0.0
84b3429ffffffff,2.0,0.0,0.0
84b342bffffffff,5.0,0.0,0.0
84b342dffffffff,26.0,0.0,0.0
84b3435ffffffff,7.0,0.0,0.0
84b343dffffffff,2.0,0.0,0.0
84b3445ffffffff,7.0,0.0,0.0
84b3447ffffffff,15.0,0.0,0.0
84b3449ffffffff,1.0,0.0,0.0
84b346dffffffff,7.0,0.0,0.0
84b3511ffffffff,454.0,0.0,0.0
84b3513ffffffff,353.0,0.0,0.0
84b3517ffffffff,2.0,0.0,0.0
84b3519ffffffff,65.0,0.0,0.0
84b351bffffffff,64.0,0.0,0.0
84b3553ffffffff,3.0,0.0,0.0
84b3585ffffffff,32.0,0.0,0.0
84b3589ffffffff,11.0,0.0,0.0
84b358dffffffff,5.0,0.0,0.0
84b35a1ffffffff,28.0,0.0,0.0
84b35a3ffffffff,30.0,0.0,0.0
84b35a9ffffffff,13.0,0.0,0.0
84b35abffffffff,3.0,0.0,0.0
84b35adffffffff,1.0,0.0,0.0
84b35b5ffffffff,57.0,0.0,0.0
84b35bdffffffff,91.0,0.0,0.0
84b35c1ffffffff,29.0,0.0,0.0
84b35c5ffffffff,108.0,0.0,0.0
84b35c7ffffffff,20.0,0.0,0.0
84b35c9ffffffff,253.0,0.0,0.0
84b35cdffffffff,19.0,0.0,0.0
84b35e1ffffffff,547.0,0.0,0.0
84b35e3ffffffff,75.0,0.0,0.0
84b35e7ffffffff,10.0,0.0,0.0
84b35e9ffffffff,551.0,0.0,0.0
84b35ebffffffff,83.0,0.0,0.0
84b35edffffffff,34.0,0.0,0.0
84b3627ffffffff,1.0,0.0,0.0
84b362dffffffff,5.0,0.0,0.0
84b3665ffffffff,28.0,0.0,0.0
84b366dffffffff,10.0,0.0,0.0
84b3711ffffffff,2.0,0.0,0.0
84b3717ffffffff,1.0,0.0,0.0
84c2e23ffffffff,1.0,0.0,0.0
