cell_id,Celeus undatus,Celeus undatus [grammicus Group],Celeus undatus [undatus Group]
825f07fffffffff,102.0,0.0,99.0
825f0ffffffffff,10.0,0.0,10.0
825f17fffffffff,69.0,0.0,64.0
825f1ffffffffff,3.0,0.0,3.0
825f2ffffffffff,339.0,0.0,321.0
825f47fffffffff,12.0,0.0,12.0
825f4ffffffffff,3.0,0.0,3.0
825f57fffffffff,24.0,0.0,24.0
825f6ffffffffff,3.0,2.0,1.0
825f77fffffffff,102.0,29.0,73.0
826647fffffffff,370.0,366.0,0.0
82664ffffffffff,9.0,9.0,0.0
826657fffffffff,2.0,2.0,0.0
82665ffffffffff,348.0,346.0,0.0
826667fffffffff,12.0,12.0,0.0
82666ffffffffff,35.0,35.0,0.0
8266c7fffffffff,85.0,85.0,0.0
8266cffffffffff,44.0,44.0,0.0
8266dffffffffff,531.0,517.0,0.0
8266e7fffffffff,1.0,1.0,0.0
8266effffffffff,27.0,26.0,0.0
828047fffffffff,160.0,0.0,160.0
82804ffffffffff,13.0,0.0,13.0
828067fffffffff,25.0,0.0,25.0
82806ffffffffff,2.0,0.0,2.0
828077fffffffff,7.0,0.0,7.0
828147fffffffff,2.0,0.0,2.0
82814ffffffffff,95.0,1.0,92.0
828a07fffffffff,64.0,61.0,2.0
828a17fffffffff,20.0,20.0,0.0
828a1ffffffffff,25.0,25.0,0.0
828a27fffffffff,7.0,7.0,0.0
828a2ffffffffff,4.0,4.0,0.0
828a47fffffffff,150.0,141.0,0.0
828a4ffffffffff,3.0,3.0,0.0
828a57fffffffff,7.0,7.0,0.0
828a5ffffffffff,2.0,2.0,0.0
828a6ffffffffff,307.0,305.0,0.0
828a77fffffffff,24.0,24.0,0.0
828a87fffffffff,36.0,35.0,1.0
828a97fffffffff,10.0,0.0,10.0
828a9ffffffffff,11.0,10.0,1.0
828aaffffffffff,27.0,27.0,0.0
828adffffffffff,1.0,1.0,0.0
828ae7fffffffff,5.0,5.0,0.0
828aeffffffffff,1.0,1.0,0.0
828af7fffffffff,573.0,147.0,422.0
828b1ffffffffff,1.0,1.0,0.0
828b47fffffffff,251.0,248.0,0.0
828b57fffffffff,5.0,5.0,0.0
828b67fffffffff,43.0,43.0,0.0
828b6ffffffffff,80.0,79.0,0.0
828b77fffffffff,8.0,4.0,0.0
828b87fffffffff,1.0,1.0,0.0
828b9ffffffffff,212.0,210.0,0.0
828e67fffffffff,1.0,1.0,0.0
828f47fffffffff,35.0,35.0,0.0
828f4ffffffffff,72.0,72.0,0.0
828f5ffffffffff,3.0,3.0,0.0
828f67fffffffff,106.0,105.0,0.0
828f6ffffffffff,8.0,8.0,0.0
828f77fffffffff,14.0,14.0,0.0
82a85ffffffffff,2.0,2.0,0.0
