cell_id,Fregata magnificens,Fregata magnificens rothschildi,Fregata magnificens magnificens
832a4cfffffffff,7.0,0.0,0.0
834410fffffffff,184.0,0.0,0.0
834411fffffffff,124.0,0.0,0.0
834412fffffffff,241.0,0.0,0.0
834413fffffffff,5198.0,0.0,0.0
834414fffffffff,2382.0,0.0,0.0
834415fffffffff,67.0,0.0,0.0
834416fffffffff,6555.0,0.0,0.0
834418fffffffff,3.0,0.0,0.0
83441afffffffff,730.0,0.0,0.0
83441bfffffffff,184.0,0.0,0.0
83441efffffffff,4843.0,0.0,0.0
834422fffffffff,2.0,0.0,0.0
834424fffffffff,791.0,0.0,0.0
834426fffffffff,2.0,0.0,0.0
834430fffffffff,21.0,0.0,0.0
834431fffffffff,1.0,0.0,0.0
834432fffffffff,485.0,0.0,0.0
834433fffffffff,2.0,0.0,0.0
834434fffffffff,65.0,0.0,0.0
834435fffffffff,6.0,0.0,0.0
834436fffffffff,38.0,0.0,0.0
834445fffffffff,7.0,0.0,0.0
834446fffffffff,19.0,0.0,0.0
834450fffffffff,278.0,0.0,0.0
834452fffffffff,2.0,0.0,0.0
834454fffffffff,43.0,0.0,0.0
834455fffffffff,269.0,0.0,0.0
834456fffffffff,79.0,0.0,0.0
834460fffffffff,4.0,0.0,0.0
834461fffffffff,13.0,0.0,0.0
834463fffffffff,25.0,0.0,0.0
834465fffffffff,15.0,0.0,0.0
83446cfffffffff,2251.0,0.0,0.0
83446efffffffff,113.0,0.0,0.0
834470fffffffff,122.0,0.0,0.0
834471fffffffff,322.0,0.0,0.0
834472fffffffff,277.0,0.0,0.0
834473fffffffff,2358.0,0.0,0.0
834476fffffffff,2.0,0.0,0.0
834480fffffffff,11.0,0.0,0.0
834484fffffffff,78.0,0.0,0.0
834485fffffffff,253.0,0.0,0.0
834486fffffffff,205.0,0.0,0.0
83448dfffffffff,4.0,0.0,0.0
8344a0fffffffff,12.0,0.0,0.0
8344a1fffffffff,3514.0,0.0,0.0
8344a2fffffffff,43.0,0.0,0.0
8344a3fffffffff,416.0,0.0,0.0
8344a5fffffffff,2919.0,0.0,0.0
8344a8fffffffff,1216.0,0.0,0.0
8344a9fffffffff,9.0,0.0,0.0
8344aafffffffff,13.0,0.0,0.0
8344abfffffffff,763.0,0.0,0.0
8344acfffffffff,9.0,0.0,0.0
8344aefffffffff,1192.0,0.0,0.0
8344b0fffffffff,2.0,0.0,0.0
8344b1fffffffff,115.0,0.0,0.0
8344b2fffffffff,6.0,0.0,0.0
8344b3fffffffff,8.0,0.0,0.0
8344b5fffffffff,16.0,0.0,0.0
8344b6fffffffff,12.0,0.0,0.0
8344e4fffffffff,17.0,0.0,0.0
8344e5fffffffff,21.0,0.0,0.0
8344e6fffffffff,46.0,0.0,0.0
8344f4fffffffff,3.0,0.0,0.0
8344f6fffffffff,66.0,0.0,0.0
834501fffffffff,823.0,0.0,0.0
834503fffffffff,4.0,0.0,0.0
834505fffffffff,3728.0,0.0,0.0
834508fffffffff,6.0,0.0,0.0
834509fffffffff,1467.0,0.0,0.0
83450afffffffff,2889.0,0.0,0.0
83450bfffffffff,2031.0,0.0,0.0
83450cfffffffff,16.0,0.0,0.0
83450efffffffff,894.0,0.0,0.0
834510fffffffff,17.0,0.0,0.0
834512fffffffff,2.0,0.0,0.0
834514fffffffff,2.0,0.0,0.0
834519fffffffff,366.0,0.0,0.0
83451bfffffffff,16.0,0.0,0.0
83451dfffffffff,60.0,0.0,0.0
834520fffffffff,712.0,0.0,0.0
834521fffffffff,4706.0,0.0,0.0
834522fffffffff,1377.0,0.0,0.0
834523fffffffff,2512.0,0.0,0.0
834525fffffffff,41.0,0.0,0.0
834529fffffffff,12.0,0.0,0.0
83452afffffffff,369.0,0.0,0.0
83452bfffffffff,5.0,0.0,0.0
83452cfffffffff,14.0,0.0,0.0
83452efffffffff,57.0,0.0,0.0
834530fffffffff,23.0,0.0,0.0
834531fffffffff,1632.0,0.0,0.0
834532fffffffff,154.0,0.0,0.0
834533fffffffff,162.0,0.0,0.0
834549fffffffff,63.0,0.0,0.0
83454bfffffffff,2.0,0.0,0.0
834550fffffffff,50.0,0.0,0.0
834554fffffffff,20.0,0.0,0.0
834556fffffffff,2.0,0.0,0.0
834564fffffffff,70.0,0.0,0.0
834569fffffffff,3.0,0.0,0.0
83456cfffffffff,11.0,0.0,0.0
83456dfffffffff,19.0,0.0,0.0
834572fffffffff,2198.0,0.0,0.0
834574fffffffff,43.0,0.0,0.0
834576fffffffff,216.0,0.0,0.0
834583fffffffff,22.0,0.0,0.0
834584fffffffff,304.0,0.0,0.0
834588fffffffff,112.0,0.0,0.0
834589fffffffff,40.0,0.0,0.0
83458afffffffff,14.0,0.0,0.0
83458bfffffffff,5.0,0.0,0.0
83458cfffffffff,850.0,0.0,0.0
83458dfffffffff,8.0,0.0,0.0
83458efffffffff,169.0,0.0,0.0
834590fffffffff,28.0,0.0,0.0
834591fffffffff,2.0,0.0,0.0
834592fffffffff,4.0,0.0,0.0
834593fffffffff,5.0,0.0,0.0
834595fffffffff,2.0,0.0,0.0
834596fffffffff,4.0,0.0,0.0
834598fffffffff,1717.0,0.0,0.0
83459cfffffffff,8.0,0.0,0.0
83459dfffffffff,62.0,0.0,0.0
83459efffffffff,5.0,0.0,0.0
8345a3fffffffff,813.0,0.0,0.0
8345aefffffffff,80.0,0.0,0.0
8345b0fffffffff,48.0,0.0,0.0
8345b2fffffffff,1530.0,0.0,0.0
8345b3fffffffff,5.0,0.0,0.0
834800fffffffff,7.0,0.0,0.0
834801fffffffff,239.0,0.0,0.0
834802fffffffff,23.0,0.0,0.0
834803fffffffff,24.0,0.0,0.0
834804fffffffff,1.0,0.0,0.0
834805fffffffff,215.0,0.0,0.0
834806fffffffff,225.0,0.0,0.0
834808fffffffff,9.0,0.0,0.0
834809fffffffff,403.0,0.0,0.0
83480bfffffffff,94.0,0.0,0.0
83480cfffffffff,10.0,0.0,0.0
83480dfffffffff,361.0,0.0,0.0
83480efffffffff,131.0,0.0,0.0
834821fffffffff,9.0,0.0,0.0
834823fffffffff,759.0,0.0,0.0
834828fffffffff,73.0,0.0,0.0
834829fffffffff,138.0,0.0,0.0
83482afffffffff,1629.0,0.0,0.0
83482bfffffffff,136.0,0.0,0.0
