cell_id,Lagonosticta larvata,Lagonosticta larvata vinacea,Lagonosticta larvata nigricollis,Lagonosticta larvata larvata
84529b9ffffffff,1.0,0.0,0.0,0.0
84529bbffffffff,1.0,0.0,0.0,0.0
84545d9ffffffff,1.0,0.0,0.0,0.0
8454e41ffffffff,4.0,0.0,0.0,0.0
8454e4dffffffff,13.0,5.0,0.0,0.0
8454e51ffffffff,6.0,4.0,0.0,0.0
8454e59ffffffff,2.0,1.0,0.0,0.0
8454e5bffffffff,4.0,0.0,0.0,0.0
8458861ffffffff,1.0,0.0,0.0,0.0
8458a4dffffffff,2.0,0.0,0.0,0.0
8458a65ffffffff,4.0,0.0,0.0,0.0
8458a69ffffffff,5.0,0.0,0.0,0.0
8458b1dffffffff,2.0,0.0,0.0,0.0
8458b51ffffffff,1.0,0.0,0.0,0.0
8458cd9ffffffff,7.0,0.0,0.0,0.0
8458e2dffffffff,2.0,0.0,0.0,0.0
84598bbffffffff,1.0,0.0,0.0,0.0
8459985ffffffff,3.0,0.0,2.0,0.0
84599a5ffffffff,2.0,0.0,0.0,0.0
84599e7ffffffff,9.0,1.0,2.0,0.0
846a109ffffffff,9.0,0.0,0.0,0.0
846a10dffffffff,1.0,0.0,0.0,0.0
846a143ffffffff,1.0,0.0,0.0,0.0
846a155ffffffff,1.0,0.0,0.0,0.0
846a459ffffffff,10.0,0.0,0.0,0.0
846a45bffffffff,1.0,0.0,0.0,0.0
846a637ffffffff,1.0,0.0,0.0,0.0
846a697ffffffff,12.0,0.0,0.0,0.0
846ace5ffffffff,6.0,0.0,0.0,0.0
846ae85ffffffff,4.0,0.0,0.0,0.0
846aea1ffffffff,2.0,0.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0,0.0
846aecbffffffff,1.0,0.0,0.0,0.0
846b8abffffffff,1.0,0.0,0.0,0.0
846b9e3ffffffff,1.0,0.0,0.0,0.0
846bb57ffffffff,1.0,0.0,0.0,0.0
8475201ffffffff,57.0,3.0,6.0,0.0
8475203ffffffff,2.0,0.0,0.0,0.0
8475205ffffffff,2.0,0.0,0.0,0.0
8475207ffffffff,66.0,14.0,2.0,0.0
8475209ffffffff,3.0,0.0,0.0,0.0
847520bffffffff,6.0,0.0,0.0,0.0
847520dffffffff,1.0,0.0,1.0,0.0
8475215ffffffff,1.0,1.0,0.0,0.0
847521dffffffff,1.0,1.0,0.0,0.0
8475299ffffffff,1.0,0.0,0.0,0.0
84752abffffffff,1.0,0.0,0.0,0.0
84752b5ffffffff,1.0,0.0,0.0,0.0
8475313ffffffff,2.0,0.0,0.0,0.0
8475327ffffffff,1.0,0.0,0.0,0.0
847ac97ffffffff,1.0,0.0,0.0,0.0
