cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
82941ffffffffff,2.0,1.0,0.0,0.0,0.0,0.0
829447fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
829457fffffffff,18.0,2.0,0.0,0.0,0.0,0.0
82945ffffffffff,44.0,3.0,0.0,0.0,0.0,0.0
829487fffffffff,126.0,48.0,0.0,0.0,0.0,0.0
82948ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8294affffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8294c7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8294cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8294e7fffffffff,20.0,6.0,0.0,0.0,0.0,0.0
8294effffffffff,237.0,94.0,0.0,0.0,0.0,0.0
8294f7fffffffff,81.0,32.0,0.0,0.0,0.0,0.0
829c07fffffffff,25.0,0.0,3.0,0.0,0.0,0.0
829c0ffffffffff,18.0,0.0,2.0,0.0,0.0,0.0
829c1ffffffffff,11.0,0.0,2.0,0.0,0.0,0.0
829c27fffffffff,120.0,0.0,29.0,0.0,0.0,0.0
829c2ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
829c47fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
829c4ffffffffff,11.0,2.0,0.0,0.0,0.0,0.0
829c5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829c67fffffffff,11.0,1.0,0.0,0.0,0.0,5.0
829c6ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0
829ce7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829ceffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
829d0ffffffffff,18.0,0.0,0.0,7.0,0.0,0.0
829d27fffffffff,60.0,0.0,0.0,13.0,0.0,0.0
829d2ffffffffff,6.0,0.0,0.0,3.0,0.0,0.0
829d47fffffffff,40.0,12.0,0.0,0.0,0.0,7.0
829d4ffffffffff,13.0,2.0,0.0,0.0,0.0,2.0
829d57fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
829d67fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
829d77fffffffff,6.0,2.0,0.0,2.0,0.0,0.0
82a637fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82a717fffffffff,21.0,0.0,0.0,0.0,0.0,10.0
82a727fffffffff,41.0,0.0,0.0,0.0,0.0,6.0
82a737fffffffff,21.0,0.0,0.0,0.0,0.0,12.0
82a787fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b837fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82b847fffffffff,6.0,0.0,0.0,0.0,0.0,4.0
82b857fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82b85ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b86ffffffffff,13.0,0.0,0.0,0.0,0.0,9.0
82b887fffffffff,4.0,0.0,0.0,0.0,0.0,1.0
82b8affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82b917fffffffff,45.0,0.0,0.0,0.0,0.0,3.0
82b9a7fffffffff,126.0,0.0,0.0,0.0,0.0,41.0
82b9affffffffff,28.0,0.0,0.0,0.0,0.0,4.0
82b9b7fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82be0ffffffffff,886.0,0.0,0.0,0.0,97.0,0.0
82be1ffffffffff,288.0,0.0,0.0,0.0,34.0,0.0
82be2ffffffffff,18.0,0.0,0.0,0.0,1.0,0.0
82be47fffffffff,834.0,0.0,0.0,0.0,137.0,47.0
82be4ffffffffff,395.0,0.0,0.0,0.0,8.0,92.0
82be57fffffffff,159.0,0.0,0.0,0.0,21.0,2.0
82be5ffffffffff,5.0,0.0,0.0,0.0,0.0,3.0
82be67fffffffff,610.0,0.0,0.0,0.0,91.0,0.0
82be6ffffffffff,120.0,0.0,0.0,0.0,5.0,15.0
82be77fffffffff,738.0,0.0,0.0,0.0,61.0,0.0
82be8ffffffffff,1401.0,0.0,0.0,219.0,0.0,0.0
82beaffffffffff,114.0,0.0,0.0,24.0,0.0,0.0
82bec7fffffffff,25.0,0.0,0.0,0.0,4.0,0.0
82becffffffffff,136.0,0.0,0.0,0.0,17.0,19.0
82bed7fffffffff,32.0,0.0,0.0,3.0,0.0,0.0
82bedffffffffff,24.0,0.0,0.0,4.0,0.0,2.0
82bee7fffffffff,132.0,0.0,0.0,0.0,24.0,0.0
82beeffffffffff,35.0,0.0,0.0,0.0,9.0,2.0
82bef7fffffffff,691.0,0.0,0.0,43.0,54.0,0.0
82c987fffffffff,149.0,0.0,0.0,0.0,0.0,104.0
82c997fffffffff,345.0,0.0,0.0,0.0,0.0,164.0
82c99ffffffffff,13.0,0.0,0.0,0.0,0.0,2.0
82c9b7fffffffff,60.0,0.0,0.0,0.0,0.0,39.0
