cell_id,Newtonia amphichroa,Newtonia amphichroa amphichroa,Newtonia amphichroa lavarambo
83a214fffffffff,1.0,0.0,0.0
83a231fffffffff,2.0,0.0,0.0
83a2a1fffffffff,4.0,0.0,4.0
83a2aefffffffff,2.0,0.0,2.0
83a308fffffffff,1.0,0.0,0.0
83a376fffffffff,1.0,0.0,0.0
