cell_id,Turdus abyssinicus,Turdus abyssinicus oldeani,Turdus abyssinicus [abyssinicus Group]
845280dffffffff,10.0,0.0,1.0
8452831ffffffff,12.0,0.0,3.0
8452851ffffffff,2.0,0.0,0.0
8452863ffffffff,2.0,0.0,0.0
8452867ffffffff,19.0,0.0,0.0
8452915ffffffff,2.0,0.0,0.0
845291bffffffff,8.0,0.0,0.0
8452983ffffffff,1.0,0.0,0.0
8452991ffffffff,2.0,0.0,0.0
8452997ffffffff,19.0,0.0,4.0
84529a3ffffffff,3.0,0.0,0.0
84529b1ffffffff,3.0,0.0,0.0
84529b3ffffffff,1.0,0.0,0.0
84529b5ffffffff,212.0,0.0,37.0
84529b7ffffffff,34.0,0.0,5.0
84529b9ffffffff,114.0,0.0,21.0
84529bbffffffff,6.0,0.0,2.0
84529d3ffffffff,2.0,0.0,2.0
84529e1ffffffff,2.0,0.0,2.0
846a493ffffffff,4.0,0.0,0.0
846a4bbffffffff,3.0,0.0,0.0
846a4d3ffffffff,4.0,0.0,0.0
846a4ddffffffff,1.0,0.0,1.0
846a693ffffffff,6.0,0.0,0.0
846a697ffffffff,4.0,0.0,0.0
846a69bffffffff,2.0,0.0,0.0
846ac03ffffffff,1.0,0.0,0.0
846ac15ffffffff,5.0,0.0,0.0
846ac39ffffffff,4.0,0.0,0.0
846ac3dffffffff,4.0,0.0,0.0
846ac5bffffffff,3.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0
846adc1ffffffff,303.0,0.0,59.0
846adc3ffffffff,3.0,0.0,0.0
846adc5ffffffff,12.0,0.0,0.0
846adc7ffffffff,114.0,0.0,0.0
846ade3ffffffff,1.0,0.0,0.0
846ade7ffffffff,119.0,0.0,0.0
846adebffffffff,34.0,0.0,0.0
846aea1ffffffff,4.0,0.0,0.0
847a409ffffffff,5.0,0.0,0.0
847a40bffffffff,37.0,0.0,0.0
847a40dffffffff,2.0,0.0,0.0
847a419ffffffff,4.0,0.0,0.0
847a41bffffffff,40.0,0.0,0.0
847a43bffffffff,4.0,0.0,0.0
847a451ffffffff,33.0,0.0,0.0
847a453ffffffff,167.0,0.0,0.0
847a455ffffffff,277.0,0.0,0.0
847a457ffffffff,127.0,0.0,0.0
847a459ffffffff,28.0,0.0,0.0
847a45bffffffff,74.0,0.0,0.0
847a45dffffffff,2.0,0.0,0.0
847a489ffffffff,11.0,0.0,0.0
847a48bffffffff,1.0,0.0,0.0
847a48dffffffff,16.0,0.0,0.0
847a4c1ffffffff,6.0,0.0,0.0
847a4c5ffffffff,8.0,0.0,0.0
847a4c7ffffffff,14.0,0.0,0.0
847a4c9ffffffff,22.0,0.0,0.0
847a4cbffffffff,11.0,0.0,0.0
847a4cdffffffff,8.0,0.0,0.0
847a4ddffffffff,14.0,0.0,0.0
847a5adffffffff,3.0,0.0,1.0
847a619ffffffff,2.0,0.0,0.0
847a61bffffffff,2.0,0.0,0.0
847a61dffffffff,4.0,0.0,0.0
847a653ffffffff,12.0,0.0,0.0
847a657ffffffff,50.0,0.0,0.0
847a681ffffffff,6.0,0.0,0.0
847a683ffffffff,8.0,0.0,0.0
847a685ffffffff,7.0,0.0,0.0
847a68dffffffff,2.0,0.0,0.0
847a6a1ffffffff,112.0,0.0,0.0
847a6a3ffffffff,9.0,0.0,0.0
847a6a5ffffffff,7.0,0.0,0.0
847a6a9ffffffff,1.0,0.0,0.0
847a6adffffffff,55.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6bdffffffff,2.0,0.0,0.0
847a6c1ffffffff,2.0,0.0,0.0
847a6c9ffffffff,4.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0
847a6d1ffffffff,1.0,0.0,0.0
847a6e1ffffffff,12.0,0.0,0.0
847a6e5ffffffff,1087.0,0.0,0.0
847a6e7ffffffff,55.0,0.0,0.0
847ac81ffffffff,37.0,0.0,15.0
847ac87ffffffff,5.0,0.0,2.0
847ac8dffffffff,2.0,0.0,0.0
847ac97ffffffff,4.0,0.0,0.0
847aca3ffffffff,16.0,0.0,2.0
847acb3ffffffff,10.0,0.0,1.0
847acb5ffffffff,79.0,0.0,6.0
847acc3ffffffff,5.0,0.0,2.0
847acc5ffffffff,193.0,0.0,101.0
847acc7ffffffff,2.0,0.0,2.0
847accbffffffff,8.0,0.0,0.0
847accdffffffff,103.0,0.0,24.0
847acd1ffffffff,3.0,0.0,0.0
847acd5ffffffff,73.0,0.0,25.0
847acd9ffffffff,2.0,0.0,0.0
847ace9ffffffff,28.0,0.0,5.0
847acedffffffff,2.0,0.0,2.0
847ad93ffffffff,4.0,0.0,0.0
847ad99ffffffff,4.0,0.0,0.0
847ae85ffffffff,1.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0
847aeb1ffffffff,4.0,0.0,2.0
847aed9ffffffff,1.0,0.0,1.0
847aedbffffffff,1.0,0.0,0.0
847b4dbffffffff,4.0,0.0,0.0
8496903ffffffff,5.0,0.0,0.0
8496907ffffffff,2.0,0.0,0.0
8496921ffffffff,4.0,0.0,0.0
8496925ffffffff,65.0,0.0,0.0
8496935ffffffff,168.0,0.0,0.0
849693dffffffff,6.0,0.0,0.0
8496a03ffffffff,2.0,0.0,0.0
8496a5dffffffff,2.0,0.0,0.0
8496b21ffffffff,2.0,0.0,0.0
8496b55ffffffff,1.0,0.0,0.0
