cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
835419fffffffff,4.0,0.0,0.0
83541afffffffff,3.0,0.0,0.0
83541bfffffffff,1.0,0.0,0.0
8354a9fffffffff,7.0,2.0,0.0
8354e0fffffffff,1.0,0.0,0.0
8354e2fffffffff,4.0,0.0,0.0
8354e4fffffffff,4.0,0.0,0.0
8354e5fffffffff,36.0,5.0,0.0
8354ecfffffffff,2.0,0.0,0.0
8354f0fffffffff,4.0,0.0,0.0
8354f1fffffffff,4.0,0.0,0.0
8354f4fffffffff,6.0,2.0,0.0
8354f5fffffffff,3.0,0.0,0.0
835883fffffffff,2.0,0.0,0.0
835888fffffffff,2.0,0.0,0.0
835890fffffffff,6.0,0.0,0.0
835891fffffffff,1.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0
835896fffffffff,22.0,1.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c8fffffffff,3.0,0.0,0.0
8358d1fffffffff,4.0,0.0,0.0
8358d2fffffffff,2.0,0.0,0.0
8358d3fffffffff,58.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0
8358defffffffff,13.0,0.0,0.0
8358e2fffffffff,33.0,0.0,0.0
8358e6fffffffff,2.0,0.0,0.0
8358f1fffffffff,1.0,0.0,0.0
8358f5fffffffff,6.0,0.0,0.0
83599afffffffff,7.0,0.0,0.0
836a9afffffffff,4.0,0.0,0.0
836a9efffffffff,16.0,0.0,0.0
836ac0fffffffff,67.0,0.0,0.0
836ac1fffffffff,635.0,0.0,0.0
836ac3fffffffff,42.0,0.0,0.0
836ac5fffffffff,1.0,0.0,0.0
836ac8fffffffff,142.0,3.0,0.0
836ac9fffffffff,19.0,0.0,0.0
836acafffffffff,7.0,1.0,0.0
836accfffffffff,35.0,1.0,0.0
836acdfffffffff,92.0,0.0,0.0
836acefffffffff,143.0,0.0,0.0
836ad8fffffffff,18.0,0.0,0.0
836adcfffffffff,1382.0,0.0,0.0
836addfffffffff,29.0,0.0,0.0
836adefffffffff,213.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0
