cell_id,Lepidocolaptes affinis,Lepidocolaptes affinis affinis/lignicida,Lepidocolaptes affinis neglectus
834520fffffffff,57.0,0.0,0.0
834524fffffffff,274.0,0.0,0.0
834525fffffffff,188.0,91.0,0.0
834526fffffffff,86.0,0.0,0.0
834530fffffffff,2.0,0.0,0.0
834534fffffffff,10.0,0.0,0.0
834535fffffffff,107.0,0.0,0.0
8348a2fffffffff,11.0,0.0,0.0
8348a6fffffffff,5.0,0.0,0.0
834990fffffffff,27.0,0.0,0.0
834991fffffffff,73.0,3.0,0.0
834994fffffffff,15.0,0.0,0.0
834996fffffffff,396.0,37.0,0.0
834998fffffffff,116.0,2.0,0.0
83499bfffffffff,7.0,0.0,0.0
83499cfffffffff,62.0,0.0,0.0
8349b1fffffffff,99.0,0.0,0.0
8349b5fffffffff,6.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
8366a2fffffffff,3.0,0.0,0.0
8366b4fffffffff,5861.0,0.0,0.0
8366b5fffffffff,1523.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0
836d05fffffffff,607.0,56.0,0.0
836d20fffffffff,89.0,2.0,0.0
836d21fffffffff,49.0,0.0,0.0
836d23fffffffff,502.0,18.0,0.0
836d28fffffffff,429.0,64.0,0.0
836d29fffffffff,863.0,132.0,0.0
836d2afffffffff,146.0,12.0,0.0
836d2bfffffffff,636.0,45.0,0.0
836d2cfffffffff,22.0,0.0,0.0
836d2dfffffffff,727.0,315.0,0.0
836d2efffffffff,145.0,6.0,0.0
836d30fffffffff,261.0,19.0,0.0
836d32fffffffff,717.0,92.0,0.0
836d33fffffffff,234.0,45.0,0.0
836d34fffffffff,5.0,0.0,0.0
836d35fffffffff,86.0,11.0,0.0
836d36fffffffff,20.0,1.0,0.0
836d60fffffffff,17.0,0.0,0.0
836d64fffffffff,385.0,0.0,0.0
836d65fffffffff,51.0,0.0,0.0
836d66fffffffff,182.0,0.0,0.0
836d69fffffffff,1065.0,0.0,0.0
836d74fffffffff,286.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0
