cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8466d31ffffffff,4.0,4.0,0.0
8466d33ffffffff,10.0,3.0,0.0
8466d3bffffffff,2.0,0.0,0.0
8466dedffffffff,2.0,0.0,0.0
848b20bffffffff,1.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b251ffffffff,10.0,0.0,10.0
848b259ffffffff,14.0,0.0,14.0
848b25dffffffff,2.0,0.0,2.0
848b611ffffffff,15.0,15.0,0.0
848b617ffffffff,2.0,2.0,0.0
848b619ffffffff,1.0,1.0,0.0
848e629ffffffff,3.0,2.0,0.0
848e663ffffffff,4.0,3.0,0.0
848f425ffffffff,2.0,0.0,0.0
848f50dffffffff,2.0,0.0,0.0
848f59dffffffff,3.0,0.0,0.0
848f5cdffffffff,1.0,1.0,0.0
84a8139ffffffff,2.0,0.0,0.0
84a941bffffffff,2.0,0.0,0.0
84a9501ffffffff,2.0,0.0,0.0
84a9531ffffffff,2.0,0.0,0.0
84a96adffffffff,6.0,0.0,0.0
84a96e1ffffffff,1.0,0.0,0.0
84a96e7ffffffff,2.0,0.0,0.0
84b248bffffffff,2.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b24d1ffffffff,12.0,0.0,0.0
84b24d3ffffffff,31.0,0.0,0.0
84b24d7ffffffff,15.0,0.0,0.0
84b24d9ffffffff,14.0,0.0,0.0
84b24dbffffffff,68.0,0.0,0.0
84b25cbffffffff,1.0,0.0,1.0
84b25cdffffffff,1.0,0.0,1.0
84b2613ffffffff,7.0,0.0,0.0
84b2681ffffffff,2.0,0.0,0.0
84b2687ffffffff,11.0,0.0,0.0
84b268bffffffff,6.0,0.0,0.0
84b268dffffffff,4.0,0.0,0.0
84b2691ffffffff,13.0,0.0,0.0
84b2693ffffffff,9.0,0.0,0.0
84b2695ffffffff,9.0,0.0,0.0
84b2697ffffffff,1.0,0.0,0.0
84b269dffffffff,7.0,0.0,0.0
84b26b1ffffffff,24.0,0.0,0.0
84b26b3ffffffff,3.0,0.0,0.0
84b26b9ffffffff,2.0,0.0,0.0
84b26bbffffffff,5.0,0.0,0.0
84b26bdffffffff,64.0,0.0,0.0
84b26c5ffffffff,2.0,0.0,0.0
84b26c7ffffffff,2.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0
84b26d7ffffffff,13.0,0.0,0.0
84b26ddffffffff,12.0,0.0,0.0
84b2709ffffffff,2.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0
84b2c0dffffffff,7.0,0.0,7.0
84b2dd1ffffffff,3.0,0.0,0.0
84b2e91ffffffff,2.0,0.0,0.0
84b3011ffffffff,4.0,0.0,0.0
84b305dffffffff,6.0,0.0,0.0
84b35a7ffffffff,4.0,0.0,4.0
84b35abffffffff,1.0,0.0,0.0
84b35c5ffffffff,1.0,0.0,1.0
84b35e7ffffffff,2.0,0.0,2.0
84b36d7ffffffff,2.0,0.0,2.0
84c21b3ffffffff,3.0,0.0,3.0
84c2c49ffffffff,3.0,0.0,0.0
84c2c53ffffffff,1.0,0.0,0.0
84c2c5bffffffff,3.0,0.0,3.0
84c2c6dffffffff,4.0,0.0,0.0
84c2c93ffffffff,3.0,0.0,0.0
84c2c97ffffffff,2.0,0.0,0.0
84c2c99ffffffff,6.0,0.0,0.0
84c2c9bffffffff,1.0,0.0,0.0
84c2cadffffffff,2.0,0.0,0.0
84c2cd3ffffffff,3.0,0.0,0.0
84c2cd9ffffffff,1.0,0.0,0.0
84c2d4bffffffff,3.0,0.0,0.0
84c2e23ffffffff,2.0,0.0,0.0
84c2e31ffffffff,1.0,0.0,1.0
84c2e99ffffffff,3.0,0.0,0.0
84c2f17ffffffff,2.0,0.0,0.0
84c2f33ffffffff,2.0,0.0,0.0
84c2f37ffffffff,4.0,0.0,0.0
84c3239ffffffff,2.0,0.0,0.0
84c3297ffffffff,3.0,0.0,3.0
84c329bffffffff,2.0,0.0,0.0
84c32adffffffff,4.0,0.0,0.0
84c32e1ffffffff,20.0,0.0,0.0
84c32edffffffff,4.0,0.0,0.0
84c3509ffffffff,3.0,0.0,3.0
84c376dffffffff,3.0,0.0,3.0
