cell_id,Cyphorhinus arada,Cyphorhinus arada transfluvialis,Cyphorhinus arada salvini,Cyphorhinus arada arada,Cyphorhinus arada griseolateralis,Cyphorhinus arada interpositus,Cyphorhinus arada modulator
835f00fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
835f23fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
835f40fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
835f42fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
835f54fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
835f71fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
83665bfffffffff,68.0,1.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,100.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,5.0,0.0,4.0,0.0,0.0,0.0,0.0
8366dafffffffff,27.0,0.0,1.0,0.0,0.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,437.0,0.0,67.0,0.0,0.0,0.0,0.0
838a00fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838a01fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838a05fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838a10fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
838a15fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838a55fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838a69fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
838a70fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838a73fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838a75fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
838a80fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
838a81fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
838a8efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838af0fffffffff,41.0,0.0,0.0,2.0,0.0,0.0,0.0
838af2fffffffff,56.0,0.0,0.0,11.0,0.0,0.0,0.0
838af4fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838af6fffffffff,106.0,0.0,0.0,4.0,0.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b40fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838b44fffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0
838b46fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b62fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
838b63fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
838b69fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0
838b71fffffffff,179.0,0.0,0.0,0.0,0.0,0.0,0.0
838b74fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b9dfffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
838ba0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
838f48fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f61fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f6cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838f70fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
838f71fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838f72fffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
838f74fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
838f76fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
