cell_id,Alophoixus pallidus,Alophoixus pallidus griseiceps,Alophoixus pallidus [pallidus Group]
82402ffffffffff,7.0,0.0,0.0
82404ffffffffff,11.0,0.0,0.0
824067fffffffff,122.0,0.0,0.0
82406ffffffffff,6.0,0.0,0.0
824147fffffffff,197.0,0.0,29.0
82414ffffffffff,32.0,0.0,0.0
824157fffffffff,6.0,0.0,0.0
82415ffffffffff,120.0,0.0,5.0
824167fffffffff,95.0,0.0,9.0
82416ffffffffff,116.0,0.0,19.0
824177fffffffff,312.0,0.0,41.0
826487fffffffff,405.0,0.0,106.0
826497fffffffff,474.0,0.0,165.0
82649ffffffffff,3.0,0.0,0.0
8264a7fffffffff,6.0,0.0,2.0
8264b7fffffffff,339.0,0.0,116.0
826587fffffffff,13.0,0.0,0.0
826597fffffffff,98.0,0.0,0.0
82659ffffffffff,1507.0,0.0,438.0
8265b7fffffffff,186.0,0.0,2.0
826937fffffffff,38.0,0.0,9.0
