cell_id,Phylloscopus presbytes,Phylloscopus presbytes floresianus,Phylloscopus presbytes presbytes
829427fffffffff,75.0,0.0,1.0
82942ffffffffff,151.0,0.0,74.0
82951ffffffffff,174.0,107.0,0.0
829557fffffffff,9.0,0.0,1.0
