cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
832600fffffffff,228.0,0.0,0.0
832601fffffffff,1146.0,42.0,0.0
832602fffffffff,84.0,0.0,0.0
832603fffffffff,759.0,95.0,0.0
832604fffffffff,140.0,0.0,0.0
832605fffffffff,477.0,0.0,0.0
832606fffffffff,15.0,0.0,0.0
832608fffffffff,1792.0,45.0,0.0
832609fffffffff,690.0,11.0,0.0
83260afffffffff,4371.0,9.0,0.0
83260bfffffffff,3136.0,9.0,0.0
83260cfffffffff,146.0,6.0,0.0
83260dfffffffff,2078.0,11.0,0.0
83260efffffffff,2101.0,190.0,0.0
832610fffffffff,9.0,0.0,0.0
832611fffffffff,236.0,1.0,0.0
832613fffffffff,8.0,0.0,0.0
832615fffffffff,30.0,0.0,0.0
832616fffffffff,18.0,0.0,0.0
832618fffffffff,1320.0,28.0,0.0
832619fffffffff,247.0,0.0,0.0
83261afffffffff,150.0,1.0,0.0
83261bfffffffff,267.0,0.0,0.0
83261cfffffffff,135.0,2.0,0.0
83261dfffffffff,134.0,3.0,0.0
83261efffffffff,70.0,1.0,0.0
832620fffffffff,1471.0,0.0,0.0
832621fffffffff,5716.0,0.0,0.0
832622fffffffff,53.0,0.0,0.0
832623fffffffff,428.0,0.0,0.0
832624fffffffff,124.0,0.0,0.0
832625fffffffff,1108.0,0.0,0.0
832626fffffffff,789.0,0.0,0.0
832628fffffffff,747.0,1.0,0.0
832629fffffffff,1142.0,18.0,0.0
83262afffffffff,85.0,1.0,0.0
83262bfffffffff,2364.0,11.0,0.0
83262cfffffffff,24878.0,0.0,0.0
83262dfffffffff,2903.0,0.0,0.0
83262efffffffff,750.0,0.0,0.0
832631fffffffff,38.0,0.0,0.0
832633fffffffff,213.0,0.0,0.0
832635fffffffff,8.0,0.0,0.0
832640fffffffff,6881.0,0.0,0.0
832641fffffffff,5596.0,0.0,0.0
832642fffffffff,3472.0,0.0,0.0
832643fffffffff,6807.0,0.0,0.0
832644fffffffff,973.0,0.0,0.0
832645fffffffff,868.0,0.0,0.0
832646fffffffff,16410.0,0.0,0.0
832648fffffffff,3681.0,0.0,0.0
832649fffffffff,6440.0,0.0,0.0
83264afffffffff,7465.0,2.0,0.0
83264bfffffffff,1825.0,0.0,0.0
83264cfffffffff,6680.0,0.0,0.0
83264dfffffffff,13293.0,0.0,0.0
83264efffffffff,3663.0,0.0,0.0
832650fffffffff,3728.0,0.0,0.0
832651fffffffff,2825.0,0.0,0.0
832652fffffffff,5588.0,0.0,0.0
832653fffffffff,9065.0,0.0,0.0
832654fffffffff,3759.0,0.0,0.0
832655fffffffff,18396.0,0.0,0.0
832656fffffffff,15494.0,0.0,0.0
832658fffffffff,1368.0,9.0,0.0
832659fffffffff,7520.0,34.0,0.0
83265afffffffff,3903.0,23.0,0.0
83265bfffffffff,8238.0,12.0,0.0
83265cfffffffff,1590.0,0.0,0.0
83265dfffffffff,2908.0,1.0,0.0
83265efffffffff,1886.0,0.0,0.0
832660fffffffff,1829.0,0.0,0.0
832661fffffffff,12523.0,0.0,0.0
832662fffffffff,6574.0,0.0,0.0
832663fffffffff,3748.0,0.0,0.0
832664fffffffff,45091.0,0.0,0.0
832665fffffffff,4217.0,0.0,0.0
832666fffffffff,12382.0,0.0,0.0
832668fffffffff,10408.0,0.0,0.0
832669fffffffff,1436.0,0.0,0.0
83266afffffffff,4129.0,0.0,0.0
83266bfffffffff,3319.0,0.0,0.0
83266cfffffffff,8281.0,0.0,0.0
83266dfffffffff,12749.0,178.0,0.0
83266efffffffff,5116.0,0.0,0.0
832670fffffffff,1267.0,0.0,0.0
832671fffffffff,3003.0,0.0,0.0
832672fffffffff,779.0,2.0,0.0
832673fffffffff,1867.0,0.0,0.0
832674fffffffff,4588.0,118.0,0.0
832675fffffffff,2301.0,7.0,0.0
832676fffffffff,585.0,14.0,0.0
832689fffffffff,6.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0
8326a8fffffffff,435.0,0.0,0.0
8326a9fffffffff,406.0,0.0,0.0
8326aafffffffff,11.0,0.0,0.0
8326abfffffffff,3.0,0.0,0.0
8326acfffffffff,72.0,1.0,0.0
8326adfffffffff,419.0,20.0,0.0
8326aefffffffff,11.0,0.0,0.0
8326c0fffffffff,190.0,0.0,0.0
8326c1fffffffff,5321.0,0.0,0.0
8326c2fffffffff,285.0,0.0,0.0
