cell_id,Caprimulgus affinis,Caprimulgus affinis [monticolus Group],Caprimulgus affinis [affinis Group]
84209a5ffffffff,7.0,0.0,0.0
843c159ffffffff,7.0,0.0,0.0
843c1c3ffffffff,28.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0
843c329ffffffff,1.0,0.0,0.0
843c369ffffffff,1.0,0.0,0.0
843c36bffffffff,5.0,0.0,0.0
843c527ffffffff,5.0,0.0,0.0
843c801ffffffff,2.0,0.0,0.0
843c805ffffffff,4.0,0.0,0.0
843c80dffffffff,1.0,0.0,0.0
843c855ffffffff,2.0,0.0,0.0
843c909ffffffff,14.0,0.0,0.0
843c929ffffffff,2.0,0.0,0.0
843c92dffffffff,3.0,0.0,0.0
843c939ffffffff,3.0,0.0,0.0
843c943ffffffff,10.0,0.0,0.0
843ca01ffffffff,2.0,0.0,0.0
843ca25ffffffff,5.0,0.0,0.0
843ca2dffffffff,1.0,0.0,0.0
843ca3bffffffff,4.0,0.0,0.0
843ca41ffffffff,4.0,0.0,0.0
843ca45ffffffff,7.0,0.0,0.0
843ca47ffffffff,5.0,0.0,0.0
843ca69ffffffff,2.0,0.0,0.0
843ca87ffffffff,4.0,0.0,0.0
843ca95ffffffff,1.0,0.0,0.0
843ca97ffffffff,25.0,0.0,0.0
843cab9ffffffff,20.0,0.0,0.0
843cb07ffffffff,7.0,0.0,0.0
843cb11ffffffff,16.0,0.0,0.0
843cb15ffffffff,4.0,0.0,0.0
843cb1dffffffff,11.0,0.0,0.0
843cb39ffffffff,16.0,0.0,0.0
843cb3bffffffff,4.0,0.0,0.0
843cb45ffffffff,25.0,0.0,0.0
843cb47ffffffff,3.0,0.0,0.0
843cb51ffffffff,2.0,0.0,0.0
843cb59ffffffff,4.0,0.0,0.0
843cb5dffffffff,34.0,0.0,0.0
843cb61ffffffff,4.0,0.0,0.0
843cb65ffffffff,43.0,0.0,0.0
843cb69ffffffff,5.0,0.0,0.0
843cb6bffffffff,22.0,0.0,0.0
843cb6dffffffff,28.0,0.0,0.0
843ce55ffffffff,23.0,0.0,0.0
843ce57ffffffff,13.0,0.0,0.0
843cec9ffffffff,13.0,0.0,0.0
843d135ffffffff,7.0,0.0,0.0
843d137ffffffff,32.0,0.0,0.0
843d139ffffffff,2.0,0.0,0.0
843d13dffffffff,18.0,0.0,0.0
843d80dffffffff,40.0,0.0,0.0
843d845ffffffff,19.0,0.0,0.0
843d847ffffffff,50.0,0.0,0.0
843d851ffffffff,2.0,0.0,0.0
843d855ffffffff,4.0,0.0,0.0
843d863ffffffff,5.0,0.0,0.0
843d86bffffffff,42.0,0.0,0.0
843d86dffffffff,2.0,0.0,0.0
843d907ffffffff,1.0,0.0,0.0
843d915ffffffff,3.0,0.0,0.0
843d923ffffffff,2.0,0.0,0.0
843d92dffffffff,10.0,0.0,0.0
843d939ffffffff,9.0,0.0,0.0
843d93bffffffff,21.0,0.0,0.0
843d93dffffffff,27.0,0.0,0.0
843d963ffffffff,1.0,0.0,0.0
843d967ffffffff,26.0,0.0,0.0
843d981ffffffff,2.0,0.0,0.0
843d983ffffffff,3.0,0.0,0.0
843d987ffffffff,2.0,0.0,0.0
843d989ffffffff,4.0,0.0,0.0
843d98dffffffff,13.0,0.0,0.0
843d993ffffffff,15.0,0.0,0.0
843d997ffffffff,3.0,0.0,0.0
843d9a7ffffffff,28.0,0.0,0.0
843d9abffffffff,1.0,0.0,0.0
843d9b1ffffffff,2.0,0.0,0.0
843d9b5ffffffff,1.0,0.0,0.0
843d9b7ffffffff,66.0,0.0,0.0
843d9b9ffffffff,26.0,0.0,0.0
843d9bbffffffff,2.0,0.0,0.0
843d9bdffffffff,1.0,0.0,0.0
843d9d1ffffffff,255.0,0.0,0.0
843d9d3ffffffff,141.0,0.0,0.0
843d9d5ffffffff,11.0,0.0,0.0
843d9dbffffffff,350.0,0.0,0.0
843d9e5ffffffff,278.0,0.0,0.0
843d9e7ffffffff,20.0,0.0,0.0
843d9edffffffff,9.0,0.0,0.0
843da2dffffffff,1.0,0.0,0.0
843da95ffffffff,2.0,0.0,0.0
843dab9ffffffff,1.0,0.0,0.0
843dad5ffffffff,2.0,0.0,0.0
843dad9ffffffff,7.0,2.0,0.0
843daddffffffff,19.0,0.0,0.0
843db0bffffffff,1.0,0.0,0.0
843db13ffffffff,48.0,0.0,0.0
843db15ffffffff,2.0,0.0,0.0
843db23ffffffff,1.0,0.0,0.0
843db27ffffffff,2.0,0.0,0.0
843db31ffffffff,21.0,0.0,0.0
843db35ffffffff,97.0,0.0,0.0
843db37ffffffff,58.0,0.0,0.0
843db3dffffffff,2.0,0.0,0.0
843db51ffffffff,2.0,0.0,0.0
843db53ffffffff,2.0,0.0,0.0
843db55ffffffff,7.0,0.0,0.0
843db57ffffffff,69.0,0.0,0.0
843db61ffffffff,2.0,0.0,0.0
843db67ffffffff,7.0,0.0,0.0
843db6bffffffff,3.0,0.0,0.0
843db6dffffffff,5.0,0.0,0.0
8440403ffffffff,2.0,0.0,0.0
84404ddffffffff,3.0,0.0,0.0
844118bffffffff,2.0,0.0,0.0
84411c1ffffffff,2.0,0.0,0.0
84411cbffffffff,84.0,0.0,0.0
84416cbffffffff,1.0,0.0,0.0
8441721ffffffff,8.0,0.0,0.0
8441739ffffffff,3.0,0.0,0.0
8441a43ffffffff,2.0,0.0,0.0
8441a55ffffffff,5.0,0.0,0.0
844269bffffffff,2.0,0.0,0.0
8442c13ffffffff,7.0,0.0,0.0
8442c1bffffffff,7.0,0.0,0.0
8442c27ffffffff,4.0,0.0,0.0
8442c2dffffffff,2.0,0.0,0.0
8442c41ffffffff,5.0,0.0,0.0
8442c43ffffffff,4.0,0.0,0.0
8442c49ffffffff,1.0,0.0,0.0
8442c4bffffffff,39.0,0.0,0.0
8442c57ffffffff,1.0,0.0,0.0
8442c59ffffffff,1.0,0.0,0.0
8442c5dffffffff,83.0,0.0,0.0
8442c83ffffffff,3.0,0.0,0.0
8442c8bffffffff,1.0,0.0,0.0
8442ca1ffffffff,11.0,0.0,0.0
8442ca3ffffffff,2.0,0.0,0.0
8442ca5ffffffff,2.0,0.0,0.0
8442cabffffffff,7.0,0.0,0.0
8442cb9ffffffff,2.0,0.0,0.0
8442cbdffffffff,14.0,0.0,0.0
8442cd3ffffffff,1.0,0.0,0.0
8442cd5ffffffff,2.0,0.0,0.0
8442cdbffffffff,14.0,0.0,0.0
8442cddffffffff,7.0,0.0,0.0
8442d1bffffffff,1.0,0.0,0.0
8442d89ffffffff,2.0,0.0,0.0
8442d93ffffffff,5.0,0.0,0.0
8442d97ffffffff,2.0,0.0,0.0
8442d9bffffffff,3.0,0.0,0.0
8442db5ffffffff,2.0,0.0,0.0
8442db7ffffffff,9.0,0.0,0.0
8442dc1ffffffff,4.0,0.0,0.0
8442dcdffffffff,9.0,0.0,0.0
8442dd9ffffffff,9.0,0.0,0.0
8442e23ffffffff,3.0,0.0,0.0
8442e37ffffffff,4.0,0.0,0.0
8442eb1ffffffff,3.0,0.0,0.0
8442eb5ffffffff,2.0,0.0,0.0
844b841ffffffff,20.0,0.0,0.0
844b845ffffffff,72.0,0.0,0.0
844b849ffffffff,22.0,0.0,0.0
844b84dffffffff,30.0,0.0,0.0
844b869ffffffff,20.0,0.0,0.0
844b86dffffffff,128.0,0.0,0.0
844ba01ffffffff,52.0,0.0,0.0
844ba03ffffffff,19.0,0.0,0.0
844ba05ffffffff,376.0,0.0,0.0
844ba07ffffffff,3.0,0.0,0.0
844ba09ffffffff,14.0,0.0,0.0
844ba0bffffffff,323.0,0.0,0.0
844ba0dffffffff,172.0,0.0,0.0
844ba15ffffffff,127.0,0.0,0.0
844ba1dffffffff,37.0,0.0,0.0
844ba21ffffffff,857.0,0.0,0.0
844ba25ffffffff,1260.0,0.0,0.0
844ba27ffffffff,39.0,0.0,0.0
844ba29ffffffff,2488.0,0.0,0.0
844ba2bffffffff,334.0,0.0,0.0
844ba2dffffffff,837.0,0.0,0.0
844ba31ffffffff,13.0,0.0,0.0
844ba35ffffffff,145.0,0.0,0.0
844ba39ffffffff,102.0,0.0,0.0
844ba3dffffffff,112.0,0.0,0.0
844ba57ffffffff,5.0,0.0,0.0
844ba63ffffffff,262.0,0.0,0.0
844ba67ffffffff,5.0,0.0,0.0
844bb11ffffffff,1038.0,0.0,0.0
844bb13ffffffff,757.0,0.0,0.0
844bb17ffffffff,1014.0,0.0,0.0
844bb19ffffffff,1881.0,5.0,0.0
844bb1bffffffff,928.0,0.0,0.0
844bb53ffffffff,152.0,1.0,0.0
8460025ffffffff,4.0,0.0,0.0
8460027ffffffff,2.0,0.0,0.0
8460061ffffffff,9.0,0.0,0.0
8460065ffffffff,75.0,0.0,0.0
8460067ffffffff,6.0,0.0,0.0
8460069ffffffff,2.0,0.0,0.0
8460113ffffffff,47.0,0.0,0.0
846011bffffffff,6.0,0.0,0.0
846015bffffffff,1.0,0.0,0.0
8460165ffffffff,5.0,0.0,0.0
84601e9ffffffff,42.0,0.0,0.0
8460225ffffffff,2.0,0.0,0.0
8460263ffffffff,2.0,0.0,0.0
8460311ffffffff,11.0,0.0,0.0
8460313ffffffff,304.0,0.0,0.0
8460315ffffffff,72.0,0.0,0.0
8460317ffffffff,70.0,0.0,0.0
8460319ffffffff,4.0,0.0,0.0
846031bffffffff,25.0,0.0,0.0
846081dffffffff,3.0,0.0,0.0
8460845ffffffff,6.0,0.0,0.0
8460881ffffffff,9.0,0.0,0.0
8460885ffffffff,5.0,0.0,0.0
846088dffffffff,1.0,0.0,0.0
84608a3ffffffff,7.0,0.0,0.0
84608b5ffffffff,2.0,0.0,0.0
84608b9ffffffff,1.0,0.0,0.0
84608bdffffffff,24.0,0.0,0.0
84608c9ffffffff,2.0,0.0,0.0
84608d1ffffffff,2.0,0.0,0.0
84608d5ffffffff,1.0,0.0,0.0
84608d9ffffffff,3.0,0.0,0.0
84608ddffffffff,5.0,0.0,0.0
84608e9ffffffff,1.0,0.0,0.0
8460901ffffffff,27.0,0.0,0.0
8460903ffffffff,1.0,0.0,0.0
8460913ffffffff,22.0,0.0,0.0
8460917ffffffff,6.0,0.0,0.0
8460919ffffffff,2.0,0.0,0.0
8460921ffffffff,4.0,0.0,0.0
8460925ffffffff,14.0,0.0,0.0
8460927ffffffff,116.0,0.0,0.0
8460929ffffffff,2.0,0.0,0.0
8460931ffffffff,7.0,0.0,0.0
8460939ffffffff,6.0,0.0,0.0
846093bffffffff,13.0,0.0,0.0
846094bffffffff,10.0,0.0,0.0
846094dffffffff,58.0,0.0,0.0
8460959ffffffff,7.0,0.0,0.0
8460961ffffffff,13.0,0.0,0.0
8460963ffffffff,4.0,0.0,0.0
8460965ffffffff,84.0,0.0,0.0
8460969ffffffff,6.0,0.0,0.0
846096bffffffff,8.0,0.0,0.0
846096dffffffff,8.0,0.0,0.0
8460983ffffffff,4.0,0.0,0.0
8460985ffffffff,3.0,0.0,0.0
8460987ffffffff,1.0,0.0,0.0
8460989ffffffff,2.0,0.0,0.0
8460999ffffffff,4.0,0.0,0.0
846099bffffffff,1.0,0.0,0.0
84609b3ffffffff,1.0,0.0,0.0
84609b7ffffffff,9.0,0.0,0.0
84609c7ffffffff,10.0,0.0,0.0
84609dbffffffff,1.0,0.0,0.0
84609e1ffffffff,172.0,0.0,0.0
84609e9ffffffff,2.0,0.0,0.0
84609ebffffffff,41.0,0.0,0.0
84609edffffffff,6.0,0.0,0.0
8460a0dffffffff,6.0,0.0,0.0
8460a27ffffffff,1.0,0.0,0.0
8460a31ffffffff,2.0,0.0,0.0
8460a39ffffffff,6.0,0.0,0.0
8460a49ffffffff,3.0,0.0,0.0
8460a61ffffffff,8.0,0.0,0.0
8460a91ffffffff,72.0,0.0,0.0
8460a97ffffffff,4.0,0.0,0.0
8460a99ffffffff,1.0,0.0,0.0
8460a9dffffffff,21.0,0.0,0.0
8460ab3ffffffff,2.0,0.0,0.0
8460ab5ffffffff,3.0,0.0,0.0
8460abbffffffff,1.0,0.0,0.0
8460adbffffffff,3.0,0.0,0.0
8460b17ffffffff,2.0,0.0,0.0
8460b1bffffffff,5.0,0.0,0.0
8460b27ffffffff,2.0,0.0,0.0
8460b29ffffffff,4.0,0.0,0.0
8460b31ffffffff,1.0,0.0,0.0
8460b37ffffffff,4.0,0.0,0.0
8460b3dffffffff,12.0,0.0,0.0
8460b47ffffffff,34.0,0.0,0.0
8460b49ffffffff,3.0,0.0,0.0
8460b69ffffffff,3.0,0.0,0.0
8460f6dffffffff,2.0,0.0,0.0
8461885ffffffff,286.0,0.0,0.0
84618a3ffffffff,2.0,0.0,0.0
84618b1ffffffff,2.0,0.0,0.0
84619a5ffffffff,7.0,0.0,0.0
8464821ffffffff,1.0,0.0,0.0
8464829ffffffff,53.0,0.0,0.0
846482bffffffff,19.0,2.0,0.0
8464841ffffffff,5.0,0.0,0.0
8464847ffffffff,2.0,0.0,0.0
8464849ffffffff,2.0,0.0,0.0
8464911ffffffff,2.0,0.0,0.0
84649d3ffffffff,7.0,0.0,0.0
8464a05ffffffff,4.0,0.0,0.0
8464a09ffffffff,2.0,0.0,0.0
8464a15ffffffff,2.0,0.0,0.0
8464a25ffffffff,2.0,0.0,0.0
8464a29ffffffff,33.0,0.0,0.0
8464a2bffffffff,2.0,0.0,0.0
8464a2dffffffff,8.0,0.0,0.0
8464a3dffffffff,3.0,0.0,0.0
8464a45ffffffff,7.0,0.0,0.0
8464a59ffffffff,8.0,0.0,0.0
8464a67ffffffff,2.0,0.0,0.0
8464a6bffffffff,7.0,1.0,0.0
8464b13ffffffff,2.0,0.0,0.0
8464b1bffffffff,8.0,0.0,0.0
8464b29ffffffff,3.0,0.0,0.0
8464b41ffffffff,2.0,0.0,0.0
8464b49ffffffff,6.0,0.0,0.0
8464b5bffffffff,3.0,0.0,0.0
8465015ffffffff,4.0,0.0,0.0
8465033ffffffff,1.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0
8465051ffffffff,10.0,0.0,0.0
8465053ffffffff,13.0,0.0,0.0
8465055ffffffff,4.0,0.0,0.0
8465057ffffffff,11.0,0.0,0.0
846506bffffffff,1.0,0.0,0.0
84650bbffffffff,2.0,0.0,0.0
84650d5ffffffff,1.0,0.0,0.0
84650d9ffffffff,1.0,0.0,0.0
84650e5ffffffff,4.0,0.0,0.0
8465113ffffffff,1.0,0.0,0.0
8465187ffffffff,1.0,0.0,0.0
846518bffffffff,2.0,0.0,0.0
846520dffffffff,112.0,0.0,0.0
846521bffffffff,2.0,0.0,0.0
8465227ffffffff,2.0,0.0,0.0
8465229ffffffff,9.0,0.0,0.0
8465263ffffffff,50.0,0.0,0.0
846526bffffffff,18.0,0.0,0.0
84652cdffffffff,4.0,0.0,0.0
84652d7ffffffff,1.0,0.0,0.0
8465501ffffffff,2.0,0.0,0.0
8465547ffffffff,6.0,0.0,0.0
8465801ffffffff,2.0,0.0,0.0
8465847ffffffff,1.0,0.0,0.0
8465857ffffffff,3.0,0.0,0.0
846586bffffffff,6.0,0.0,0.0
8465911ffffffff,117.0,0.0,0.0
846591bffffffff,10.0,0.0,0.0
846591dffffffff,21.0,0.0,0.0
8465935ffffffff,1.0,0.0,0.0
8465995ffffffff,2.0,0.0,0.0
8468923ffffffff,3.0,0.0,0.0
8468c8bffffffff,2.0,0.0,0.0
8468d05ffffffff,10.0,0.0,0.0
8468d29ffffffff,53.0,0.0,0.0
8468d2bffffffff,5.0,0.0,0.0
848c101ffffffff,2.0,0.0,0.0
848c107ffffffff,32.0,0.0,0.0
848c12bffffffff,11.0,0.0,0.0
848c131ffffffff,9.0,0.0,0.0
848c13bffffffff,1.0,0.0,0.0
848c13dffffffff,2.0,0.0,0.0
848c157ffffffff,1.0,0.0,0.0
848c163ffffffff,1.0,0.0,0.0
848c881ffffffff,2.0,0.0,0.0
848cad1ffffffff,3.0,0.0,0.0
848cad5ffffffff,21.0,0.0,0.0
848caddffffffff,32.0,0.0,1.0
848cd25ffffffff,2.0,0.0,0.0
848cd3bffffffff,2.0,0.0,0.0
848cd55ffffffff,2.0,0.0,2.0
848cf03ffffffff,4.0,0.0,0.0
848d809ffffffff,8.0,0.0,0.0
848d85dffffffff,5.0,0.0,0.0
848d881ffffffff,1.0,0.0,0.0
848d8c1ffffffff,2.0,0.0,0.0
848d8c7ffffffff,3.0,0.0,0.0
848d8cbffffffff,18.0,0.0,0.0
