cell_id,Fregata ariel,Fregata ariel ariel/iredalei,Fregata ariel trinitatis
8441035ffffffff,6.0,0.0,0.0
84411c9ffffffff,2.0,0.0,0.0
84411cbffffffff,5.0,0.0,0.0
8441b43ffffffff,5.0,0.0,0.0
8441b5dffffffff,18.0,0.0,0.0
8441b65ffffffff,5.0,0.0,0.0
844b845ffffffff,5.0,0.0,0.0
844b849ffffffff,2.0,0.0,0.0
844b86dffffffff,18.0,0.0,0.0
844ba09ffffffff,5.0,0.0,0.0
844ba0bffffffff,14.0,0.0,0.0
844ba11ffffffff,10.0,0.0,0.0
844ba15ffffffff,27.0,0.0,0.0
844ba19ffffffff,10.0,0.0,0.0
844ba1dffffffff,32.0,2.0,0.0
844ba21ffffffff,2.0,0.0,0.0
844ba29ffffffff,1.0,0.0,0.0
844ba31ffffffff,3.0,0.0,0.0
844ba39ffffffff,5.0,0.0,0.0
844ba3bffffffff,1.0,0.0,0.0
844ba3dffffffff,2.0,0.0,0.0
844ba53ffffffff,3.0,3.0,0.0
844ba57ffffffff,45.0,0.0,0.0
844ba67ffffffff,1.0,0.0,0.0
844bb17ffffffff,4.0,0.0,0.0
844bb19ffffffff,4.0,0.0,0.0
844bb59ffffffff,1.0,0.0,0.0
8464215ffffffff,2.0,2.0,0.0
8464227ffffffff,1.0,0.0,0.0
8464261ffffffff,17.0,16.0,0.0
8464263ffffffff,6.0,6.0,0.0
8464265ffffffff,13.0,0.0,0.0
8464267ffffffff,23.0,10.0,0.0
846426dffffffff,6.0,3.0,0.0
846434bffffffff,1.0,1.0,0.0
846435bffffffff,6.0,0.0,0.0
8465225ffffffff,3.0,0.0,0.0
846522dffffffff,1.0,0.0,0.0
8465319ffffffff,1.0,0.0,0.0
8465353ffffffff,5.0,0.0,0.0
8465aadffffffff,2.0,0.0,0.0
8468021ffffffff,4.0,0.0,0.0
8468029ffffffff,8.0,0.0,0.0
846802dffffffff,72.0,1.0,0.0
8468055ffffffff,1.0,0.0,0.0
8468065ffffffff,5.0,0.0,0.0
8468153ffffffff,2.0,0.0,0.0
8468157ffffffff,2.0,0.0,0.0
846818dffffffff,2.0,0.0,0.0
84681a9ffffffff,1.0,0.0,0.0
84681bdffffffff,25.0,2.0,0.0
84681d5ffffffff,9.0,0.0,0.0
8468281ffffffff,1.0,0.0,0.0
8468285ffffffff,19.0,0.0,0.0
84682e3ffffffff,2.0,0.0,0.0
846841bffffffff,2.0,0.0,0.0
84684e5ffffffff,6.0,0.0,0.0
8468589ffffffff,2.0,0.0,0.0
84685d5ffffffff,5.0,0.0,0.0
84685e3ffffffff,3.0,0.0,0.0
8468619ffffffff,2.0,0.0,0.0
8468717ffffffff,2.0,0.0,0.0
8468c89ffffffff,1.0,0.0,0.0
8468c8bffffffff,56.0,0.0,0.0
8468cd9ffffffff,1.0,0.0,0.0
8468ce3ffffffff,4.0,0.0,0.0
8468dbbffffffff,2.0,0.0,0.0
8468f61ffffffff,1.0,0.0,0.0
8468f63ffffffff,2.0,0.0,0.0
8468f6bffffffff,13.0,0.0,0.0
84696d1ffffffff,1.0,0.0,0.0
84696d3ffffffff,1.0,0.0,0.0
8472807ffffffff,2.0,0.0,0.0
8472867ffffffff,3.0,0.0,0.0
8472901ffffffff,3.0,0.0,0.0
8472905ffffffff,18.0,0.0,0.0
8472917ffffffff,6.0,0.0,0.0
8472a07ffffffff,8.0,0.0,0.0
8472a0dffffffff,1.0,0.0,0.0
8472a2bffffffff,2.0,0.0,0.0
8472a31ffffffff,4.0,0.0,0.0
8472ae1ffffffff,3.0,0.0,0.0
8472ae3ffffffff,14.0,0.0,0.0
8472ae7ffffffff,1.0,0.0,0.0
8472aedffffffff,3.0,0.0,0.0
8472b03ffffffff,1.0,0.0,0.0
8472c91ffffffff,1.0,0.0,0.0
8472cb9ffffffff,2.0,0.0,0.0
8472d59ffffffff,2.0,0.0,0.0
8472dd1ffffffff,3.0,0.0,0.0
8472f35ffffffff,3.0,0.0,0.0
8473901ffffffff,2.0,0.0,0.0
8473905ffffffff,3.0,0.0,0.0
8473907ffffffff,11.0,0.0,0.0
8473909ffffffff,10.0,0.0,0.0
847390bffffffff,11.0,0.0,0.0
847390dffffffff,40.0,1.0,0.0
8473987ffffffff,2.0,0.0,0.0
84739a1ffffffff,44.0,1.0,0.0
84739a3ffffffff,75.0,3.0,0.0
84739a7ffffffff,2.0,0.0,0.0
84739a9ffffffff,39.0,0.0,0.0
84739abffffffff,222.0,16.0,0.0
84739adffffffff,15.0,0.0,0.0
84739b1ffffffff,7.0,3.0,0.0
84739b5ffffffff,20.0,0.0,0.0
84739bbffffffff,3.0,1.0,0.0
84739bdffffffff,10.0,0.0,0.0
8473b65ffffffff,4.0,0.0,0.0
8476869ffffffff,1.0,0.0,0.0
84768a9ffffffff,2.0,0.0,0.0
8476993ffffffff,2.0,0.0,0.0
847699dffffffff,41.0,0.0,0.0
84769d1ffffffff,4.0,0.0,0.0
84769d3ffffffff,1.0,0.0,0.0
84769d7ffffffff,4.0,0.0,0.0
84769ddffffffff,4.0,0.0,0.0
8476a27ffffffff,2.0,0.0,0.0
8476b45ffffffff,4.0,0.0,0.0
8477913ffffffff,3.0,0.0,0.0
847791bffffffff,2.0,0.0,0.0
847791dffffffff,2.0,0.0,0.0
847795bffffffff,5.0,0.0,0.0
8477989ffffffff,4.0,0.0,0.0
84779bdffffffff,3.0,0.0,0.0
8478983ffffffff,3.0,0.0,0.0
