cell_id,Clytorhynchus vitiensis,Clytorhynchus vitiensis powelli,Clytorhynchus vitiensis [vitiensis Group],Clytorhynchus vitiensis fortunae,Clytorhynchus vitiensis keppeli
839a16fffffffff,4.0,0.0,0.0,0.0,0.0
839a74fffffffff,1.0,0.0,0.0,0.0,0.0
839b19fffffffff,1.0,0.0,0.0,0.0,0.0
839b41fffffffff,56.0,0.0,0.0,0.0,0.0
839b43fffffffff,37.0,0.0,0.0,0.0,0.0
839b45fffffffff,2.0,0.0,0.0,0.0,0.0
839b46fffffffff,1.0,0.0,0.0,0.0,0.0
839b4cfffffffff,19.0,0.0,0.0,0.0,0.0
839b4efffffffff,6.0,0.0,0.0,0.0,0.0
839b5cfffffffff,7.0,0.0,0.0,0.0,0.0
839b5dfffffffff,11.0,0.0,0.0,0.0,0.0
839b6afffffffff,34.0,0.0,0.0,0.0,0.0
839b6bfffffffff,40.0,0.0,0.0,0.0,0.0
839b6efffffffff,5.0,0.0,0.0,0.0,0.0
839b73fffffffff,1.0,0.0,0.0,0.0,0.0
