cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
834522fffffffff,1.0,1.0,0.0
836610fffffffff,5.0,0.0,0.0
836612fffffffff,1.0,0.0,1.0
836613fffffffff,10.0,0.0,10.0
83661bfffffffff,2.0,0.0,0.0
83661efffffffff,5.0,0.0,5.0
8366a0fffffffff,34.0,0.0,0.0
8366a1fffffffff,3.0,0.0,0.0
8366a5fffffffff,7.0,0.0,0.0
8366b4fffffffff,4.0,4.0,0.0
8366d0fffffffff,3.0,3.0,0.0
8366d2fffffffff,5.0,0.0,5.0
8366d3fffffffff,17.0,0.0,13.0
8366f0fffffffff,8.0,0.0,2.0
8366f1fffffffff,1.0,1.0,0.0
836791fffffffff,2.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836794fffffffff,5.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0
83679afffffffff,21.0,16.0,2.0
836d69fffffffff,9.0,3.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838f0dfffffffff,9.0,0.0,7.0
838f2afffffffff,8.0,0.0,0.0
