cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
84661a7ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8466d1bffffffff,4.0,0.0,1.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,2.0,0.0,0.0,0.0
848065dffffffff,1.0,0.0,0.0,0.0,1.0,0.0
848134dffffffff,1.0,0.0,0.0,0.0,0.0,1.0
848146bffffffff,1.0,0.0,0.0,0.0,1.0,0.0
84814a9ffffffff,5.0,0.0,0.0,0.0,5.0,0.0
84814e3ffffffff,5.0,0.0,0.0,0.0,5.0,0.0
84814e7ffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8481711ffffffff,10.0,0.0,0.0,0.0,8.0,0.0
848b63bffffffff,1.0,0.0,0.0,1.0,0.0,0.0
848b693ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848f0dbffffffff,13.0,0.0,0.0,0.0,0.0,0.0
848f295ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84a8125ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84a812dffffffff,74.0,0.0,3.0,0.0,13.0,26.0
84a8155ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84a89b7ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
84a8a53ffffffff,13.0,0.0,0.0,0.0,4.0,6.0
