cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
8494219ffffffff,3.0,3.0,0.0,0.0
849421bffffffff,15.0,15.0,0.0,0.0
8494231ffffffff,13.0,13.0,0.0,0.0
8494235ffffffff,8.0,8.0,0.0,0.0
849423dffffffff,1.0,1.0,0.0,0.0
84942c1ffffffff,34.0,33.0,0.0,0.0
84942c5ffffffff,10.0,8.0,0.0,0.0
84942c7ffffffff,4.0,4.0,0.0,0.0
84942cdffffffff,6.0,6.0,0.0,0.0
84942d3ffffffff,11.0,11.0,0.0,0.0
84942d5ffffffff,15.0,15.0,0.0,0.0
84942e9ffffffff,2.0,2.0,0.0,0.0
8495533ffffffff,3.0,2.0,0.0,0.0
8495a49ffffffff,10.0,10.0,0.0,0.0
8495a59ffffffff,2.0,2.0,0.0,0.0
