cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
8444249ffffffff,160.0,0.0,0.0
844424dffffffff,4.0,0.0,0.0
8445019ffffffff,141.0,0.0,0.0
844501bffffffff,2.0,0.0,0.0
8445053ffffffff,23.0,0.0,0.0
8445057ffffffff,12.0,0.0,0.0
8445059ffffffff,83.0,0.0,0.0
844505bffffffff,767.0,0.0,0.0
8445091ffffffff,6.0,0.0,0.0
8445093ffffffff,47.0,0.0,0.0
8445095ffffffff,2.0,0.0,0.0
8445097ffffffff,43.0,0.0,0.0
844509bffffffff,467.0,0.0,0.0
84450a1ffffffff,2.0,0.0,0.0
84450a3ffffffff,8.0,0.0,0.0
84450a5ffffffff,3.0,0.0,0.0
84450a7ffffffff,2.0,0.0,0.0
84450a9ffffffff,4.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
84450b1ffffffff,92.0,0.0,0.0
84450b5ffffffff,201.0,0.0,0.0
84450b9ffffffff,3.0,0.0,0.0
84450c1ffffffff,6.0,0.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,1.0,0.0,0.0
84450d3ffffffff,3.0,0.0,0.0
84450d5ffffffff,48.0,0.0,0.0
84450e1ffffffff,29.0,0.0,0.0
84450e3ffffffff,58.0,0.0,0.0
84450e7ffffffff,3.0,0.0,0.0
84450ebffffffff,5.0,0.0,0.0
844519bffffffff,41.0,0.0,0.0
8445203ffffffff,29.0,0.0,0.0
8445205ffffffff,293.0,0.0,0.0
8445207ffffffff,86.0,0.0,0.0
8445209ffffffff,11.0,0.0,0.0
844520dffffffff,199.0,0.0,0.0
8445211ffffffff,30.0,0.0,0.0
8445213ffffffff,92.0,2.0,0.0
8445215ffffffff,2695.0,0.0,0.0
8445217ffffffff,735.0,0.0,0.0
8445219ffffffff,16.0,0.0,0.0
844521bffffffff,15.0,0.0,0.0
844521dffffffff,91.0,0.0,0.0
8445221ffffffff,116.0,0.0,0.0
8445225ffffffff,169.0,0.0,0.0
844522bffffffff,235.0,0.0,0.0
844522dffffffff,5.0,0.0,0.0
8445231ffffffff,6.0,0.0,0.0
8445233ffffffff,1081.0,0.0,0.0
844523bffffffff,185.0,0.0,0.0
8445241ffffffff,4.0,0.0,0.0
8445243ffffffff,10.0,0.0,0.0
8445247ffffffff,27.0,0.0,0.0
8445249ffffffff,13.0,0.0,0.0
844524bffffffff,5.0,0.0,0.0
844524dffffffff,6.0,0.0,0.0
8445251ffffffff,5.0,0.0,0.0
8445253ffffffff,20.0,0.0,0.0
8445255ffffffff,10.0,0.0,0.0
8445257ffffffff,102.0,0.0,0.0
844525dffffffff,3.0,0.0,0.0
8445263ffffffff,365.0,0.0,0.0
8445265ffffffff,2.0,0.0,0.0
844526bffffffff,705.0,0.0,0.0
8445285ffffffff,2.0,0.0,0.0
8445289ffffffff,3.0,0.0,0.0
844529bffffffff,7.0,0.0,0.0
84452a1ffffffff,22.0,0.0,0.0
84452a3ffffffff,46.0,0.0,0.0
84452a5ffffffff,440.0,0.0,0.0
84452a7ffffffff,25.0,0.0,0.0
84452a9ffffffff,259.0,0.0,0.0
84452abffffffff,2.0,0.0,0.0
84452adffffffff,2492.0,0.0,0.0
84452b9ffffffff,2.0,0.0,0.0
84452bdffffffff,2.0,0.0,0.0
84452c1ffffffff,93.0,16.0,0.0
84452c3ffffffff,245.0,13.0,0.0
