cell_id,Gallirex johnstoni,Gallirex johnstoni johnstoni,Gallirex johnstoni bredoi,Gallirex johnstoni kivuensis
846ada9ffffffff,8.0,0.0,0.0,0.0
846adc1ffffffff,7.0,0.0,0.0,7.0
