cell_id,Chloropsis hardwickii,Chloropsis hardwickii hardwickii/malayana,Chloropsis hardwickii lazulina/melliana
84309a5ffffffff,12.0,0.0,6.0
843c029ffffffff,2.0,0.0,0.0
843c0a5ffffffff,8.0,1.0,0.0
843c0adffffffff,4.0,4.0,0.0
843c36bffffffff,3.0,0.0,0.0
843c527ffffffff,3.0,1.0,0.0
843c5bdffffffff,2.0,2.0,0.0
843cc03ffffffff,2.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843cdcdffffffff,16.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843ce4dffffffff,35.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843ce5dffffffff,1.0,0.0,0.0
843cea5ffffffff,1.0,1.0,0.0
843d131ffffffff,1.0,0.0,0.0
843dad9ffffffff,1.0,0.0,0.0
84404c5ffffffff,9.0,9.0,0.0
84404ddffffffff,2.0,2.0,0.0
84411c9ffffffff,2.0,0.0,0.0
84411cbffffffff,3.0,0.0,0.0
84415a1ffffffff,1.0,0.0,1.0
8441719ffffffff,18.0,0.0,18.0
844184bffffffff,1.0,0.0,1.0
844ba01ffffffff,1.0,0.0,0.0
844ba2bffffffff,2.0,0.0,0.0
8464821ffffffff,2.0,0.0,0.0
