cell_id,Northiella haematogaster,Northiella haematogaster haematogaster/pallescens,Northiella haematogaster haematorrhoa
849d601ffffffff,1.0,0.0,0.0
849d655ffffffff,2.0,0.0,0.0
849d657ffffffff,6.0,0.0,0.0
849d6dbffffffff,5.0,0.0,0.0
84b8365ffffffff,1.0,1.0,0.0
84b9125ffffffff,2.0,0.0,0.0
84b9127ffffffff,36.0,8.0,0.0
84b9129ffffffff,2.0,0.0,0.0
84b912dffffffff,2.0,0.0,0.0
84b9161ffffffff,11.0,0.0,0.0
84b9167ffffffff,8.0,0.0,0.0
84b9169ffffffff,1.0,0.0,0.0
84b9803ffffffff,10.0,1.0,0.0
84b9807ffffffff,12.0,2.0,0.0
84b9823ffffffff,2.0,0.0,0.0
84b982bffffffff,4.0,0.0,0.0
84b9861ffffffff,6.0,0.0,0.0
84b9865ffffffff,21.0,15.0,0.0
84b986bffffffff,2.0,0.0,0.0
84b9949ffffffff,2.0,0.0,0.0
84b9951ffffffff,1.0,0.0,0.0
84b9957ffffffff,1.0,0.0,0.0
84b995bffffffff,6.0,1.0,0.0
84b99c5ffffffff,3.0,0.0,0.0
84b99c9ffffffff,24.0,2.0,0.0
84b99cbffffffff,7.0,0.0,0.0
84b9a11ffffffff,3.0,0.0,0.0
84b9a13ffffffff,13.0,6.0,0.0
84b9a1bffffffff,1.0,0.0,0.0
84b9a49ffffffff,3.0,0.0,0.0
84b9a4bffffffff,5.0,0.0,0.0
84b9a59ffffffff,6.0,0.0,0.0
84b9a63ffffffff,4.0,2.0,0.0
84b9a65ffffffff,6.0,0.0,0.0
84b9a6dffffffff,4.0,0.0,0.0
84b9a85ffffffff,4.0,0.0,0.0
84b9aa1ffffffff,1.0,0.0,0.0
84b9aa5ffffffff,2.0,0.0,0.0
84b9aa7ffffffff,1.0,0.0,0.0
84b9ab1ffffffff,10.0,8.0,0.0
84b9ab9ffffffff,3.0,3.0,0.0
84b9abbffffffff,2.0,2.0,0.0
84b9ac3ffffffff,6.0,0.0,0.0
84b9ac5ffffffff,1.0,1.0,0.0
84b9ac9ffffffff,1.0,0.0,0.0
84b9ad5ffffffff,14.0,2.0,0.0
84b9b01ffffffff,2.0,0.0,0.0
84b9b05ffffffff,1.0,0.0,0.0
84b9b09ffffffff,4.0,0.0,0.0
84b9b21ffffffff,18.0,6.0,0.0
84b9b23ffffffff,5.0,0.0,0.0
