cell_id,Barnardius zonarius,Barnardius zonarius semitorquatus,Barnardius zonarius zonarius,Barnardius zonarius barnardi,Barnardius zonarius macgillivrayi,Barnardius zonarius semitorquatus x zonarius,Barnardius zonarius zonarius x barnardi
82a727fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
82b867fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
82b887fffffffff,15.0,0.0,15.0,0.0,0.0,0.0,0.0
82b8a7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
82b917fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
82b9a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82b9b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82be47fffffffff,32.0,0.0,0.0,16.0,0.0,0.0,0.0
82be4ffffffffff,5.0,0.0,0.0,4.0,0.0,0.0,0.0
82be57fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82be67fffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0
82bec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82becffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
82c997fffffffff,14.0,6.0,0.0,0.0,0.0,4.0,0.0
82c99ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82c9b7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
