cell_id,Penelope jacquacu,Penelope jacquacu granti,Penelope jacquacu [jacquacu Group]
825f0ffffffffff,12.0,0.0,0.0
825f2ffffffffff,698.0,0.0,0.0
825f47fffffffff,15.0,2.0,0.0
825f57fffffffff,4.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,9.0,0.0,0.0
825f77fffffffff,34.0,0.0,0.0
82660ffffffffff,12.0,0.0,0.0
826647fffffffff,43.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0
826657fffffffff,91.0,0.0,0.0
82665ffffffffff,119.0,0.0,0.0
826667fffffffff,4.0,0.0,0.0
82666ffffffffff,19.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266c7fffffffff,295.0,0.0,0.0
8266cffffffffff,66.0,0.0,0.0
8266d7fffffffff,127.0,0.0,0.0
8266dffffffffff,1123.0,0.0,48.0
8266e7fffffffff,398.0,0.0,0.0
8266effffffffff,489.0,0.0,0.0
82814ffffffffff,8.0,0.0,0.0
828a07fffffffff,80.0,0.0,5.0
828a17fffffffff,40.0,0.0,0.0
828a1ffffffffff,16.0,0.0,0.0
828a27fffffffff,13.0,0.0,2.0
828a37fffffffff,12.0,0.0,1.0
828a47fffffffff,62.0,0.0,0.0
828a4ffffffffff,4.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0
828a6ffffffffff,80.0,0.0,0.0
828aaffffffffff,11.0,0.0,0.0
828af7fffffffff,30.0,0.0,6.0
828b07fffffffff,11.0,0.0,0.0
828b0ffffffffff,30.0,0.0,0.0
828b17fffffffff,7.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,62.0,0.0,0.0
828b2ffffffffff,38.0,0.0,0.0
828b47fffffffff,1053.0,0.0,76.0
828b4ffffffffff,13.0,0.0,0.0
828b57fffffffff,19.0,0.0,0.0
828b5ffffffffff,22.0,0.0,0.0
828b67fffffffff,935.0,0.0,56.0
828b6ffffffffff,158.0,0.0,6.0
828b77fffffffff,155.0,0.0,4.0
828b87fffffffff,22.0,0.0,0.0
828b8ffffffffff,32.0,0.0,0.0
828b9ffffffffff,382.0,0.0,16.0
828ba7fffffffff,7.0,0.0,2.0
828baffffffffff,1.0,0.0,0.0
828e67fffffffff,17.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f47fffffffff,45.0,0.0,0.0
828f4ffffffffff,51.0,0.0,0.0
828f5ffffffffff,17.0,0.0,0.0
828f67fffffffff,34.0,0.0,0.0
828f6ffffffffff,12.0,0.0,3.0
828f77fffffffff,16.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0
