cell_id,Pionites leucogaster,Pionites leucogaster xanthomerius,Pionites leucogaster xanthurus,Pionites leucogaster leucogaster
838044fffffffff,4.0,0.0,0.0,0.0
838046fffffffff,183.0,0.0,0.0,12.0
838061fffffffff,2.0,0.0,0.0,0.0
838062fffffffff,2.0,0.0,0.0,0.0
838065fffffffff,16.0,0.0,0.0,0.0
838066fffffffff,5.0,0.0,0.0,0.0
838071fffffffff,13.0,0.0,0.0,1.0
838072fffffffff,1.0,0.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0,0.0
838075fffffffff,13.0,0.0,0.0,1.0
83814dfffffffff,2.0,0.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0,0.0
83815afffffffff,1.0,0.0,0.0,0.0
838a00fffffffff,4.0,0.0,0.0,0.0
838a01fffffffff,3.0,0.0,0.0,0.0
838a05fffffffff,41.0,0.0,0.0,3.0
838a10fffffffff,16.0,0.0,0.0,0.0
838a14fffffffff,3.0,0.0,0.0,0.0
838a15fffffffff,9.0,0.0,0.0,0.0
838a21fffffffff,7.0,0.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0,0.0
838a31fffffffff,4.0,0.0,0.0,0.0
838a33fffffffff,4.0,2.0,0.0,2.0
838a45fffffffff,16.0,0.0,0.0,0.0
838a55fffffffff,1.0,0.0,0.0,0.0
838a63fffffffff,42.0,2.0,0.0,0.0
838a6dfffffffff,49.0,0.0,0.0,0.0
838a70fffffffff,1.0,0.0,0.0,0.0
838a73fffffffff,4.0,0.0,0.0,0.0
838a81fffffffff,1.0,0.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0,0.0
838a92fffffffff,3.0,0.0,0.0,0.0
838ab2fffffffff,1.0,0.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,73.0,6.0,2.0,0.0
838b42fffffffff,7.0,0.0,0.0,0.0
838b44fffffffff,279.0,7.0,0.0,0.0
838b45fffffffff,8.0,0.0,0.0,0.0
838b46fffffffff,49.0,0.0,0.0,0.0
838b4afffffffff,1.0,0.0,0.0,0.0
838b4efffffffff,10.0,0.0,1.0,0.0
838b51fffffffff,11.0,0.0,0.0,0.0
838b52fffffffff,4.0,0.0,0.0,0.0
838b53fffffffff,3.0,0.0,0.0,0.0
838b55fffffffff,1.0,0.0,0.0,0.0
838b56fffffffff,9.0,0.0,0.0,0.0
838b5cfffffffff,25.0,0.0,0.0,0.0
838b5dfffffffff,6.0,0.0,0.0,0.0
838b61fffffffff,4.0,0.0,0.0,0.0
838b62fffffffff,83.0,2.0,0.0,0.0
838b63fffffffff,242.0,5.0,0.0,0.0
838b69fffffffff,22.0,0.0,0.0,0.0
838b6efffffffff,59.0,0.0,0.0,0.0
838b70fffffffff,6.0,0.0,0.0,0.0
838b71fffffffff,388.0,0.0,0.0,0.0
838b74fffffffff,41.0,0.0,0.0,0.0
838b75fffffffff,9.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0
838b82fffffffff,4.0,0.0,0.0,0.0
838b84fffffffff,1.0,0.0,0.0,0.0
838b96fffffffff,10.0,0.0,0.0,10.0
838b99fffffffff,121.0,0.0,0.0,0.0
838b9dfffffffff,422.0,0.0,0.0,11.0
838f48fffffffff,21.0,0.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0,0.0
838f61fffffffff,5.0,0.0,0.0,0.0
838f6bfffffffff,3.0,0.0,3.0,0.0
838f6efffffffff,2.0,0.0,0.0,0.0
83a8c9fffffffff,5.0,0.0,0.0,5.0
