cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
82728ffffffffff,2.0,0.0,0.0
8272affffffffff,1.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0
8272d7fffffffff,2.0,0.0,0.0
8272f7fffffffff,2.0,0.0,2.0
827687fffffffff,4.0,0.0,0.0
82769ffffffffff,1.0,0.0,0.0
8276a7fffffffff,1.0,0.0,0.0
827797fffffffff,7.0,0.0,0.0
82779ffffffffff,3.0,0.0,0.0
829567fffffffff,4.0,0.0,0.0
82956ffffffffff,10.0,0.0,0.0
829c27fffffffff,1.0,0.0,0.0
829c97fffffffff,15.0,0.0,0.0
829ca7fffffffff,1.0,0.0,0.0
829caffffffffff,1.0,0.0,0.0
829cd7fffffffff,17.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0
829edffffffffff,16.0,0.0,0.0
