cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
832680fffffffff,125.0,8.0,0.0
832681fffffffff,5136.0,663.0,0.0
832682fffffffff,106.0,5.0,0.0
832683fffffffff,713.0,114.0,0.0
832685fffffffff,322.0,22.0,0.0
832686fffffffff,12.0,0.0,0.0
832688fffffffff,2537.0,168.0,0.0
832689fffffffff,382.0,24.0,0.0
83268afffffffff,250.0,23.0,0.0
83268bfffffffff,913.0,22.0,0.0
83268cfffffffff,10295.0,550.0,0.0
83268dfffffffff,7.0,0.0,0.0
83268efffffffff,570.0,86.0,0.0
832690fffffffff,1058.0,0.0,0.0
832691fffffffff,92.0,0.0,0.0
832692fffffffff,345.0,0.0,0.0
832693fffffffff,54.0,0.0,0.0
832694fffffffff,140.0,2.0,0.0
832695fffffffff,205.0,4.0,0.0
832696fffffffff,5599.0,49.0,0.0
832698fffffffff,2827.0,60.0,0.0
832699fffffffff,1780.0,56.0,0.0
83269afffffffff,224.0,15.0,0.0
83269bfffffffff,374.0,22.0,0.0
83269cfffffffff,3420.0,413.0,0.0
83269dfffffffff,1223.0,176.0,0.0
83269efffffffff,1136.0,18.0,0.0
8326aafffffffff,912.0,41.0,0.0
8326b3fffffffff,14.0,0.0,0.0
8326b6fffffffff,5.0,0.0,0.0
8326c2fffffffff,2.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0
8326d1fffffffff,38.0,2.0,0.0
8326d2fffffffff,68.0,6.0,0.0
8326d3fffffffff,3.0,0.0,0.0
8326d4fffffffff,261.0,0.0,0.0
8326d5fffffffff,2.0,0.0,0.0
8326d6fffffffff,146.0,7.0,0.0
8326d8fffffffff,13.0,0.0,0.0
8326d9fffffffff,134.0,5.0,0.0
8326dafffffffff,47.0,6.0,0.0
8326dbfffffffff,168.0,0.0,0.0
8326dcfffffffff,1.0,0.0,0.0
8326defffffffff,11.0,0.0,0.0
8328a4fffffffff,8.0,0.0,0.0
8328a5fffffffff,2.0,2.0,0.0
8328a6fffffffff,13.0,0.0,0.0
8328b0fffffffff,310.0,28.0,0.0
8328b1fffffffff,14.0,0.0,0.0
8328b2fffffffff,167.0,8.0,0.0
8328b4fffffffff,1.0,0.0,0.0
8328b5fffffffff,14.0,0.0,0.0
8328b6fffffffff,140.0,0.0,0.0
832980fffffffff,156.0,0.0,0.0
832981fffffffff,33.0,0.0,0.0
832982fffffffff,31.0,2.0,0.0
832983fffffffff,7.0,0.0,0.0
832984fffffffff,184.0,0.0,0.0
832986fffffffff,1345.0,0.0,0.0
832988fffffffff,53.0,0.0,0.0
832989fffffffff,67.0,2.0,0.0
83298afffffffff,97.0,0.0,0.0
83298bfffffffff,36.0,3.0,0.0
83298cfffffffff,445.0,44.0,0.0
83298dfffffffff,246.0,43.0,0.0
83298efffffffff,41.0,2.0,0.0
832990fffffffff,1367.0,85.0,0.0
832991fffffffff,319.0,10.0,0.0
832992fffffffff,692.0,0.0,0.0
832993fffffffff,99.0,0.0,0.0
832994fffffffff,1726.0,0.0,0.0
832995fffffffff,1203.0,88.0,0.0
832996fffffffff,82.0,13.0,0.0
832998fffffffff,36.0,0.0,0.0
832999fffffffff,65.0,0.0,0.0
83299afffffffff,24.0,0.0,0.0
83299bfffffffff,72.0,0.0,0.0
83299cfffffffff,8.0,0.0,0.0
83299dfffffffff,7.0,0.0,0.0
83299efffffffff,166.0,0.0,0.0
8329a2fffffffff,18.0,0.0,0.0
8329b0fffffffff,339.0,35.0,0.0
8329b1fffffffff,333.0,0.0,0.0
8329b2fffffffff,2651.0,141.0,0.0
8329b3fffffffff,83.0,0.0,0.0
8329b6fffffffff,2122.0,266.0,0.0
834810fffffffff,12.0,0.0,0.0
834813fffffffff,1.0,0.0,0.0
834814fffffffff,69.0,0.0,0.0
834816fffffffff,13.0,0.0,0.0
834818fffffffff,3.0,0.0,0.0
834819fffffffff,4.0,0.0,0.0
83481bfffffffff,14.0,0.0,0.0
83481efffffffff,2.0,0.0,0.0
834883fffffffff,202.0,5.0,0.0
834888fffffffff,87.0,0.0,0.0
834889fffffffff,10.0,0.0,0.0
83488afffffffff,145.0,2.0,0.0
83488dfffffffff,16.0,0.0,0.0
83488efffffffff,444.0,3.0,0.0
834898fffffffff,3377.0,19.0,0.0
834899fffffffff,60.0,0.0,0.0
83489afffffffff,117.0,3.0,0.0
83489bfffffffff,11.0,0.0,0.0
83489cfffffffff,3263.0,36.0,0.0
83489dfffffffff,3269.0,101.0,0.0
83489efffffffff,158.0,2.0,0.0
8348a0fffffffff,149.0,0.0,0.0
8348a2fffffffff,137.0,0.0,0.0
8348a6fffffffff,37.0,0.0,0.0
8348aefffffffff,1.0,0.0,0.0
8348c0fffffffff,852.0,35.0,0.0
8348c1fffffffff,852.0,34.0,0.0
8348c2fffffffff,179.0,4.0,0.0
8348c3fffffffff,1489.0,95.0,0.0
8348c4fffffffff,11.0,0.0,0.0
8348c5fffffffff,3722.0,982.0,0.0
8348c6fffffffff,899.0,74.0,0.0
8348c8fffffffff,30.0,12.0,0.0
8348c9fffffffff,612.0,27.0,0.0
8348cafffffffff,187.0,13.0,0.0
8348cbfffffffff,66.0,22.0,0.0
8348ccfffffffff,626.0,168.0,0.0
8348cdfffffffff,1783.0,276.0,0.0
8348cefffffffff,244.0,61.0,0.0
8348d0fffffffff,11.0,0.0,0.0
8348d1fffffffff,262.0,12.0,0.0
8348d2fffffffff,2.0,0.0,0.0
8348d3fffffffff,55.0,10.0,0.0
8348d4fffffffff,982.0,59.0,0.0
8348d5fffffffff,81.0,8.0,0.0
8348d8fffffffff,18686.0,4238.0,0.0
8348d9fffffffff,42.0,2.0,0.0
8348dafffffffff,617.0,51.0,0.0
8348dbfffffffff,836.0,52.0,0.0
8348dcfffffffff,615.0,54.0,0.0
8348ddfffffffff,291.0,77.0,0.0
8348defffffffff,245.0,6.0,0.0
8348e0fffffffff,2.0,0.0,0.0
8348e2fffffffff,8.0,0.0,0.0
8348e3fffffffff,410.0,93.0,0.0
8348e5fffffffff,1.0,0.0,0.0
8348e6fffffffff,47.0,1.0,0.0
8348e8fffffffff,1060.0,278.0,0.0
8348eafffffffff,557.0,69.0,0.0
8348ebfffffffff,2538.0,707.0,0.0
8348eefffffffff,2600.0,529.0,0.0
8348f0fffffffff,1.0,0.0,0.0
8348f2fffffffff,6327.0,464.0,0.0
8348f3fffffffff,11.0,0.0,0.0
8348f5fffffffff,1.0,0.0,0.0
8348f6fffffffff,21.0,1.0,0.0
834980fffffffff,2.0,0.0,0.0
834982fffffffff,7.0,0.0,0.0
834983fffffffff,52.0,4.0,0.0
834986fffffffff,14.0,0.0,1.0
834988fffffffff,7.0,0.0,0.0
834989fffffffff,1.0,0.0,0.0
83498cfffffffff,4.0,0.0,0.0
83498efffffffff,31.0,0.0,0.0
834990fffffffff,277.0,0.0,103.0
834991fffffffff,4.0,0.0,0.0
834994fffffffff,232.0,2.0,8.0
834995fffffffff,784.0,0.0,33.0
834996fffffffff,22.0,0.0,1.0
83499bfffffffff,2.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0
83499dfffffffff,9.0,0.0,0.0
8349a2fffffffff,4.0,0.0,0.0
8349b0fffffffff,18.0,0.0,9.0
8349b1fffffffff,5.0,0.0,1.0
