cell_id,Turdus papuensis,Turdus papuensis versteegi,Turdus papuensis erebus,Turdus papuensis papuensis,Turdus papuensis keysseri,Turdus papuensis canescens
8472883ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8472895ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84728b9ffffffff,72.0,15.0,0.0,0.0,0.0,0.0
84728e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84728e7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8472d35ffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8472d3dffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8472da1ffffffff,297.0,0.0,0.0,102.0,0.0,0.0
8472da3ffffffff,11.0,0.0,0.0,5.0,0.0,0.0
8472db7ffffffff,110.0,0.0,0.0,0.0,0.0,0.0
849c851ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849cd25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849cd2dffffffff,92.0,0.0,0.0,32.0,0.0,0.0
