cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
833c80fffffffff,7.0,0.0,0.0
833c83fffffffff,8.0,0.0,0.0
833c8cfffffffff,18.0,0.0,0.0
833c8efffffffff,92.0,0.0,0.0
833c90fffffffff,3.0,0.0,0.0
833c91fffffffff,10.0,0.0,0.0
833c92fffffffff,33.0,0.0,0.0
833c93fffffffff,5.0,0.0,0.0
833c94fffffffff,1.0,0.0,0.0
833c96fffffffff,4.0,0.0,0.0
833ca1fffffffff,1.0,0.0,0.0
833ca2fffffffff,6.0,0.0,0.0
833ca3fffffffff,2.0,0.0,0.0
833ca4fffffffff,5.0,0.0,0.0
833ca5fffffffff,2.0,0.0,0.0
833ca8fffffffff,5.0,0.0,0.0
833ca9fffffffff,27.0,0.0,0.0
833cabfffffffff,1.0,0.0,0.0
833cb1fffffffff,2.0,0.0,0.0
833cb4fffffffff,57.0,0.0,0.0
833cb5fffffffff,127.0,0.0,0.0
833cb6fffffffff,36.0,0.0,0.0
833cf6fffffffff,6.0,0.0,0.0
833d10fffffffff,23.0,0.0,0.0
833d13fffffffff,54.0,0.0,0.0
833d83fffffffff,2.0,0.0,0.0
833d84fffffffff,2.0,0.0,0.0
833d86fffffffff,6.0,0.0,0.0
833d8afffffffff,2.0,0.0,0.0
833d8dfffffffff,75.0,0.0,0.0
833d91fffffffff,40.0,0.0,0.0
833d92fffffffff,108.0,0.0,0.0
833d93fffffffff,8.0,0.0,0.0
833d96fffffffff,15.0,0.0,0.0
833d98fffffffff,38.0,0.0,0.0
833d99fffffffff,48.0,0.0,0.0
833d9afffffffff,14.0,0.0,0.0
833d9bfffffffff,205.0,0.0,0.0
833d9dfffffffff,48.0,0.0,0.0
833d9efffffffff,132.0,0.0,0.0
833da9fffffffff,6.0,0.0,0.0
833dacfffffffff,6.0,0.0,0.0
833dadfffffffff,21.0,0.0,0.0
833db2fffffffff,45.0,0.0,0.0
833db3fffffffff,26.0,0.0,0.0
833db6fffffffff,76.0,0.0,0.0
8342c1fffffffff,2.0,0.0,0.0
8342c2fffffffff,159.0,0.0,0.0
8342c8fffffffff,18.0,0.0,0.0
8342cafffffffff,61.0,0.0,0.0
8342cbfffffffff,1.0,0.0,0.0
8342ccfffffffff,329.0,0.0,0.0
8342cdfffffffff,41.0,0.0,0.0
8342cefffffffff,87.0,0.0,0.0
8342d1fffffffff,1.0,0.0,0.0
8342d9fffffffff,89.0,0.0,0.0
8342dbfffffffff,102.0,0.0,0.0
8342dcfffffffff,46.0,0.0,0.0
8342ebfffffffff,49.0,0.0,0.0
836006fffffffff,79.0,0.0,0.0
836010fffffffff,29.0,0.0,0.0
836011fffffffff,27.0,0.0,0.0
836012fffffffff,13.0,0.0,0.0
836013fffffffff,5.0,0.0,0.0
836014fffffffff,2218.0,0.0,0.0
836015fffffffff,636.0,0.0,0.0
836016fffffffff,1484.0,0.0,0.0
83601efffffffff,2.0,0.0,0.0
836022fffffffff,16.0,0.0,0.0
836026fffffffff,28.0,0.0,0.0
836030fffffffff,91.0,0.0,0.0
836031fffffffff,577.0,0.0,0.0
836032fffffffff,377.0,0.0,0.0
836033fffffffff,584.0,0.0,0.0
836034fffffffff,9.0,0.0,0.0
836035fffffffff,139.0,0.0,0.0
836036fffffffff,25.0,0.0,0.0
