cell_id,Poicephalus fuscicollis,Poicephalus fuscicollis fuscicollis,Poicephalus fuscicollis suahelicus
84541a3ffffffff,10.0,0.0,0.0
84541b5ffffffff,1.0,0.0,0.0
84541b9ffffffff,1.0,0.0,0.0
84541bdffffffff,1.0,1.0,0.0
8454a93ffffffff,4.0,2.0,0.0
8454a9bffffffff,5.0,0.0,0.0
8454f49ffffffff,4.0,2.0,0.0
8454f4dffffffff,62.0,16.0,0.0
8458969ffffffff,15.0,5.0,0.0
84589c9ffffffff,1.0,0.0,0.0
846ac11ffffffff,1.0,0.0,0.0
846ac15ffffffff,2.0,0.0,0.0
846ace5ffffffff,12.0,0.0,1.0
846adc1ffffffff,1.0,0.0,0.0
846aea1ffffffff,1.0,0.0,0.0
846aea3ffffffff,2.0,0.0,0.0
8475083ffffffff,1.0,0.0,0.0
84750d1ffffffff,12.0,5.0,0.0
8475191ffffffff,1.0,0.0,0.0
8475201ffffffff,2.0,0.0,0.0
8475287ffffffff,1.0,0.0,0.0
8475295ffffffff,3.0,0.0,0.0
84752a5ffffffff,4.0,0.0,0.0
84752abffffffff,23.0,9.0,0.0
84752adffffffff,8.0,5.0,0.0
84752b5ffffffff,17.0,6.0,0.0
84752d3ffffffff,1.0,0.0,0.0
847b6bbffffffff,7.0,0.0,5.0
8483ac3ffffffff,1.0,0.0,0.0
84960a3ffffffff,1.0,0.0,1.0
84960b5ffffffff,1.0,0.0,1.0
8496147ffffffff,1.0,0.0,0.0
8496149ffffffff,1.0,0.0,0.0
849615dffffffff,2.0,0.0,0.0
8496201ffffffff,4.0,0.0,2.0
8496203ffffffff,6.0,0.0,6.0
8496207ffffffff,6.0,0.0,0.0
849620bffffffff,2.0,0.0,0.0
8496215ffffffff,3.0,0.0,0.0
849622bffffffff,1.0,0.0,0.0
8496233ffffffff,5.0,0.0,1.0
8496239ffffffff,6.0,0.0,5.0
849623bffffffff,36.0,0.0,20.0
8496257ffffffff,1.0,0.0,0.0
8496263ffffffff,7.0,0.0,2.0
8496283ffffffff,10.0,0.0,2.0
8496287ffffffff,4.0,0.0,2.0
849628bffffffff,4.0,0.0,3.0
849629dffffffff,3.0,0.0,2.0
84962abffffffff,5.0,0.0,1.0
84962b9ffffffff,3.0,0.0,0.0
84962c9ffffffff,12.0,0.0,7.0
84962d7ffffffff,4.0,0.0,4.0
84962edffffffff,1.0,0.0,0.0
8496311ffffffff,4.0,0.0,2.0
8496335ffffffff,3.0,0.0,0.0
8496569ffffffff,1.0,0.0,1.0
849666bffffffff,1.0,0.0,0.0
8496701ffffffff,1.0,0.0,0.0
8496703ffffffff,1.0,0.0,1.0
8496707ffffffff,1.0,0.0,1.0
849685bffffffff,1.0,0.0,1.0
8496b03ffffffff,2.0,0.0,0.0
8496b19ffffffff,1.0,0.0,0.0
8496b1bffffffff,11.0,0.0,0.0
8496b43ffffffff,1.0,0.0,0.0
8496b63ffffffff,14.0,0.0,0.0
8496b6dffffffff,7.0,0.0,5.0
8497051ffffffff,3.0,0.0,0.0
8497053ffffffff,2.0,0.0,0.0
8497057ffffffff,1.0,0.0,0.0
84970a7ffffffff,1.0,0.0,0.0
8497103ffffffff,9.0,0.0,3.0
8497107ffffffff,7.0,0.0,7.0
8497119ffffffff,10.0,0.0,9.0
849711dffffffff,13.0,0.0,13.0
8497139ffffffff,4.0,0.0,4.0
849728dffffffff,28.0,0.0,12.0
84972d5ffffffff,1.0,0.0,0.0
84972d9ffffffff,2.0,0.0,0.0
84972e3ffffffff,45.0,0.0,22.0
84972ebffffffff,3.0,0.0,3.0
84974abffffffff,7.0,0.0,1.0
84974b9ffffffff,10.0,0.0,8.0
84974edffffffff,1.0,0.0,0.0
849750bffffffff,1.0,0.0,0.0
8497513ffffffff,1.0,0.0,1.0
8497515ffffffff,20.0,0.0,4.0
8497517ffffffff,6.0,0.0,3.0
8497529ffffffff,1.0,0.0,0.0
8497535ffffffff,9.0,0.0,9.0
849753bffffffff,1.0,0.0,0.0
8497557ffffffff,2.0,0.0,2.0
8497581ffffffff,1.0,0.0,0.0
8497583ffffffff,4.0,0.0,0.0
84975c5ffffffff,2.0,0.0,0.0
84975c9ffffffff,2.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0
8497aabffffffff,33.0,0.0,21.0
84bcd27ffffffff,1.0,0.0,0.0
