cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
820c5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,19.0,8.0,0.0,0.0,0.0,0.0
820e4ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
820ec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,25.0,25.0,0.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,16.0,1.0,0.0,2.0,0.0,0.0
8212dffffffffff,17.0,0.0,0.0,6.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,49.0,49.0,0.0,0.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
82261ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0
822627fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
82262ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,78.0,49.0,0.0,0.0,0.0,0.0
822657fffffffff,17.0,1.0,0.0,0.0,0.0,0.0
82265ffffffffff,7.0,4.0,0.0,0.0,0.0,0.0
822667fffffffff,105.0,13.0,0.0,0.0,0.0,0.0
82266ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,170.0,4.0,0.0,4.0,0.0,0.0
82268ffffffffff,151.0,76.0,0.0,45.0,0.0,0.0
822697fffffffff,159.0,0.0,0.0,51.0,0.0,0.0
82269ffffffffff,27.0,0.0,0.0,10.0,0.0,0.0
8226a7fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
8226affffffffff,63.0,7.0,0.0,39.0,0.0,0.0
8226b7fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
8226c7fffffffff,14.0,2.0,0.0,0.0,0.0,0.0
8226cffffffffff,153.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,84.0,10.0,0.0,12.0,0.0,0.0
8226dffffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,115.0,58.0,0.0,7.0,0.0,0.0
82270ffffffffff,21.0,4.0,0.0,0.0,0.0,0.0
822717fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
