cell_id,Pipreola frontalis,Pipreola frontalis squamipectus,Pipreola frontalis frontalis
8466dadffffffff,13.0,0.0,0.0
8466de1ffffffff,103.0,5.0,0.0
8466de3ffffffff,1.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0
848b213ffffffff,3.0,0.0,0.0
848b22bffffffff,1.0,0.0,0.0
848b2c5ffffffff,4.0,0.0,0.0
848b2dbffffffff,5.0,0.0,0.0
848b617ffffffff,1.0,0.0,0.0
848b625ffffffff,1.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848b75bffffffff,8.0,0.0,0.0
848e643ffffffff,6.0,0.0,0.0
848e64bffffffff,3.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f439ffffffff,109.0,0.0,4.0
848f461ffffffff,1.0,0.0,0.0
848f463ffffffff,4.0,0.0,0.0
848f465ffffffff,2.0,0.0,0.0
848f487ffffffff,1.0,0.0,0.0
848f705ffffffff,76.0,6.0,0.0
848f727ffffffff,1.0,0.0,0.0
848f729ffffffff,9.0,2.0,0.0
848f72bffffffff,3.0,0.0,0.0
848f733ffffffff,10.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
848f763ffffffff,10.0,0.0,0.0
848f76bffffffff,20.0,0.0,0.0
84b3253ffffffff,12.0,0.0,0.0
