cell_id,Picumnus exilis,Picumnus exilis undulatus,Picumnus exilis buffonii,Picumnus exilis pernambucensis,Picumnus exilis exilis
845f011ffffffff,1.0,0.0,0.0,0.0,0.0
845f02bffffffff,1.0,0.0,0.0,0.0,0.0
845f035ffffffff,2.0,0.0,0.0,0.0,0.0
845f03dffffffff,35.0,0.0,0.0,0.0,0.0
845f095ffffffff,1.0,0.0,0.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0,0.0,0.0
845f12bffffffff,29.0,0.0,0.0,0.0,0.0
845f131ffffffff,2.0,0.0,0.0,0.0,0.0
845f13bffffffff,4.0,0.0,0.0,0.0,0.0
845f13dffffffff,8.0,0.0,0.0,0.0,0.0
845f143ffffffff,9.0,0.0,0.0,0.0,0.0
845f161ffffffff,4.0,0.0,0.0,0.0,0.0
845f1cbffffffff,23.0,0.0,0.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0,0.0,0.0
845f295ffffffff,18.0,0.0,0.0,0.0,0.0
845f299ffffffff,9.0,0.0,0.0,0.0,0.0
845f29dffffffff,31.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,4.0,0.0,0.0,0.0,0.0
845f2bbffffffff,39.0,0.0,0.0,0.0,0.0
845f2d1ffffffff,7.0,0.0,0.0,0.0,0.0
845f2d7ffffffff,4.0,0.0,0.0,0.0,0.0
845f407ffffffff,4.0,0.0,0.0,0.0,0.0
845f42bffffffff,29.0,0.0,0.0,0.0,0.0
845f445ffffffff,2.0,0.0,0.0,0.0,0.0
845f46bffffffff,1.0,0.0,0.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0,0.0,0.0
845f50bffffffff,23.0,0.0,0.0,0.0,0.0
845f637ffffffff,1.0,0.0,0.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0,0.0,0.0
845f683ffffffff,11.0,0.0,0.0,0.0,0.0
845f689ffffffff,4.0,0.0,0.0,0.0,0.0
845f68bffffffff,28.0,0.0,0.0,0.0,0.0
845f705ffffffff,1.0,0.0,0.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0,0.0,0.0
845f711ffffffff,44.0,0.0,0.0,0.0,0.0
