cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
840c455ffffffff,2.0,0.0,0.0,0.0
840c465ffffffff,2.0,2.0,0.0,0.0
840c551ffffffff,5.0,0.0,0.0,0.0
840c555ffffffff,1.0,0.0,0.0,0.0
840c55bffffffff,9.0,5.0,0.0,0.0
840c609ffffffff,2.0,0.0,0.0,0.0
840c733ffffffff,6.0,0.0,0.0,0.0
840cee9ffffffff,2.0,0.0,0.0,0.0
840d5adffffffff,1.0,0.0,0.0,0.0
840e4a5ffffffff,2.0,0.0,0.0,0.0
840e6a9ffffffff,1.0,0.0,0.0,0.0
840e805ffffffff,1.0,1.0,0.0,0.0
840ec91ffffffff,2.0,0.0,0.0,0.0
840ecb9ffffffff,4.0,0.0,0.0,0.0
840ecc1ffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,1.0,0.0,0.0,0.0
840eeabffffffff,3.0,0.0,0.0,0.0
840f4bdffffffff,2.0,0.0,0.0,0.0
840f5a7ffffffff,1.0,0.0,0.0,0.0
8412293ffffffff,2.0,0.0,0.0,0.0
84124e1ffffffff,5.0,0.0,0.0,0.0
84124e5ffffffff,6.0,0.0,0.0,0.0
8412527ffffffff,1.0,0.0,0.0,0.0
8412549ffffffff,2.0,2.0,0.0,0.0
84125d9ffffffff,1.0,1.0,0.0,0.0
84128e7ffffffff,2.0,0.0,0.0,0.0
8412a37ffffffff,2.0,0.0,0.0,0.0
8412ad7ffffffff,4.0,4.0,0.0,0.0
8412c03ffffffff,2.0,0.0,2.0,0.0
8412c09ffffffff,2.0,0.0,2.0,0.0
8412c0bffffffff,1.0,0.0,1.0,0.0
8412c11ffffffff,3.0,0.0,2.0,0.0
8412c17ffffffff,2.0,0.0,2.0,0.0
8412c1bffffffff,4.0,0.0,0.0,0.0
8412cb1ffffffff,1.0,0.0,0.0,0.0
8412ce1ffffffff,2.0,0.0,0.0,0.0
8412ce9ffffffff,2.0,0.0,2.0,0.0
8412d17ffffffff,1.0,0.0,1.0,0.0
8412d23ffffffff,2.0,0.0,0.0,0.0
8412d2dffffffff,4.0,0.0,0.0,0.0
