cell_id,Megascops cooperi,Megascops cooperi lambi,Megascops cooperi cooperi
844524dffffffff,5.0,0.0,0.0
844525bffffffff,42.0,0.0,0.0
846d053ffffffff,4.0,0.0,2.0
846d159ffffffff,15.0,12.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d297ffffffff,3.0,0.0,0.0
846d2a3ffffffff,12.0,0.0,0.0
846d2bbffffffff,5.0,0.0,0.0
846d339ffffffff,2.0,0.0,0.0
846d605ffffffff,2.0,0.0,2.0
846d613ffffffff,1.0,0.0,1.0
846d641ffffffff,50.0,0.0,0.0
846d645ffffffff,8.0,0.0,0.0
846d665ffffffff,1.0,0.0,0.0
846d66bffffffff,10.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0
846d691ffffffff,1.0,0.0,0.0
846d693ffffffff,4.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,2.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0
846d6bbffffffff,1.0,0.0,0.0
846d6d3ffffffff,3.0,0.0,0.0
846d749ffffffff,1.0,0.0,0.0
