cell_id,Tyrannus melancholicus,Tyrannus melancholicus occidentalis,Tyrannus melancholicus satrapa,Tyrannus melancholicus melancholicus/despotes
82281ffffffffff,31.0,0.0,0.0,0.0
822837fffffffff,41.0,0.0,0.0,0.0
8228f7fffffffff,120.0,0.0,0.0,0.0
824427fffffffff,86.0,0.0,0.0,0.0
8244affffffffff,226.0,0.0,0.0,0.0
824507fffffffff,3710.0,0.0,0.0,0.0
82450ffffffffff,12959.0,0.0,0.0,0.0
82451ffffffffff,525.0,0.0,0.0,0.0
824527fffffffff,15633.0,0.0,0.0,0.0
82452ffffffffff,20912.0,0.0,0.0,0.0
824537fffffffff,3026.0,0.0,0.0,0.0
82454ffffffffff,2.0,0.0,0.0,0.0
824557fffffffff,2.0,0.0,0.0,0.0
824577fffffffff,1692.0,0.0,0.0,0.0
824807fffffffff,663.0,0.0,0.0,0.0
82480ffffffffff,836.0,0.0,0.0,0.0
824817fffffffff,105.0,0.0,0.0,0.0
82481ffffffffff,3.0,0.0,0.0,0.0
824827fffffffff,154.0,0.0,0.0,0.0
82482ffffffffff,75.0,0.0,0.0,0.0
824837fffffffff,11082.0,0.0,0.0,0.0
824857fffffffff,163.0,0.0,0.0,0.0
82485ffffffffff,3.0,0.0,0.0,0.0
824887fffffffff,99.0,0.0,0.0,0.0
82488ffffffffff,3.0,0.0,0.0,0.0
824897fffffffff,247.0,0.0,0.0,0.0
8248a7fffffffff,1354.0,0.0,0.0,0.0
8248affffffffff,63.0,0.0,0.0,0.0
8248b7fffffffff,17310.0,0.0,0.0,0.0
8248e7fffffffff,160.0,0.0,0.0,0.0
8248effffffffff,5072.0,0.0,0.0,0.0
824987fffffffff,187.0,0.0,0.0,0.0
82498ffffffffff,95.0,0.0,0.0,0.0
824997fffffffff,7437.0,0.0,0.0,0.0
82499ffffffffff,326.0,0.0,0.0,0.0
8249a7fffffffff,301.0,0.0,0.0,0.0
8249affffffffff,5611.0,0.0,0.0,0.0
8249b7fffffffff,2331.0,0.0,0.0,0.0
825e67fffffffff,8.0,0.0,0.0,0.0
825f07fffffffff,174.0,0.0,0.0,0.0
825f0ffffffffff,1098.0,0.0,0.0,0.0
825f17fffffffff,309.0,0.0,0.0,0.0
825f1ffffffffff,375.0,0.0,0.0,0.0
825f27fffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,2114.0,0.0,0.0,0.0
825f47fffffffff,288.0,0.0,0.0,0.0
825f4ffffffffff,588.0,0.0,0.0,0.0
825f57fffffffff,59.0,0.0,0.0,0.0
825f5ffffffffff,5758.0,0.0,0.0,0.0
825f67fffffffff,7.0,0.0,0.0,0.0
825f6ffffffffff,78.0,0.0,0.0,0.0
825f77fffffffff,381.0,0.0,0.0,0.0
826607fffffffff,2161.0,0.0,0.0,0.0
82660ffffffffff,10051.0,0.0,0.0,0.0
826617fffffffff,9162.0,0.0,0.0,0.0
82661ffffffffff,24113.0,0.0,0.0,0.0
826627fffffffff,7904.0,0.0,0.0,0.0
82662ffffffffff,1498.0,0.0,0.0,0.0
826637fffffffff,1382.0,0.0,0.0,0.0
826647fffffffff,1609.0,0.0,0.0,0.0
82664ffffffffff,42.0,0.0,0.0,0.0
826657fffffffff,2864.0,0.0,0.0,0.0
82665ffffffffff,1505.0,0.0,0.0,0.0
826667fffffffff,392.0,0.0,0.0,0.0
82666ffffffffff,56.0,0.0,0.0,0.0
826677fffffffff,1104.0,0.0,0.0,0.0
826687fffffffff,22.0,0.0,0.0,0.0
8266a7fffffffff,28724.0,0.0,0.0,0.0
8266affffffffff,6.0,0.0,0.0,0.0
8266b7fffffffff,38136.0,0.0,0.0,0.0
8266c7fffffffff,9616.0,0.0,0.0,0.0
8266cffffffffff,318.0,0.0,0.0,0.0
8266d7fffffffff,15908.0,0.0,0.0,0.0
8266dffffffffff,12322.0,0.0,0.0,0.0
8266e7fffffffff,43138.0,0.0,0.0,0.0
8266effffffffff,2345.0,0.0,0.0,0.0
8266f7fffffffff,16293.0,0.0,0.0,0.0
826747fffffffff,1924.0,0.0,0.0,0.0
82674ffffffffff,9394.0,0.0,0.0,0.0
826757fffffffff,7424.0,0.0,0.0,0.0
82675ffffffffff,2416.0,0.0,0.0,0.0
82676ffffffffff,21.0,0.0,0.0,0.0
82678ffffffffff,7.0,0.0,0.0,0.0
826797fffffffff,771.0,0.0,0.0,0.0
82679ffffffffff,5982.0,0.0,0.0,0.0
8267b7fffffffff,36.0,0.0,0.0,0.0
826d07fffffffff,1633.0,0.0,0.0,0.0
826d17fffffffff,1526.0,0.0,0.0,0.0
826d27fffffffff,3406.0,0.0,0.0,0.0
826d2ffffffffff,6879.0,0.0,0.0,0.0
826d37fffffffff,9320.0,0.0,0.0,0.0
826d67fffffffff,13482.0,0.0,0.0,0.0
826d6ffffffffff,70771.0,0.0,0.0,0.0
826d77fffffffff,5005.0,0.0,0.0,0.0
828007fffffffff,51.0,0.0,0.0,0.0
82800ffffffffff,46.0,0.0,0.0,0.0
828017fffffffff,878.0,0.0,0.0,0.0
82801ffffffffff,10.0,0.0,0.0,0.0
828027fffffffff,22.0,0.0,0.0,0.0
82802ffffffffff,8.0,0.0,0.0,0.0
828037fffffffff,644.0,0.0,0.0,0.0
828047fffffffff,485.0,0.0,0.0,0.0
82804ffffffffff,110.0,0.0,0.0,0.0
828057fffffffff,104.0,0.0,0.0,0.0
828067fffffffff,80.0,0.0,0.0,0.0
82806ffffffffff,64.0,0.0,0.0,0.0
828077fffffffff,47.0,0.0,0.0,0.0
828107fffffffff,596.0,0.0,0.0,0.0
82810ffffffffff,26.0,0.0,0.0,0.0
828117fffffffff,193.0,0.0,0.0,0.0
82811ffffffffff,81.0,0.0,0.0,0.0
828127fffffffff,533.0,0.0,0.0,0.0
82812ffffffffff,94.0,0.0,0.0,0.0
828137fffffffff,1087.0,0.0,0.0,0.0
828147fffffffff,199.0,0.0,0.0,0.0
82814ffffffffff,731.0,0.0,0.0,0.0
828157fffffffff,7.0,0.0,0.0,0.0
82815ffffffffff,149.0,0.0,0.0,0.0
828167fffffffff,110.0,0.0,0.0,0.0
828177fffffffff,273.0,0.0,0.0,0.0
828187fffffffff,1079.0,0.0,0.0,0.0
82818ffffffffff,199.0,0.0,0.0,0.0
82819ffffffffff,138.0,0.0,0.0,0.0
8281a7fffffffff,77.0,0.0,0.0,0.0
8281affffffffff,298.0,0.0,0.0,0.0
828a07fffffffff,319.0,0.0,0.0,0.0
828a17fffffffff,28.0,0.0,0.0,0.0
828a1ffffffffff,43.0,0.0,0.0,0.0
828a27fffffffff,68.0,0.0,0.0,0.0
828a2ffffffffff,4.0,0.0,0.0,0.0
828a37fffffffff,35.0,0.0,0.0,0.0
828a47fffffffff,1611.0,0.0,0.0,0.0
828a4ffffffffff,11.0,0.0,0.0,0.0
828a57fffffffff,57.0,0.0,0.0,0.0
828a5ffffffffff,2.0,0.0,0.0,0.0
828a6ffffffffff,2628.0,0.0,0.0,0.0
828a77fffffffff,70.0,0.0,0.0,0.0
828a87fffffffff,93.0,0.0,0.0,0.0
828a8ffffffffff,88.0,0.0,0.0,0.0
828a97fffffffff,33.0,0.0,0.0,0.0
828a9ffffffffff,79.0,0.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0,0.0
828aaffffffffff,280.0,0.0,0.0,0.0
828ab7fffffffff,4.0,0.0,0.0,0.0
828ad7fffffffff,7.0,0.0,0.0,0.0
828adffffffffff,346.0,0.0,0.0,0.0
828ae7fffffffff,10.0,0.0,0.0,0.0
828aeffffffffff,16.0,0.0,0.0,0.0
828af7fffffffff,2249.0,0.0,0.0,0.0
828b07fffffffff,52.0,0.0,0.0,0.0
828b0ffffffffff,448.0,0.0,0.0,0.0
828b17fffffffff,26.0,0.0,0.0,0.0
828b1ffffffffff,11.0,0.0,0.0,0.0
828b27fffffffff,1300.0,0.0,0.0,0.0
828b2ffffffffff,622.0,0.0,0.0,0.0
828b37fffffffff,90.0,0.0,0.0,0.0
828b47fffffffff,1951.0,0.0,0.0,0.0
828b4ffffffffff,56.0,0.0,0.0,0.0
828b57fffffffff,258.0,0.0,0.0,0.0
828b5ffffffffff,126.0,0.0,0.0,0.0
828b67fffffffff,3722.0,0.0,0.0,0.0
828b6ffffffffff,1745.0,0.0,0.0,0.0
828b77fffffffff,475.0,0.0,0.0,0.0
828b87fffffffff,82.0,0.0,0.0,0.0
828b8ffffffffff,84.0,0.0,0.0,0.0
828b9ffffffffff,959.0,0.0,0.0,0.0
828ba7fffffffff,325.0,0.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0,0.0
828bb7fffffffff,448.0,0.0,0.0,0.0
828e47fffffffff,29.0,0.0,0.0,0.0
828e67fffffffff,3577.0,0.0,0.0,0.0
828e6ffffffffff,33.0,0.0,0.0,0.0
828e77fffffffff,10.0,0.0,0.0,0.0
828f0ffffffffff,1506.0,0.0,0.0,0.0
828f27fffffffff,52.0,0.0,0.0,0.0
828f2ffffffffff,4580.0,0.0,0.0,0.0
828f47fffffffff,3016.0,0.0,0.0,0.0
828f4ffffffffff,552.0,0.0,0.0,0.0
828f57fffffffff,2649.0,0.0,0.0,0.0
828f5ffffffffff,479.0,0.0,0.0,0.0
828f67fffffffff,547.0,0.0,0.0,0.0
828f6ffffffffff,389.0,0.0,0.0,0.0
828f77fffffffff,3680.0,0.0,0.0,0.0
82a597fffffffff,663.0,0.0,0.0,0.0
82a807fffffffff,1298.0,0.0,0.0,0.0
82a80ffffffffff,105.0,0.0,0.0,0.0
82a817fffffffff,10206.0,0.0,0.0,0.0
82a81ffffffffff,4805.0,0.0,0.0,0.0
82a827fffffffff,416.0,0.0,0.0,0.0
82a82ffffffffff,164.0,0.0,0.0,0.0
82a837fffffffff,1165.0,0.0,0.0,0.0
82a847fffffffff,766.0,0.0,0.0,0.0
82a84ffffffffff,37.0,0.0,0.0,0.0
82a857fffffffff,343.0,0.0,0.0,0.0
82a85ffffffffff,4360.0,0.0,0.0,0.0
82a867fffffffff,145.0,0.0,0.0,0.0
82a86ffffffffff,91.0,0.0,0.0,0.0
82a877fffffffff,89.0,0.0,0.0,0.0
82a887fffffffff,1155.0,0.0,0.0,0.0
82a88ffffffffff,651.0,0.0,0.0,0.0
82a897fffffffff,695.0,0.0,0.0,0.0
82a89ffffffffff,43.0,0.0,0.0,0.0
82a8a7fffffffff,4982.0,0.0,0.0,0.0
82a8affffffffff,949.0,0.0,0.0,0.0
82a8b7fffffffff,92.0,0.0,0.0,0.0
82a8c7fffffffff,367.0,0.0,0.0,0.0
82a8cffffffffff,24.0,0.0,0.0,0.0
82a8d7fffffffff,947.0,0.0,0.0,0.0
82a8dffffffffff,127.0,0.0,0.0,0.0
82a8e7fffffffff,52.0,0.0,0.0,0.0
82a8effffffffff,52.0,0.0,0.0,0.0
82a8f7fffffffff,144.0,0.0,0.0,0.0
82a907fffffffff,400.0,0.0,0.0,0.0
82a90ffffffffff,463.0,0.0,0.0,0.0
82a917fffffffff,2.0,0.0,0.0,0.0
82a91ffffffffff,649.0,0.0,0.0,0.0
82a927fffffffff,11.0,0.0,0.0,0.0
82a92ffffffffff,885.0,0.0,0.0,0.0
82a947fffffffff,3308.0,0.0,0.0,0.0
82a94ffffffffff,1739.0,0.0,0.0,0.0
82a957fffffffff,2750.0,0.0,0.0,0.0
82a95ffffffffff,517.0,0.0,0.0,0.0
82a967fffffffff,1260.0,0.0,0.0,0.0
82a96ffffffffff,1076.0,0.0,0.0,0.0
82a977fffffffff,452.0,0.0,0.0,0.0
82b20ffffffffff,54.0,0.0,0.0,0.0
82b22ffffffffff,12.0,0.0,0.0,0.0
82b247fffffffff,437.0,0.0,0.0,0.0
82b24ffffffffff,235.0,0.0,0.0,0.0
82b257fffffffff,75.0,0.0,0.0,0.0
82b25ffffffffff,389.0,0.0,0.0,0.0
82b267fffffffff,515.0,0.0,0.0,0.0
82b26ffffffffff,194.0,0.0,0.0,0.0
82b277fffffffff,449.0,0.0,0.0,0.0
82b2cffffffffff,36.0,0.0,0.0,0.0
82b2e7fffffffff,57.0,0.0,0.0,0.0
82b2effffffffff,460.0,0.0,0.0,0.0
82b327fffffffff,292.0,0.0,0.0,0.0
82b347fffffffff,565.0,0.0,0.0,0.0
82b34ffffffffff,192.0,0.0,0.0,0.0
82b357fffffffff,478.0,0.0,0.0,0.0
82b35ffffffffff,1607.0,0.0,0.0,0.0
82b367fffffffff,110.0,0.0,0.0,0.0
82b36ffffffffff,323.0,0.0,0.0,0.0
82b377fffffffff,13.0,0.0,0.0,0.0
82c207fffffffff,148.0,0.0,0.0,0.0
82c21ffffffffff,733.0,0.0,0.0,0.0
