cell_id,Coeligena violifer,Coeligena violifer dichroura,Coeligena violifer albicaudata,Coeligena violifer osculans,Coeligena violifer violifer
848b203ffffffff,6.0,0.0,0.0,0.0,6.0
848b21dffffffff,3.0,0.0,0.0,0.0,3.0
848b2cdffffffff,6.0,0.0,0.0,0.0,6.0
848b611ffffffff,2.0,0.0,0.0,2.0,0.0
848b617ffffffff,2.0,0.0,0.0,2.0,0.0
848b6cdffffffff,7.0,0.0,0.0,7.0,0.0
848e651ffffffff,13.0,13.0,0.0,0.0,0.0
848e655ffffffff,5.0,5.0,0.0,0.0,0.0
848e657ffffffff,4.0,3.0,0.0,0.0,0.0
848e6ddffffffff,1.0,0.0,1.0,0.0,0.0
848f4a5ffffffff,16.0,16.0,0.0,0.0,0.0
848f553ffffffff,1.0,1.0,0.0,0.0,0.0
848f59bffffffff,4.0,4.0,0.0,0.0,0.0
