cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
8472f23ffffffff,2.0,0.0,0.0
8494187ffffffff,3.0,0.0,0.0
84941b1ffffffff,6.0,2.0,0.0
84941bdffffffff,30.0,28.0,0.0
8494501ffffffff,1.0,0.0,0.0
8494503ffffffff,19.0,2.0,0.0
8494507ffffffff,12.0,2.0,0.0
849450bffffffff,81.0,23.0,0.0
8494511ffffffff,45.0,3.0,0.0
8494513ffffffff,9.0,2.0,0.0
8494515ffffffff,29.0,3.0,0.0
8494517ffffffff,67.0,4.0,0.0
849451dffffffff,1086.0,408.0,0.0
8494531ffffffff,2.0,2.0,0.0
8494533ffffffff,10.0,3.0,0.0
8494535ffffffff,5.0,0.0,0.0
8494537ffffffff,2.0,2.0,0.0
8494539ffffffff,85.0,18.0,0.0
8494551ffffffff,5.0,0.0,0.0
8494559ffffffff,14.0,0.0,0.0
8494593ffffffff,6.0,0.0,0.0
8494597ffffffff,2.0,0.0,0.0
84945a1ffffffff,2.0,0.0,0.0
84945a3ffffffff,3.0,2.0,0.0
84945a5ffffffff,41.0,14.0,0.0
84945a7ffffffff,11.0,0.0,0.0
84945adffffffff,105.0,26.0,0.0
84945b1ffffffff,1.0,1.0,0.0
84945bbffffffff,1.0,0.0,0.0
84945bdffffffff,2.0,0.0,0.0
84945c3ffffffff,48.0,13.0,0.0
84945c5ffffffff,16.0,1.0,0.0
84945c7ffffffff,144.0,31.0,0.0
84945cbffffffff,3.0,0.0,0.0
84945d7ffffffff,2.0,2.0,0.0
84945ddffffffff,2.0,0.0,0.0
84945e1ffffffff,14.0,4.0,0.0
84945e3ffffffff,60.0,11.0,0.0
84945e5ffffffff,380.0,127.0,0.0
84945e7ffffffff,3.0,0.0,0.0
84945ebffffffff,91.0,6.0,0.0
8494c17ffffffff,2.0,0.0,0.0
8494c49ffffffff,41.0,3.0,0.0
8494c59ffffffff,5.0,0.0,0.0
8494c61ffffffff,2.0,0.0,0.0
8494c69ffffffff,1.0,0.0,0.0
8494e21ffffffff,8.0,2.0,0.0
8494e23ffffffff,17.0,3.0,0.0
8494e25ffffffff,7.0,0.0,0.0
8494e27ffffffff,3.0,0.0,0.0
8494e29ffffffff,19.0,3.0,0.0
8494e2bffffffff,17.0,2.0,0.0
8494e2dffffffff,2.0,0.0,0.0
8494e31ffffffff,3.0,0.0,0.0
8494e35ffffffff,143.0,19.0,0.0
8494e37ffffffff,2.0,2.0,0.0
8494e3dffffffff,5.0,0.0,0.0
8494e81ffffffff,42.0,8.0,0.0
8494e85ffffffff,93.0,49.0,0.0
8494e87ffffffff,4.0,2.0,0.0
8494e93ffffffff,4.0,0.0,0.0
8494e9bffffffff,3.0,3.0,0.0
8494ea9ffffffff,4.0,0.0,0.0
8494eb5ffffffff,2.0,0.0,0.0
8494ec7ffffffff,1.0,0.0,0.0
8494ed1ffffffff,3.0,0.0,0.0
8494ed3ffffffff,454.0,146.0,0.0
8494ed5ffffffff,3.0,0.0,0.0
8494ed7ffffffff,24.0,7.0,0.0
8494ed9ffffffff,4.0,0.0,0.0
8494edbffffffff,128.0,42.0,0.0
8494eddffffffff,2.0,2.0,0.0
8494ee1ffffffff,18.0,2.0,0.0
8494ee5ffffffff,1.0,0.0,0.0
8494ee7ffffffff,55.0,12.0,0.0
8494f09ffffffff,2.0,0.0,0.0
8494f21ffffffff,2.0,0.0,0.0
8494f47ffffffff,3.0,1.0,0.0
8494f51ffffffff,1.0,0.0,0.0
8494f55ffffffff,1.0,1.0,0.0
8494f5dffffffff,8.0,0.0,0.0
8494f61ffffffff,6.0,0.0,0.0
8494f63ffffffff,6.0,0.0,0.0
8494f65ffffffff,25.0,2.0,0.0
8494f6bffffffff,4.0,0.0,0.0
849c009ffffffff,16.0,0.0,0.0
849c00bffffffff,9.0,0.0,0.0
849c011ffffffff,25.0,0.0,0.0
849c013ffffffff,13.0,0.0,1.0
849c015ffffffff,6.0,0.0,2.0
849c017ffffffff,47.0,0.0,1.0
849c019ffffffff,94.0,0.0,0.0
849c01dffffffff,15.0,0.0,0.0
849c051ffffffff,22.0,0.0,0.0
849c055ffffffff,9.0,0.0,0.0
849c057ffffffff,14.0,0.0,0.0
849c059ffffffff,367.0,0.0,27.0
849c05bffffffff,1.0,0.0,1.0
849c05dffffffff,26.0,0.0,0.0
849c0a1ffffffff,1.0,0.0,0.0
849c0a5ffffffff,42.0,0.0,0.0
849c0a7ffffffff,1.0,0.0,0.0
849c0adffffffff,19.0,0.0,0.0
849c0c5ffffffff,4.0,0.0,0.0
849c0d7ffffffff,2.0,0.0,0.0
849c0d9ffffffff,2.0,0.0,0.0
849c0e1ffffffff,2.0,0.0,0.0
849c0e7ffffffff,2.0,0.0,0.0
849c0e9ffffffff,319.0,0.0,12.0
849c0edffffffff,33.0,0.0,0.0
849c191ffffffff,6.0,0.0,0.0
849c193ffffffff,9.0,0.0,0.0
849c19bffffffff,18.0,0.0,0.0
849c203ffffffff,2.0,0.0,0.0
849c20bffffffff,1.0,0.0,0.0
849c211ffffffff,40.0,0.0,1.0
849c213ffffffff,2.0,0.0,0.0
849c215ffffffff,31.0,0.0,0.0
849c217ffffffff,41.0,0.0,0.0
849c21bffffffff,12.0,0.0,0.0
849c231ffffffff,212.0,0.0,5.0
849c233ffffffff,530.0,0.0,10.0
849c237ffffffff,892.0,0.0,20.0
849c239ffffffff,39.0,0.0,0.0
849c23bffffffff,357.0,0.0,30.0
849c23dffffffff,2.0,0.0,0.0
849c251ffffffff,43.0,0.0,0.0
849c255ffffffff,26.0,0.0,0.0
849c259ffffffff,6.0,0.0,0.0
849c25dffffffff,11.0,0.0,0.0
849c2c1ffffffff,7.0,0.0,0.0
849c2c9ffffffff,4.0,0.0,0.0
849c2cbffffffff,37.0,0.0,0.0
849c2cdffffffff,87.0,0.0,0.0
849c2d1ffffffff,1.0,0.0,0.0
849c2d3ffffffff,8.0,0.0,0.0
849c2ddffffffff,296.0,0.0,0.0
849c2e1ffffffff,16.0,0.0,0.0
849c2e9ffffffff,6.0,0.0,0.0
849c417ffffffff,17.0,6.0,0.0
849c433ffffffff,2.0,2.0,0.0
849c43bffffffff,18.0,0.0,0.0
849c44bffffffff,3.0,0.0,0.0
849c45dffffffff,5.0,0.0,0.0
849c4a1ffffffff,4.0,0.0,0.0
849c4a3ffffffff,9.0,0.0,0.0
849c4a5ffffffff,6.0,0.0,0.0
849c4b3ffffffff,67.0,16.0,0.0
849c4cdffffffff,16.0,4.0,0.0
849c4e1ffffffff,9.0,7.0,0.0
849c599ffffffff,2.0,2.0,0.0
849c5a3ffffffff,2.0,0.0,0.0
849c5a5ffffffff,2.0,2.0,0.0
849c5a7ffffffff,3.0,0.0,0.0
849c5b3ffffffff,2.0,0.0,0.0
849c5d7ffffffff,4.0,0.0,0.0
849c667ffffffff,2.0,0.0,0.0
849c741ffffffff,8.0,0.0,0.0
849c743ffffffff,32.0,0.0,0.0
849c747ffffffff,4.0,0.0,0.0
849c749ffffffff,1.0,0.0,0.0
849c74bffffffff,3.0,0.0,0.0
849c753ffffffff,4.0,0.0,0.0
849cc25ffffffff,3.0,0.0,0.0
849cc29ffffffff,5.0,0.0,0.0
849cc2bffffffff,2.0,0.0,0.0
849cc2dffffffff,6.0,0.0,0.0
849ce47ffffffff,24.0,0.0,0.0
849ce4dffffffff,5.0,0.0,0.0
849ce69ffffffff,2.0,0.0,0.0
849ce9bffffffff,35.0,1.0,0.0
849cf5bffffffff,2.0,0.0,0.0
849d013ffffffff,35.0,0.0,0.0
849d01bffffffff,259.0,0.0,1.0
849d085ffffffff,2.0,0.0,0.0
849d087ffffffff,1.0,0.0,0.0
849d089ffffffff,2.0,0.0,0.0
849d08dffffffff,2.0,0.0,0.0
849d097ffffffff,19.0,0.0,0.0
849d0abffffffff,32.0,0.0,0.0
849d0b1ffffffff,296.0,0.0,0.0
849d0b3ffffffff,10.0,0.0,0.0
849d0b5ffffffff,232.0,0.0,0.0
849d0b7ffffffff,32.0,0.0,0.0
849d0bbffffffff,11.0,0.0,0.0
849d0bdffffffff,36.0,0.0,0.0
849d0c1ffffffff,27.0,0.0,2.0
849d0c5ffffffff,8.0,0.0,0.0
849d0c7ffffffff,2.0,0.0,0.0
849d0c9ffffffff,17.0,0.0,0.0
849d0cdffffffff,116.0,0.0,8.0
849d0dbffffffff,4.0,0.0,0.0
849d0e1ffffffff,28.0,0.0,0.0
